precNo, blockNo, placeName
14, 47412, 札幌
21, 47423, 室蘭
23, 47430, 函館
31, 47575, 青森
32, 47582, 秋田
33, 47584, 盛岡
35, 47588, 山形
34, 47590, 仙台
36, 47595, 福島
54, 47604, 新潟
56, 47605, 金沢
55, 47607, 富山
48, 47610, 長野
41, 47615, 宇都宮
57, 47616, 福井
42, 47624, 前橋
43, 47626, 熊谷
40, 47629, 水戸
52, 47632, 岐阜
51, 47636, 名古屋
49, 47638, 甲府
45, 47648, 銚子
53, 47651, 津
50, 47656, 静岡
46, 47670, 横浜
68, 47741, 松江
69, 47746, 鳥取
61, 47759, 京都
60, 47761, 彦根
67, 47765, 広島
66, 47768, 岡山
63, 47770, 神戸
65, 47777, 和歌山
64, 47780, 奈良
73, 47887, 松山
72, 47891, 高松
74, 47893, 高知
71, 47895, 徳島
81, 47762, 下関
82, 47807, 福岡
85, 47813, 佐賀
83, 47815, 大分
84, 47817, 長崎
86, 47819, 熊本
88, 47827, 鹿児島
87, 47830, 宮崎
44, 47662, 東京
62, 47772, 大阪
91, 47936, 那覇
99, 89532, 昭和（南極）
