year,1,2,3,4,5,6,7,8,9,10,11,12
1949,25.0,26.3,26.8,27.6,27.3,25.2,24.8,24.4,23.7,23.8,23.5,23.6
1950,24.1,25.0,26.3,26.7,26.0,25.5,25.1,24.6,24.2,24.5,24.0,24.4
1951,25.3,26.2,27.0,27.3,27.1,26.9,26.6,25.9,25.5,25.7,25.6,25.6
1952,26.1,26.7,27.1,27.6,27.0,25.7,25.0,24.7,24.6,24.7,24.5,24.8
1953,25.8,26.5,27.2,28.0,27.4,27.0,26.1,25.2,25.4,25.1,25.2,25.2
1954,25.8,26.3,27.0,26.0,25.9,25.4,24.9,24.0,23.7,24.0,24.0,24.1
1955,25.0,25.8,26.4,26.5,25.8,25.5,24.8,24.3,23.3,23.2,23.0,23.9
1956,24.7,26.1,26.7,26.9,26.5,26.2,25.2,24.6,24.0,24.2,24.1,24.2
1957,24.8,25.9,27.5,28.0,27.7,27.3,26.7,26.3,25.5,25.7,26.1,26.5
1958,26.9,27.3,27.7,27.8,27.2,26.4,25.7,25.2,24.7,24.7,24.8,25.0
1959,25.5,26.4,26.9,27.6,26.9,26.1,25.1,24.5,24.5,24.9,24.8,24.9
1960,25.5,26.0,27.2,27.3,26.9,26.1,25.4,25.1,24.8,24.1,24.4,24.6
1961,25.2,26.5,26.9,27.5,26.9,26.4,24.9,24.4,23.7,23.9,24.5,24.9
1962,25.3,26.2,26.7,26.7,26.4,26.0,25.2,24.7,24.2,24.5,24.3,24.1
1963,25.1,25.9,27.0,27.2,27.1,26.7,26.4,25.8,25.5,25.5,25.7,26.0
1964,26.1,26.5,26.8,26.4,25.6,25.0,24.9,23.8,24.0,24.0,23.9,23.8
1965,24.8,26.1,26.9,27.7,27.6,27.1,26.6,26.1,26.0,26.1,26.2,26.6
1966,26.7,26.9,27.1,27.3,26.1,26.1,25.7,24.7,24.3,24.6,24.3,24.3
1967,25.1,26.1,26.3,26.5,26.7,26.4,25.4,24.2,23.7,23.9,23.9,24.2
1968,24.6,25.0,25.9,26.8,26.2,26.5,25.9,25.1,25.0,25.0,25.3,25.8
1969,26.2,26.7,27.5,27.9,27.8,27.0,25.8,25.5,25.5,25.7,25.8,26.2
1970,26.5,26.6,27.2,27.5,26.3,25.1,24.1,23.7,23.7,24.0,23.5,24.0
1971,24.4,24.8,26.2,26.6,26.3,25.6,25.1,24.3,24.0,23.7,24.0,23.9
1972,24.9,26.0,27.0,27.8,27.4,27.3,27.0,26.9,26.4,26.8,27.1,27.5
1973,27.3,27.4,27.4,27.0,26.3,25.5,24.5,23.9,23.6,23.6,23.5,23.5
1974,23.9,25.1,26.4,27.0,26.6,26.4,25.2,24.8,24.5,24.1,24.4,24.4
1975,25.2,25.8,26.5,27.1,26.3,25.3,24.7,24.3,23.7,23.7,23.8,23.7
1976,24.1,25.5,26.5,27.0,27.0,26.9,26.4,25.8,25.9,26.0,26.0,25.8
1977,26.5,27.0,27.6,27.0,26.9,26.6,25.6,24.6,24.8,25.1,25.4,25.4
1978,25.9,26.4,27.0,26.7,26.2,25.6,24.8,24.1,24.3,24.6,25.0,25.3
1979,25.4,26.3,27.3,27.6,27.3,26.6,25.4,25.1,25.5,25.3,25.4,25.7
1980,26.0,26.4,26.9,27.6,27.2,26.7,25.7,24.8,24.7,24.6,25.0,25.3
1981,25.0,25.5,26.6,27.0,26.9,26.5,25.1,24.4,24.9,25.0,24.7,25.1
1982,25.9,26.4,27.0,27.4,27.6,27.2,26.2,26.2,26.5,27.0,27.4,28.3
1983,28.5,28.7,28.8,29.0,28.9,28.3,26.6,25.8,25.2,24.6,24.2,24.5
1984,25.0,26.5,27.1,27.3,26.3,25.3,25.0,24.6,24.4,24.0,24.1,24.0
1985,24.7,25.3,26.2,26.6,26.1,25.8,24.8,24.6,24.3,24.2,24.4,24.5
1986,25.0,26.0,26.9,27.2,26.8,26.4,25.9,25.2,25.3,25.5,25.9,25.9
1987,26.7,27.5,28.1,28.5,28.1,27.6,27.1,26.5,26.5,26.2,26.1,26.2
1988,26.1,26.5,27.1,26.7,25.5,24.4,23.9,23.4,23.8,23.4,23.2,23.3
1989,24.1,25.5,26.0,26.7,26.3,26.1,25.4,24.6,24.5,24.6,24.5,24.7
1990,25.4,26.4,27.0,27.6,27.4,26.6,25.9,25.2,25.0,24.9,24.8,25.1
1991,25.7,26.3,27.1,27.5,27.7,27.3,26.7,25.7,25.2,25.7,26.1,26.5
1992,27.0,27.7,28.1,28.6,28.4,26.9,25.7,24.9,24.8,24.7,24.8,25.1
1993,25.5,26.7,27.5,28.3,28.2,27.2,25.9,25.1,25.0,25.3,25.3,25.4
1994,25.8,26.2,26.9,27.1,27.0,26.5,25.3,24.9,24.9,25.6,25.9,26.1
1995,26.3,26.9,27.0,27.0,26.3,26.1,25.5,24.5,24.1,24.1,24.1,24.2
1996,25.1,25.8,26.8,26.8,26.4,25.9,25.4,24.7,24.5,24.4,24.5,24.2
1997,24.8,25.8,27.0,27.5,28.0,28.1,28.0,27.8,27.8,28.1,28.5,28.6
1998,28.8,28.9,29.1,29.0,28.3,26.1,25.3,24.7,24.2,24.0,24.1,23.9
1999,24.2,25.5,26.7,26.7,26.5,25.7,25.0,24.1,23.9,23.8,23.4,23.6
2000,23.9,25.3,26.6,27.4,26.8,25.9,25.3,24.6,24.5,24.5,24.3,24.4
2001,25.1,26.0,27.2,27.4,26.9,26.4,25.6,24.9,24.4,24.4,24.5,24.6
2002,25.2,26.3,27.3,27.6,27.3,27.2,26.2,25.5,25.7,25.8,26.4,26.5
2003,26.4,26.8,27.2,27.1,26.3,26.0,25.8,25.1,25.1,25.4,25.4,25.8
2004,26.0,26.6,27.2,27.4,26.8,26.4,25.6,25.3,25.2,25.3,25.6,25.8
2005,26.0,26.2,26.9,27.6,27.5,26.7,26.0,25.3,24.7,24.6,24.2,24.1
2006,24.8,26.0,26.4,27.2,27.1,26.5,25.8,25.5,25.8,25.9,26.1,26.4
2007,26.5,26.4,26.7,26.9,26.4,25.9,24.9,24.0,23.7,23.5,23.5,23.6
2008,24.2,25.0,26.5,27.1,27.0,26.5,26.1,25.6,25.1,24.9,25.0,24.6
2009,25.1,25.8,26.5,27.4,27.5,27.2,26.6,25.9,25.7,25.7,26.3,26.6
2010,26.7,27.2,27.8,28.1,27.1,25.8,24.8,24.1,23.7,23.4,23.5,23.7
2011,24.2,25.6,26.4,27.2,26.9,26.6,25.7,24.7,24.3,24.0,23.9,24.3
2012,25.1,26.2,27.0,27.5,27.2,27.0,26.5,25.8,25.2,24.9,25.2,25.0
2013,25.1,25.9,27.2,27.3,26.3,25.7,25.1,24.4,24.7,24.7,24.9,25.1
2014,25.3,25.5,27.0,27.7,27.6,27.2,26.1,25.3,25.3,25.6,25.9,26.0
2015,25.9,26.5,27.2,28.2,28.3,28.1,27.7,27.3,27.5,27.6,27.9,28.1
2016,28.2,28.3,28.7,28.3,27.2,26.4,25.2,24.6,24.7,24.5,24.5,24.7
2017,25.6,26.9,27.6,28.0,27.5,26.7,25.9,24.9,24.2,24.4,24.0,24.0
2018,24.5,25.5,26.3,27.0,27.0,26.8,26.1,25.2,25.1,25.8,26.1,26.1
2019,26.3,27.0,27.9,28.2,27.8,26.9,25.8,24.9,24.6,25.2,25.5,25.5
2020,25.9,26.4,27.4,27.9,26.9,25.8,25.2,24.5,23.8
