Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.1,126.5,-3.1,0.0,-6.4,78.0,-999.0,44.9,-999.0
1900,2,-999.0,1017.2,94.0,-2.1,1.5,-6.0,78.0,-999.0,61.8,-999.0
1900,3,-999.0,1015.3,118.6,0.8,4.7,-3.2,79.0,-999.0,126.5,-999.0
1900,4,-999.0,1016.5,107.9,8.1,12.2,4.1,74.0,-999.0,162.4,-999.0
1900,5,-999.0,1009.1,143.5,13.7,18.0,10.0,79.0,-999.0,182.8,-999.0
1900,6,-999.0,1011.6,57.6,17.3,22.0,12.6,78.0,-999.0,-999.0,-999.0
1900,7,-999.0,1006.9,167.8,20.5,24.3,16.5,87.0,-999.0,172.6,-999.0
1900,8,-999.0,1010.3,73.3,24.9,29.5,20.7,83.0,-999.0,246.0,-999.0
1900,9,-999.0,1013.6,285.6,19.3,24.1,15.5,87.0,-999.0,150.6,-999.0
1900,10,-999.0,1018.7,351.4,12.8,18.1,8.6,83.0,-999.0,146.6,-999.0
1900,11,-999.0,1018.8,148.2,7.8,12.6,4.2,77.0,-999.0,88.3,-999.0
1900,12,-999.0,1017.3,189.6,1.2,4.3,-1.8,83.0,-999.0,43.8,-999.0
1901,1,-999.0,1019.9,68.4,0.1,3.5,-3.3,82.0,-999.0,72.8,-999.0
1901,2,-999.0,1010.8,103.1,-0.9,3.2,-5.6,83.0,-999.0,79.8,-999.0
1901,3,-999.0,1017.5,75.0,2.2,6.6,-2.6,76.0,-999.0,157.5,-999.0
1901,4,-999.0,1017.7,49.6,9.5,15.2,4.2,72.0,-999.0,231.2,-999.0
1901,5,-999.0,1012.3,115.8,13.3,18.4,8.1,76.0,-999.0,224.6,-999.0
1901,6,-999.0,1008.1,129.7,17.9,22.2,13.7,80.0,-999.0,222.0,-999.0
1901,7,-999.0,1008.1,149.3,21.3,25.3,-999.0,86.0,-999.0,204.2,-999.0
1901,8,-999.0,1011.3,177.2,23.3,27.6,19.6,83.0,-999.0,194.6,-999.0
1901,9,-999.0,1011.5,139.5,20.0,25.5,15.6,81.0,-999.0,212.8,-999.0
1901,10,-999.0,1017.2,202.1,13.4,18.8,9.2,82.0,-999.0,141.6,-999.0
1901,11,-999.0,1015.6,207.3,7.0,11.9,3.1,78.0,-999.0,67.0,-999.0
1901,12,-999.0,1015.5,234.6,0.9,4.1,-2.2,75.0,-999.0,28.5,-999.0
1902,1,-999.0,1015.2,116.5,-2.1,1.0,-5.2,76.0,-999.0,44.0,-999.0
1902,2,-999.0,1019.6,82.3,-1.6,2.4,-5.7,75.0,-999.0,60.5,-999.0
1902,3,-999.0,1016.7,121.7,3.6,7.5,-0.4,74.0,-999.0,124.5,-999.0
1902,4,-999.0,1013.3,122.3,7.2,11.1,2.8,72.0,-999.0,168.9,-999.0
1902,5,-999.0,1011.9,112.7,12.8,17.1,8.6,78.0,-999.0,201.4,-999.0
1902,6,-999.0,1008.3,90.3,17.2,21.6,12.9,81.0,-999.0,227.5,-999.0
1902,7,-999.0,1007.7,338.5,19.5,23.1,16.6,88.0,-999.0,155.5,-999.0
1902,8,-999.0,1011.3,116.3,21.3,25.4,17.9,83.0,-999.0,164.8,-999.0
1902,9,-999.0,1010.9,270.6,20.4,24.8,16.8,84.0,-999.0,147.1,-999.0
1902,10,-999.0,1019.5,124.5,12.8,18.2,8.2,82.0,-999.0,164.7,-999.0
1902,11,-999.0,1020.9,149.9,8.3,12.8,4.2,85.0,-999.0,98.4,-999.0
1902,12,-999.0,1015.3,208.2,4.0,7.4,1.0,85.0,-999.0,60.6,-999.0
1903,1,-999.0,1016.9,128.4,1.8,5.2,-1.2,79.0,-999.0,63.2,-999.0
1903,2,-999.0,1017.5,111.5,0.5,3.6,-2.6,78.0,-999.0,59.5,-999.0
1903,3,-999.0,1018.9,138.0,4.2,8.2,0.4,74.0,-999.0,161.2,-999.0
1903,4,-999.0,1017.3,84.9,10.5,15.5,5.4,76.0,-999.0,192.1,-999.0
1903,5,-999.0,1013.3,201.6,12.5,16.7,8.6,78.0,-999.0,150.3,-999.0
1903,6,-999.0,1007.6,146.7,17.5,21.7,13.6,80.0,-999.0,177.0,-999.0
1903,7,-999.0,1008.4,455.6,20.4,23.8,17.8,89.0,-999.0,69.9,-999.0
1903,8,-999.0,1011.7,220.5,22.1,25.8,18.6,86.0,-999.0,152.2,-999.0
1903,9,-999.0,1014.4,161.6,20.7,25.5,17.0,84.0,-999.0,169.3,-999.0
1903,10,-999.0,1017.7,143.1,12.3,16.8,8.5,82.0,-999.0,132.2,-999.0
1903,11,-999.0,1017.9,165.4,6.6,10.3,3.0,76.0,-999.0,94.9,-999.0
1903,12,-999.0,1015.2,184.1,-0.2,2.3,-3.4,77.0,-999.0,39.4,-999.0
1904,1,-999.0,1016.8,152.8,-2.6,0.2,-6.0,79.0,-999.0,33.0,-999.0
1904,2,-999.0,1019.5,110.3,-0.8,2.7,-4.8,77.0,-999.0,83.2,-999.0
1904,3,-999.0,1018.4,108.6,2.0,5.2,-1.2,73.0,-999.0,133.9,-999.0
1904,4,-999.0,1018.7,137.6,9.5,14.1,4.9,75.0,-999.0,206.6,-999.0
1904,5,-999.0,1012.1,60.6,13.3,18.0,8.8,75.0,-999.0,203.1,-999.0
1904,6,-999.0,1009.5,203.8,19.2,23.3,15.3,82.0,-999.0,181.0,-999.0
1904,7,-999.0,1008.9,320.3,22.8,26.7,19.6,84.0,-999.0,146.7,-999.0
1904,8,-999.0,1011.1,29.9,24.4,29.9,19.3,80.0,-999.0,316.6,-999.0
1904,9,-999.0,1011.3,222.4,18.3,23.4,14.2,84.0,-999.0,148.5,-999.0
1904,10,-999.0,1016.9,143.4,12.5,17.3,8.9,80.0,-999.0,100.0,-999.0
1904,11,-999.0,1014.7,267.2,5.7,9.3,2.5,79.0,-999.0,51.1,-999.0
1904,12,-999.0,1015.9,199.3,2.6,6.5,-0.7,77.0,-999.0,67.5,-999.0
1905,1,-999.0,1015.6,95.0,1.2,4.7,-2.2,78.0,-999.0,66.0,-999.0
1905,2,-999.0,1013.9,81.7,-2.4,0.8,-5.4,76.0,-999.0,53.9,-999.0
1905,3,-999.0,1021.7,31.8,2.1,6.9,-1.9,71.0,-999.0,184.7,-999.0
1905,4,-999.0,1015.9,96.1,7.1,11.7,3.0,74.0,-999.0,178.9,-999.0
1905,5,-999.0,1012.9,114.0,13.3,17.9,9.0,78.0,-999.0,184.4,-999.0
1905,6,-999.0,1008.5,170.2,18.7,22.9,15.2,85.0,-999.0,152.8,-999.0
1905,7,-999.0,1009.2,197.5,22.4,26.7,18.9,83.0,-999.0,180.0,-999.0
1905,8,-999.0,1009.2,461.1,20.5,24.7,17.0,86.0,-999.0,144.0,-999.0
1905,9,-999.0,1014.4,177.3,18.5,23.2,14.7,84.0,-999.0,142.6,-999.0
1905,10,-999.0,1018.1,205.8,13.2,18.5,8.9,81.0,-999.0,162.4,-999.0
1905,11,-999.0,1020.5,138.5,6.6,11.3,2.6,74.0,-999.0,90.4,-999.0
1905,12,-999.0,1018.0,188.2,3.3,6.5,-0.1,74.0,-999.0,48.3,-999.0
1906,1,-999.0,1016.9,121.6,-2.1,0.7,-5.7,76.0,-999.0,29.7,-999.0
1906,2,-999.0,1014.9,89.8,-2.2,1.2,-6.8,82.0,-999.0,63.0,-999.0
1906,3,-999.0,1014.5,123.1,2.4,6.0,-1.1,78.0,-999.0,121.3,-999.0
1906,4,-999.0,1013.3,79.7,8.7,12.3,5.0,75.0,-999.0,186.2,-999.0
1906,5,-999.0,1013.2,107.2,13.1,17.6,8.5,74.0,-999.0,205.0,-999.0
1906,6,-999.0,1010.3,47.0,16.6,21.0,12.3,77.0,-999.0,233.1,-999.0
1906,7,-999.0,1006.0,100.0,23.5,27.5,20.2,81.0,-999.0,173.0,-999.0
1906,8,-999.0,1008.8,140.7,22.9,27.6,19.0,84.0,-999.0,224.4,-999.0
1906,9,-999.0,1013.9,165.8,17.1,23.1,11.6,83.0,-999.0,210.7,-999.0
1906,10,-999.0,1017.3,150.4,12.6,18.4,7.6,81.0,-999.0,169.6,-999.0
1906,11,-999.0,1020.9,199.4,4.8,8.8,1.1,77.0,-999.0,79.4,-999.0
1906,12,-999.0,1012.9,210.1,2.9,6.2,-0.4,72.0,-999.0,55.0,-999.0
1907,1,-999.0,1019.2,99.4,-1.3,2.3,-5.3,76.0,-999.0,80.1,-999.0
1907,2,-999.0,1016.1,91.0,-2.2,2.0,-7.4,74.0,-999.0,85.4,-999.0
1907,3,-999.0,1016.8,80.5,2.0,5.4,-1.6,71.0,-999.0,132.3,-999.0
1907,4,-999.0,1016.8,106.8,8.5,12.7,3.7,77.0,-999.0,167.9,-999.0
1907,5,-999.0,1008.9,205.3,13.1,16.9,9.5,79.0,-999.0,153.9,-999.0
1907,6,-999.0,1009.2,164.5,16.8,21.5,12.8,79.0,-999.0,183.2,-999.0
1907,7,-999.0,1009.2,51.7,21.5,26.6,16.8,81.0,-999.0,242.6,-999.0
1907,8,-999.0,1008.0,213.6,25.6,30.2,21.8,81.0,-999.0,238.7,-999.0
1907,9,-999.0,1014.3,120.1,18.5,24.2,14.1,83.0,-999.0,176.0,-999.0
1907,10,-999.0,1017.5,151.1,11.3,17.2,6.0,80.0,-999.0,179.0,-999.0
1907,11,-999.0,1020.1,126.9,7.0,11.7,2.8,75.0,-999.0,94.1,-999.0
1907,12,-999.0,1015.3,137.9,0.3,3.6,-3.3,70.0,-999.0,21.5,-999.0
1908,1,-999.0,1019.6,88.8,-2.4,0.5,-5.5,73.0,-999.0,33.3,-999.0
1908,2,-999.0,1016.7,62.7,-2.0,1.1,-6.2,72.0,-999.0,66.1,-999.0
1908,3,-999.0,1016.8,110.4,1.4,4.7,-2.3,73.0,-999.0,87.5,-999.0
1908,4,-999.0,1017.3,107.7,8.4,12.9,3.8,74.0,-999.0,155.3,-999.0
1908,5,-999.0,1012.5,135.9,12.8,17.8,8.7,77.0,-999.0,196.3,-999.0
1908,6,-999.0,1008.9,171.9,17.5,21.7,13.8,77.0,-999.0,205.5,-999.0
1908,7,-999.0,1008.9,150.3,20.5,24.7,16.9,83.0,-999.0,188.1,-999.0
1908,8,-999.0,1010.8,193.3,24.8,29.6,20.5,83.0,-999.0,260.6,-999.0
1908,9,-999.0,1014.5,146.3,17.3,23.4,12.4,78.0,-999.0,193.4,-999.0
1908,10,-999.0,1017.6,90.4,11.8,17.9,6.6,80.0,-999.0,205.5,-999.0
1908,11,-999.0,1013.5,167.2,4.7,8.9,1.0,79.0,-999.0,67.0,-999.0
1908,12,-999.0,1017.6,115.6,0.9,4.5,-2.3,74.0,-999.0,44.9,-999.0
1909,1,-999.0,1019.3,103.9,-3.2,0.7,-7.8,81.0,-999.0,54.7,-999.0
1909,2,-999.0,1013.9,88.9,-2.0,1.5,-5.7,77.0,-999.0,53.5,-999.0
1909,3,-999.0,1019.5,91.9,0.6,4.8,-3.3,75.0,-999.0,122.4,-999.0
1909,4,-999.0,1014.5,116.5,9.8,15.9,4.4,75.0,-999.0,217.6,-999.0
1909,5,-999.0,1012.1,108.1,13.6,18.3,9.1,82.0,-999.0,177.5,-999.0
1909,6,-999.0,1008.8,73.5,18.7,23.2,14.5,82.0,-999.0,179.2,-999.0
1909,7,-999.0,1012.4,40.5,22.3,26.6,18.7,87.0,-999.0,173.5,-999.0
1909,8,-999.0,1008.8,68.7,23.9,29.3,19.1,85.0,-999.0,209.9,-999.0
1909,9,-999.0,1012.4,344.4,19.0,23.8,14.9,85.0,-999.0,116.2,-999.0
1909,10,-999.0,1016.7,120.3,11.6,16.4,7.1,79.0,-999.0,103.1,-999.0
1909,11,-999.0,1017.2,240.2,6.8,12.0,2.0,79.0,-999.0,85.6,-999.0
1909,12,-999.0,1017.9,85.7,0.3,3.4,-2.8,78.0,-999.0,25.8,-999.0
1910,1,-999.0,1016.4,121.6,0.0,4.0,-3.6,80.0,-999.0,40.0,-999.0
1910,2,-999.0,1012.5,56.7,-2.2,0.8,-5.9,78.0,-999.0,38.0,-999.0
1910,3,-999.0,1014.7,91.1,0.5,5.0,-3.9,76.0,-999.0,122.5,-999.0
1910,4,-999.0,1016.9,61.4,7.8,12.9,2.4,77.0,-999.0,185.9,-999.0
1910,5,-999.0,1013.6,77.4,13.1,18.3,8.2,76.0,-999.0,187.4,-999.0
1910,6,-999.0,1008.0,195.6,18.3,22.9,14.2,81.0,-999.0,177.5,-999.0
1910,7,-999.0,1008.5,145.3,21.8,25.7,18.5,84.0,-999.0,177.7,-999.0
1910,8,-999.0,1008.8,180.1,22.7,27.8,18.3,85.0,-999.0,217.8,-999.0
1910,9,-999.0,1013.1,512.3,17.5,23.1,13.3,91.0,-999.0,165.7,-999.0
1910,10,-999.0,1019.2,76.1,13.0,19.3,8.0,89.0,-999.0,172.6,-999.0
1910,11,-999.0,1017.7,220.5,6.8,11.3,2.7,86.0,-999.0,79.5,-999.0
1910,12,-999.0,1017.5,105.8,-1.1,2.1,-4.8,83.0,-999.0,35.4,-999.0
