Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1017.5,149.6,-4.3,-1.3,-8.3,83.0,-999.0,30.5,-999.0
1900,2,-999.0,1016.7,139.5,-3.2,0.7,-7.2,82.0,-999.0,55.3,-999.0
1900,3,-999.0,1014.9,81.4,0.5,4.7,-3.4,74.0,-999.0,130.7,-999.0
1900,4,-999.0,1016.4,62.7,6.2,10.5,2.4,74.0,-999.0,157.7,-999.0
1900,5,-999.0,1008.3,75.0,12.7,17.8,8.0,73.0,-999.0,200.4,-999.0
1900,6,-999.0,1012.0,16.4,15.9,20.5,11.7,75.0,-999.0,248.5,-999.0
1900,7,-999.0,1007.2,36.4,19.6,23.9,15.9,78.0,-999.0,198.2,-999.0
1900,8,-999.0,1010.4,83.5,24.0,28.5,20.5,82.0,-999.0,203.1,-999.0
1900,9,-999.0,1013.5,92.0,18.5,23.0,14.7,79.0,-999.0,155.4,-999.0
1900,10,-999.0,1018.3,140.1,12.3,17.3,7.7,77.0,-999.0,145.7,-999.0
1900,11,-999.0,1018.3,129.5,6.5,10.5,2.7,75.0,-999.0,69.3,-999.0
1900,12,-999.0,1016.3,150.1,-0.3,2.4,-3.2,79.0,-999.0,41.0,-999.0
1901,1,-999.0,1019.5,62.1,-1.2,2.3,-4.7,77.0,-999.0,51.5,-999.0
1901,2,-999.0,1010.3,72.7,-1.3,2.7,-5.5,78.0,-999.0,79.7,-999.0
1901,3,-999.0,1016.7,63.9,0.8,5.2,-3.3,73.0,-999.0,152.8,-999.0
1901,4,-999.0,1017.6,19.2,8.0,14.6,2.3,71.0,-999.0,229.8,-999.0
1901,5,-999.0,1012.0,47.1,12.7,17.9,8.2,69.0,-999.0,242.2,-999.0
1901,6,-999.0,1008.5,68.3,15.9,20.1,12.5,79.0,-999.0,196.3,-999.0
1901,7,-999.0,1008.5,189.1,19.4,23.3,16.6,83.0,-999.0,186.7,-999.0
1901,8,-999.0,1011.2,49.9,23.0,27.1,19.8,79.0,-999.0,169.9,-999.0
1901,9,-999.0,1011.9,122.7,18.8,23.5,15.1,81.0,-999.0,178.5,-999.0
1901,10,-999.0,1017.2,114.6,12.4,17.5,8.1,76.0,-999.0,132.4,-999.0
1901,11,-999.0,1014.5,149.4,5.8,10.7,2.0,76.0,-999.0,84.4,-999.0
1901,12,-999.0,1014.0,233.6,-1.1,2.2,-4.3,80.0,-999.0,41.8,-999.0
1902,1,-999.0,1013.7,214.7,-3.7,-0.5,-7.2,86.0,-999.0,30.5,-999.0
