Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.5,89.9,3.7,7.6,0.4,74.0,-999.0,86.3,-999.0
1900,2,-999.0,1022.3,29.0,4.9,9.6,0.5,72.0,-999.0,106.1,-999.0
1900,3,-999.0,1018.5,47.1,8.2,12.9,3.2,66.0,-999.0,164.3,-999.0
1900,4,-999.0,1015.5,140.6,13.4,17.9,8.7,78.0,-999.0,142.9,-999.0
1900,5,-999.0,1010.1,258.7,17.6,23.0,12.5,76.0,-999.0,211.5,-999.0
1900,6,-999.0,1010.7,126.5,20.7,25.7,15.7,74.0,-999.0,201.0,-999.0
1900,7,-999.0,1007.2,467.4,24.5,28.3,21.3,84.0,-999.0,174.6,-999.0
1900,8,-999.0,1007.9,239.2,26.8,31.3,23.0,80.0,-999.0,280.5,-999.0
1900,9,-999.0,1011.9,134.7,23.3,27.7,19.3,80.0,-999.0,174.6,-999.0
1900,10,-999.0,1018.5,114.0,16.8,23.0,11.1,78.0,-999.0,192.7,-999.0
1900,11,-999.0,1020.1,125.3,12.0,17.0,7.1,80.0,-999.0,134.7,-999.0
1900,12,-999.0,1022.8,30.3,7.0,11.4,2.9,74.0,-999.0,94.0,-999.0
1901,1,-999.0,1021.2,80.6,7.5,11.8,3.4,77.0,-999.0,120.7,-999.0
1901,2,-999.0,1018.9,62.5,3.4,7.1,0.2,64.0,-999.0,94.5,-999.0
1901,3,-999.0,1021.3,72.0,7.1,12.3,2.0,74.0,-999.0,206.6,-999.0
1901,4,-999.0,1014.1,121.8,13.9,18.7,8.8,78.0,-999.0,156.1,-999.0
1901,5,-999.0,1012.0,65.9,16.2,21.1,11.2,74.0,-999.0,192.4,-999.0
1901,6,-999.0,1006.4,322.3,20.8,24.9,17.2,83.0,-999.0,124.4,-999.0
1901,7,-999.0,1007.1,565.9,23.2,27.0,20.6,87.0,-999.0,90.9,-999.0
1901,8,-999.0,1010.4,118.9,26.3,31.1,22.1,79.0,-999.0,275.0,-999.0
1901,9,-999.0,1011.5,44.4,21.7,27.0,17.3,80.0,-999.0,200.1,-999.0
1901,10,-999.0,1015.6,193.4,17.9,22.9,13.1,78.0,-999.0,149.9,-999.0
1901,11,-999.0,1020.9,31.2,10.5,16.4,5.1,73.0,-999.0,156.6,-999.0
1901,12,-999.0,1022.7,35.6,5.7,11.0,1.4,70.0,-999.0,135.9,-999.0
1902,1,-999.0,1021.5,40.8,5.2,10.7,0.4,72.0,-999.0,151.7,-999.0
1902,2,-999.0,1024.4,44.7,5.1,9.8,0.4,70.0,-999.0,137.9,-999.0
1902,3,-999.0,1018.0,90.0,10.0,15.1,5.1,75.0,-999.0,153.3,-999.0
1902,4,-999.0,1015.7,191.3,12.4,16.6,7.8,74.0,-999.0,143.8,-999.0
1902,5,-999.0,1010.9,232.6,17.4,22.4,12.8,78.0,-999.0,154.2,-999.0
1902,6,-999.0,1006.4,158.8,20.5,24.8,16.2,80.0,-999.0,166.1,-999.0
1902,7,-999.0,1007.9,129.1,24.6,29.0,20.9,78.0,-999.0,190.6,-999.0
1902,8,-999.0,1008.3,286.4,24.9,29.2,21.6,84.0,-999.0,180.2,-999.0
1902,9,-999.0,1009.5,251.1,21.5,25.8,17.9,81.0,-999.0,153.7,-999.0
1902,10,-999.0,1019.1,53.5,16.2,22.2,10.5,79.0,-999.0,195.1,-999.0
1902,11,-999.0,1021.1,108.2,13.4,19.1,8.4,82.0,-999.0,145.6,-999.0
1902,12,-999.0,1018.3,152.3,9.5,13.8,5.7,78.0,-999.0,90.4,-999.0
1903,1,-999.0,1020.7,82.8,6.1,10.3,2.3,75.0,-999.0,81.1,-999.0
1903,2,-999.0,1022.5,125.7,6.0,10.2,1.8,75.0,-999.0,102.6,-999.0
1903,3,-999.0,1017.5,138.2,9.9,14.0,5.8,78.0,-999.0,104.9,-999.0
1903,4,-999.0,1016.0,134.4,13.4,18.2,8.4,78.0,-999.0,140.2,-999.0
1903,5,-999.0,1013.5,241.3,16.8,21.7,11.3,78.0,-999.0,191.9,-999.0
1903,6,-999.0,1007.2,68.1,20.6,25.2,16.4,80.0,-999.0,173.5,-999.0
1903,7,-999.0,1007.9,229.9,24.3,28.4,21.2,81.0,-999.0,117.3,-999.0
1903,8,-999.0,1011.6,96.8,27.2,32.1,23.2,81.0,-999.0,257.0,-999.0
1903,9,-999.0,1013.1,49.2,23.8,28.9,19.5,82.0,-999.0,189.0,-999.0
1903,10,-999.0,1016.7,146.4,16.7,22.2,11.6,82.0,-999.0,144.2,-999.0
1903,11,-999.0,1020.8,76.9,10.8,15.8,6.0,79.0,-999.0,123.6,-999.0
1903,12,-999.0,1021.6,67.3,5.8,10.4,1.8,71.0,-999.0,100.5,-999.0
1904,1,-999.0,1024.3,29.4,4.1,8.8,0.3,68.0,-999.0,95.1,-999.0
1904,2,-999.0,1021.1,60.7,5.8,11.1,0.6,71.0,-999.0,166.5,-999.0
1904,3,-999.0,1018.1,94.0,8.2,13.0,3.2,73.0,-999.0,146.1,-999.0
1904,4,-999.0,1016.8,285.5,14.2,19.3,9.4,82.0,-999.0,117.5,-999.0
1904,5,-999.0,1011.9,125.4,16.6,22.0,11.1,77.0,-999.0,194.6,-999.0
1904,6,-999.0,1009.6,436.7,21.7,26.3,17.8,82.0,-999.0,161.9,-999.0
1904,7,-999.0,1008.3,115.2,26.0,30.7,22.4,80.0,-999.0,239.6,-999.0
1904,8,-999.0,1008.3,1.5,26.7,31.8,22.5,76.0,-999.0,259.8,-999.0
1904,9,-999.0,1011.7,112.1,21.5,26.9,16.8,79.0,-999.0,188.8,-999.0
1904,10,-999.0,1017.5,62.2,16.0,22.0,10.8,80.0,-999.0,188.6,-999.0
1904,11,-999.0,1020.5,81.9,10.3,15.7,5.4,71.0,-999.0,178.1,-999.0
1904,12,-999.0,1022.0,113.3,7.8,12.2,3.9,73.0,-999.0,141.4,-999.0
1905,1,-999.0,1018.0,63.7,7.4,12.3,2.9,77.0,-999.0,123.3,-999.0
1905,2,-999.0,1019.5,67.6,4.5,8.7,0.6,68.0,-999.0,102.8,-999.0
1905,3,-999.0,1020.1,236.2,8.5,12.9,5.3,79.0,-999.0,107.7,-999.0
1905,4,-999.0,1015.7,99.3,12.0,17.1,7.0,79.0,-999.0,160.4,-999.0
1905,5,-999.0,1013.1,101.8,17.7,23.2,12.5,77.0,-999.0,181.5,-999.0
1905,6,-999.0,1007.1,357.4,20.9,25.1,17.5,86.0,-999.0,138.9,-999.0
1905,7,-999.0,1008.0,594.6,25.7,29.9,22.8,84.0,-999.0,168.3,-999.0
1905,8,-999.0,1008.4,405.5,24.8,29.3,21.6,86.0,-999.0,149.6,-999.0
1905,9,-999.0,1014.3,71.4,22.8,28.1,18.8,80.0,-999.0,166.0,-999.0
1905,10,-999.0,1017.6,64.1,16.8,22.9,11.6,78.0,-999.0,183.6,-999.0
1905,11,-999.0,1022.3,29.0,11.8,17.8,6.5,75.0,-999.0,179.0,-999.0
1905,12,-999.0,1020.7,120.7,9.6,14.2,5.6,76.0,-999.0,98.2,-999.0
1906,1,-999.0,1022.9,82.5,4.7,9.5,1.3,68.0,-999.0,105.2,-999.0
1906,2,-999.0,1018.1,142.9,5.0,8.7,2.2,70.0,-999.0,71.1,-999.0
1906,3,-999.0,1018.7,90.1,8.0,12.5,3.5,73.0,-999.0,175.5,-999.0
1906,4,-999.0,1015.6,63.0,12.8,18.6,6.8,74.0,-999.0,202.0,-999.0
1906,5,-999.0,1011.6,151.9,17.7,22.6,12.8,81.0,-999.0,156.6,-999.0
1906,6,-999.0,1007.9,337.8,20.6,24.6,17.2,85.0,-999.0,110.4,-999.0
1906,7,-999.0,1003.6,60.3,24.8,29.1,21.6,82.0,-999.0,178.8,-999.0
1906,8,-999.0,1007.9,157.6,26.4,31.1,22.7,81.0,-999.0,186.2,-999.0
1906,9,-999.0,1012.9,272.0,22.4,27.1,18.5,84.0,-999.0,130.4,-999.0
1906,10,-999.0,1017.3,153.1,16.5,21.9,11.5,79.0,-999.0,158.3,-999.0
1906,11,-999.0,1022.5,25.8,11.0,15.4,6.6,72.0,-999.0,111.5,-999.0
1906,12,-999.0,1020.3,71.9,6.8,10.9,2.4,82.0,-999.0,86.7,-999.0
1907,1,-999.0,1021.7,84.2,6.1,10.8,1.5,74.0,-999.0,116.2,-999.0
1907,2,-999.0,1021.5,91.5,3.4,7.4,-0.2,71.0,-999.0,98.6,-999.0
1907,3,-999.0,1018.8,88.1,7.7,12.4,3.2,75.0,-999.0,136.7,-999.0
1907,4,-999.0,1015.9,118.5,12.6,18.9,6.1,78.0,-999.0,188.6,-999.0
1907,5,-999.0,1010.7,60.6,17.4,23.5,11.2,72.0,-999.0,229.7,-999.0
1907,6,-999.0,1008.3,137.2,20.1,25.2,15.1,79.0,-999.0,167.3,-999.0
1907,7,-999.0,1006.3,308.5,24.5,28.9,20.8,84.0,-999.0,187.9,-999.0
