Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.0,50.1,-1.4,2.6,-5.9,74.0,-999.0,-999.0,-999.0
1900,2,-999.0,1017.2,53.4,-0.2,4.3,-5.1,69.0,-999.0,-999.0,-999.0
1900,3,-999.0,1015.6,49.2,3.6,8.1,-0.5,65.0,-999.0,-999.0,-999.0
1900,4,-999.0,1016.8,117.0,9.3,15.0,3.7,68.0,-999.0,-999.0,-999.0
1900,5,-999.0,1008.9,64.1,15.8,22.9,9.5,66.0,-999.0,-999.0,-999.0
1900,6,-999.0,1011.6,55.0,17.9,24.2,12.1,70.0,-999.0,-999.0,-999.0
1900,7,-999.0,1007.1,109.7,21.4,26.7,17.2,78.0,-999.0,-999.0,-999.0
1900,8,-999.0,1010.8,110.4,25.4,30.9,21.9,77.0,-999.0,-999.0,-999.0
1900,9,-999.0,1013.5,138.0,20.6,26.2,16.4,80.0,-999.0,-999.0,-999.0
1900,10,-999.0,1018.8,63.2,13.8,20.0,8.4,80.0,-999.0,-999.0,-999.0
1900,11,-999.0,1018.7,126.0,8.3,15.0,2.8,73.0,-999.0,-999.0,-999.0
1900,12,-999.0,1017.2,56.7,2.9,7.1,-1.2,71.0,-999.0,-999.0,-999.0
1901,1,-999.0,1018.9,56.3,1.9,5.6,-1.9,74.0,-999.0,72.3,-999.0
1901,2,-999.0,1010.4,59.3,1.1,5.5,-3.3,73.0,-999.0,117.5,-999.0
1901,3,-999.0,1017.1,63.9,4.4,9.7,-0.9,62.0,-999.0,158.6,-999.0
1901,4,-999.0,1017.5,69.2,11.2,17.7,5.2,68.0,-999.0,213.7,-999.0
1901,5,-999.0,1011.9,106.3,14.4,20.5,8.5,69.0,-999.0,179.7,-999.0
1901,6,-999.0,1007.9,80.2,19.3,25.3,14.5,73.0,-999.0,174.6,-999.0
1901,7,-999.0,1008.4,197.6,21.1,26.0,17.9,82.0,-999.0,105.6,-999.0
1901,8,-999.0,1011.2,191.6,23.9,29.5,20.0,79.0,-999.0,179.4,-999.0
1901,9,-999.0,1011.5,63.0,20.2,25.8,16.0,78.0,-999.0,152.3,-999.0
1901,10,-999.0,1016.9,148.9,14.4,20.3,9.9,79.0,-999.0,128.7,-999.0
1901,11,-999.0,1015.6,44.1,7.8,13.5,2.7,70.0,-999.0,131.6,-999.0
1901,12,-999.0,1015.2,95.8,2.4,7.4,-1.9,72.0,-999.0,129.0,-999.0
1902,1,-999.0,1014.4,14.3,0.4,4.4,-3.8,66.0,-999.0,148.1,-999.0
1902,2,-999.0,1019.2,20.4,0.8,6.0,-4.2,65.0,-999.0,149.8,-999.0
1902,3,-999.0,1016.3,63.6,5.4,10.7,0.2,68.0,-999.0,163.1,-999.0
1902,4,-999.0,1013.3,112.5,8.9,14.1,3.4,63.0,-999.0,186.6,-999.0
1902,5,-999.0,1012.0,107.1,14.8,20.2,9.5,65.0,-999.0,188.0,-999.0
1902,6,-999.0,1007.7,63.3,18.8,24.6,14.1,72.0,-999.0,175.3,-999.0
1902,7,-999.0,1007.7,164.7,20.2,24.5,16.9,82.0,-999.0,72.6,-999.0
1902,8,-999.0,1011.7,163.5,21.1,25.1,18.4,86.0,-999.0,59.0,-999.0
1902,9,-999.0,1011.3,139.6,20.8,25.6,17.4,85.0,-999.0,104.6,-999.0
1902,10,-999.0,1018.9,60.2,13.8,20.1,9.3,83.0,-999.0,127.2,-999.0
1902,11,-999.0,1020.7,54.8,8.8,15.1,3.3,78.0,-999.0,142.4,-999.0
1902,12,-999.0,1015.1,71.6,5.6,9.6,2.2,74.0,-999.0,118.6,-999.0
1903,1,-999.0,1017.1,107.9,2.7,6.7,-1.1,81.0,-999.0,100.5,-999.0
1903,2,-999.0,1017.7,33.8,2.1,6.4,-2.0,66.0,-999.0,152.4,-999.0
1903,3,-999.0,1019.1,94.9,5.6,10.4,0.9,67.0,-999.0,139.3,-999.0
1903,4,-999.0,1017.6,61.7,11.8,17.8,6.1,67.0,-999.0,161.6,-999.0
1903,5,-999.0,1012.9,105.8,14.4,20.2,9.0,68.0,-999.0,195.3,-999.0
1903,6,-999.0,1007.6,164.3,18.6,24.5,13.8,69.0,-999.0,165.2,-999.0
1903,7,-999.0,1008.3,211.7,22.0,26.8,18.5,79.0,-999.0,98.9,-999.0
1903,8,-999.0,1011.3,126.6,23.7,29.4,19.3,78.0,-999.0,206.0,-999.0
1903,9,-999.0,1014.5,190.6,21.0,25.4,18.1,84.0,-999.0,99.2,-999.0
1903,10,-999.0,1017.3,102.4,13.3,18.4,9.5,84.0,-999.0,101.8,-999.0
1903,11,-999.0,1017.9,51.4,7.4,12.6,2.1,70.0,-999.0,112.8,-999.0
1903,12,-999.0,1015.3,44.3,1.6,5.2,-2.0,72.0,-999.0,86.0,-999.0
1904,1,-999.0,1016.4,25.8,-0.8,3.1,-4.8,71.0,-999.0,160.0,-999.0
1904,2,-999.0,1018.8,11.8,2.1,6.6,-2.5,65.0,-999.0,161.8,-999.0
1904,3,-999.0,1017.7,80.0,3.5,7.7,-0.3,66.0,-999.0,153.1,-999.0
1904,4,-999.0,1018.1,110.6,10.6,16.7,5.3,70.0,-999.0,147.3,-999.0
1904,5,-999.0,1012.1,114.6,13.9,19.9,8.5,72.0,-999.0,152.1,-999.0
1904,6,-999.0,1009.1,58.4,20.8,26.9,15.4,73.0,-999.0,160.3,-999.0
1904,7,-999.0,1008.9,288.4,23.7,28.9,19.6,81.0,-999.0,156.4,-999.0
1904,8,-999.0,1010.8,59.7,24.1,30.2,20.1,83.0,-999.0,202.9,-999.0
1904,9,-999.0,1011.3,209.5,18.8,24.3,14.8,87.0,-999.0,110.3,-999.0
1904,10,-999.0,1016.5,184.3,13.8,18.8,9.8,85.0,-999.0,95.6,-999.0
1904,11,-999.0,1014.9,16.2,6.5,12.6,0.8,76.0,-999.0,121.8,-999.0
1904,12,-999.0,1016.1,49.2,3.7,8.3,-0.7,77.0,-999.0,106.6,-999.0
1905,1,-999.0,1015.2,74.4,2.6,6.7,-1.4,71.0,-999.0,122.7,-999.0
1905,2,-999.0,1014.0,27.6,-0.2,3.4,-4.0,66.0,-999.0,146.3,-999.0
1905,3,-999.0,1021.5,36.1,3.6,8.7,-1.4,62.0,-999.0,190.7,-999.0
1905,4,-999.0,1015.9,90.8,8.2,13.2,3.1,65.0,-999.0,155.0,-999.0
1905,5,-999.0,1012.9,90.9,15.3,21.4,9.6,70.0,-999.0,180.1,-999.0
1905,6,-999.0,1009.1,190.7,19.2,24.1,15.2,80.0,-999.0,94.9,-999.0
1905,7,-999.0,1009.9,57.0,22.6,27.6,18.8,81.0,-999.0,124.9,-999.0
1905,8,-999.0,1010.0,318.8,20.1,23.8,17.6,91.0,-999.0,54.1,-999.0
1905,9,-999.0,1014.5,102.9,19.6,25.2,15.6,87.0,-999.0,139.9,-999.0
1905,10,-999.0,1018.0,81.2,14.5,20.2,10.0,87.0,-999.0,123.6,-999.0
