Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.1,69.8,2.0,6.9,-1.6,90.0,-999.0,174.9,-999.0
1900,2,-999.0,1019.6,45.9,3.5,9.0,-0.5,88.0,-999.0,189.1,-999.0
1900,3,-999.0,1017.1,124.7,6.1,11.7,1.2,93.0,-999.0,197.6,-999.0
1900,4,-999.0,1016.5,312.7,12.9,18.2,8.0,96.0,-999.0,197.0,-999.0
1900,5,-999.0,1010.3,147.4,17.8,23.6,12.8,84.0,-999.0,241.6,-999.0
1900,6,-999.0,1011.5,128.5,20.8,26.6,16.0,78.0,-999.0,241.3,-999.0
1900,7,-999.0,1007.5,199.3,24.1,28.2,20.7,83.0,-999.0,177.9,-999.0
1900,8,-999.0,1010.7,108.2,26.7,31.5,23.5,85.0,-999.0,215.2,-999.0
1900,9,-999.0,1012.7,329.7,23.2,28.2,19.4,84.0,-999.0,160.4,-999.0
1900,10,-999.0,1018.8,195.2,16.3,22.1,11.6,82.0,-999.0,155.1,-999.0
1900,11,-999.0,1018.8,117.5,11.3,17.9,6.8,83.0,-999.0,145.8,-999.0
1900,12,-999.0,1020.0,51.5,5.5,11.6,1.5,89.0,-999.0,159.4,-999.0
1901,1,-999.0,1020.1,95.3,4.7,10.6,0.6,89.0,-999.0,166.6,-999.0
1901,2,-999.0,1014.3,50.0,2.0,8.4,-2.6,76.0,-999.0,193.3,-999.0
1901,3,-999.0,1019.2,115.5,6.6,13.3,1.2,67.0,-999.0,251.6,-999.0
1901,4,-999.0,1016.5,149.7,13.7,19.5,9.0,76.0,-999.0,174.5,-999.0
1901,5,-999.0,1011.6,117.5,16.6,22.8,11.2,75.0,-999.0,222.0,-999.0
1901,6,-999.0,1007.9,245.0,21.3,26.3,17.3,78.0,-999.0,170.8,-999.0
1901,7,-999.0,1008.0,285.9,23.9,28.1,20.9,82.0,-999.0,178.4,-999.0
1901,8,-999.0,1011.1,90.6,26.4,31.7,23.1,79.0,-999.0,223.4,-999.0
1901,9,-999.0,1011.1,103.2,22.4,29.2,17.7,76.0,-999.0,239.1,-999.0
1901,10,-999.0,1015.9,175.0,17.8,23.6,13.4,80.0,-999.0,146.0,-999.0
1901,11,-999.0,1018.4,87.4,9.8,15.8,5.4,78.0,-999.0,162.7,-999.0
1901,12,-999.0,1019.2,106.8,4.5,10.7,0.3,76.0,-999.0,174.0,-999.0
1902,1,-999.0,1018.7,55.8,2.5,8.4,-1.9,77.0,-999.0,196.7,-999.0
