Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,-999.0,76.9,-4.7,-1.5,-9.7,80.0,-999.0,115.3,-999.0
1900,2,-999.0,-999.0,47.7,-4.4,-0.7,-10.2,81.0,-999.0,131.9,-999.0
1900,3,-999.0,-999.0,40.7,0.1,4.0,-4.7,74.0,-999.0,207.1,-999.0
1900,4,-999.0,-999.0,49.5,6.0,10.4,1.3,72.0,-999.0,234.4,-999.0
1900,5,-999.0,-999.0,55.6,11.2,16.1,6.3,77.0,-999.0,257.8,-999.0
1900,6,-999.0,-999.0,39.4,14.0,18.9,8.7,79.0,-999.0,286.7,-999.0
1900,7,-999.0,-999.0,71.9,17.5,21.8,13.0,83.0,-999.0,247.6,-999.0
1900,8,-999.0,-999.0,201.4,22.4,26.6,18.2,84.0,-999.0,227.7,-999.0
1900,9,-999.0,-999.0,123.9,18.0,22.2,12.6,77.0,-999.0,189.6,-999.0
1900,10,-999.0,-999.0,123.6,11.6,16.9,4.9,74.0,-999.0,209.2,-999.0
1900,11,-999.0,-999.0,67.4,6.2,10.5,1.0,67.0,-999.0,133.0,-999.0
1900,12,-999.0,-999.0,56.1,-0.8,2.7,-5.4,70.0,-999.0,118.6,-999.0
1901,1,-999.0,-999.0,33.3,-1.7,1.5,-6.0,71.0,-999.0,115.3,-999.0
1901,2,-999.0,-999.0,63.1,-1.4,2.1,-5.9,69.0,-999.0,147.2,-999.0
1901,3,-999.0,-999.0,42.6,1.1,5.6,-4.1,65.0,-999.0,222.5,-999.0
1901,4,-999.0,-999.0,30.4,7.3,12.2,1.7,70.0,-999.0,256.0,-999.0
1901,5,-999.0,-999.0,43.7,11.5,16.2,6.4,73.0,-999.0,269.0,-999.0
1901,6,-999.0,-999.0,69.5,14.1,18.1,9.9,83.0,-999.0,183.1,-999.0
1901,7,-999.0,-999.0,103.8,18.0,21.6,14.7,86.0,-999.0,208.8,-999.0
1901,8,-999.0,-999.0,151.0,21.5,25.3,17.8,84.0,-999.0,198.5,-999.0
1901,9,-999.0,-999.0,180.6,17.5,21.4,13.4,83.0,-999.0,163.0,-999.0
1901,10,-999.0,-999.0,123.3,11.6,17.0,5.7,76.0,-999.0,184.8,-999.0
1901,11,-999.0,-999.0,123.9,5.4,10.1,0.5,73.0,-999.0,105.3,-999.0
1901,12,-999.0,-999.0,90.9,-1.6,2.0,-6.3,75.0,-999.0,69.5,-999.0
1902,1,-999.0,1012.7,50.4,-4.5,-0.5,-9.4,77.0,-999.0,84.7,-999.0
1902,2,-999.0,1016.9,86.7,-2.6,1.4,-8.4,73.0,-999.0,124.6,-999.0
1902,3,-999.0,1014.9,77.6,2.0,5.9,-2.8,69.0,-999.0,172.3,-999.0
1902,4,-999.0,1010.1,74.1,5.5,10.0,-0.1,65.0,-999.0,227.5,-999.0
1902,5,-999.0,1010.7,114.3,9.7,13.9,4.9,75.0,-999.0,209.4,-999.0
1902,6,-999.0,1008.4,74.2,12.9,16.7,8.6,82.0,-999.0,196.0,-999.0
1902,7,-999.0,1008.4,155.9,16.0,19.0,13.1,89.0,-999.0,118.9,-999.0
1902,8,-999.0,1012.7,111.2,17.9,21.5,13.9,84.0,-999.0,150.1,-999.0
1902,9,-999.0,1012.3,111.7,18.2,21.8,14.8,83.0,-999.0,101.8,-999.0
1902,10,-999.0,1018.8,93.9,12.4,17.6,5.6,74.0,-999.0,191.3,-999.0
1902,11,-999.0,1019.7,21.4,7.1,11.8,1.0,69.0,-999.0,132.9,-999.0
1902,12,-999.0,1014.7,42.1,2.9,6.0,-0.7,73.0,-999.0,79.5,-999.0
1903,1,-999.0,1016.3,103.5,1.0,4.4,-2.9,74.0,-999.0,76.6,-999.0
1903,2,-999.0,1016.1,96.4,-0.4,3.0,-5.1,71.0,-999.0,102.4,-999.0
1903,3,-999.0,1018.4,63.7,3.1,6.7,-1.4,69.0,-999.0,169.6,-999.0
1903,4,-999.0,1016.8,33.8,8.6,13.0,3.2,74.0,-999.0,209.1,-999.0
1903,5,-999.0,1012.7,120.7,10.8,14.7,6.4,77.0,-999.0,156.0,-999.0
1903,6,-999.0,1008.0,144.9,14.0,17.1,10.6,84.0,-999.0,142.8,-999.0
1903,7,-999.0,1008.3,202.1,18.1,21.9,14.5,87.0,-999.0,136.1,-999.0
1903,8,-999.0,1010.9,65.1,20.8,24.9,16.0,81.0,-999.0,216.4,-999.0
1903,9,-999.0,1015.2,113.6,18.5,22.4,14.1,84.0,-999.0,143.3,-999.0
1903,10,-999.0,1017.3,49.7,10.6,15.4,4.6,75.0,-999.0,170.8,-999.0
1903,11,-999.0,1016.1,139.0,4.8,8.2,0.3,74.0,-999.0,86.8,-999.0
1903,12,-999.0,1012.4,84.9,-1.9,1.3,-6.3,75.0,-999.0,74.0,-999.0
1904,1,-999.0,1014.4,51.1,-4.1,-0.3,-9.8,76.0,-999.0,86.6,-999.0
1904,2,-999.0,1017.2,73.4,-1.3,2.4,-6.1,72.0,-999.0,130.7,-999.0
1904,3,-999.0,1016.8,70.4,1.3,4.5,-2.4,68.0,-999.0,169.4,-999.0
1904,4,-999.0,1018.5,50.0,7.2,11.8,2.0,73.0,-999.0,244.7,-999.0
1904,5,-999.0,1011.1,81.3,11.1,15.1,5.7,74.0,-999.0,234.8,-999.0
1904,6,-999.0,1008.4,75.5,16.5,20.3,12.1,82.0,-999.0,212.3,-999.0
1904,7,-999.0,1009.1,184.5,19.7,23.5,15.7,85.0,-999.0,160.9,-999.0
1904,8,-999.0,1011.7,139.2,22.6,26.8,18.2,81.0,-999.0,261.0,-999.0
1904,9,-999.0,1011.7,223.9,17.1,21.4,12.2,80.0,-999.0,187.8,-999.0
1904,10,-999.0,1016.4,131.8,11.3,15.3,6.3,74.0,-999.0,154.5,-999.0
1904,11,-999.0,1012.8,81.2,4.3,8.2,-0.6,69.0,-999.0,100.0,-999.0
1904,12,-999.0,1014.1,128.0,0.8,4.9,-3.6,71.0,-999.0,105.5,-999.0
1905,1,-999.0,1014.3,36.6,0.4,3.8,-3.7,68.0,-999.0,131.8,-999.0
1905,2,-999.0,1011.5,91.4,-4.1,-0.4,-9.1,76.0,-999.0,127.3,-999.0
1905,3,-999.0,1020.3,38.8,0.0,4.1,-5.0,70.0,-999.0,207.6,-999.0
1905,4,-999.0,1015.2,112.0,4.2,8.2,-0.2,73.0,-999.0,185.2,-999.0
1905,5,-999.0,1011.7,74.1,10.6,15.4,5.2,75.0,-999.0,212.8,-999.0
1905,6,-999.0,1009.7,116.6,13.9,17.6,10.8,86.0,-999.0,121.2,-999.0
1905,7,-999.0,1010.1,61.0,18.4,22.3,14.6,85.0,-999.0,184.9,-999.0
1905,8,-999.0,1010.7,190.5,18.9,22.0,15.6,84.0,-999.0,141.5,-999.0
1905,9,-999.0,1013.2,216.0,17.7,22.2,12.7,77.0,-999.0,178.0,-999.0
1905,10,-999.0,1017.7,186.8,12.8,17.4,7.3,75.0,-999.0,179.5,-999.0
1905,11,-999.0,1018.9,47.9,5.2,9.9,0.2,70.0,-999.0,132.6,-999.0
1905,12,-999.0,1016.4,72.8,1.3,4.6,-3.5,70.0,-999.0,87.4,-999.0
1906,1,-999.0,1014.8,73.8,-3.8,-0.8,-8.2,76.0,-999.0,97.2,-999.0
1906,2,-999.0,1014.5,81.2,-3.0,0.4,-7.7,76.0,-999.0,85.9,-999.0
1906,3,-999.0,1012.8,58.7,1.1,4.9,-3.4,72.0,-999.0,167.2,-999.0
1906,4,-999.0,1011.5,47.1,6.7,11.3,1.9,72.0,-999.0,193.3,-999.0
1906,5,-999.0,1012.0,78.9,10.7,15.4,6.0,75.0,-999.0,220.1,-999.0
1906,6,-999.0,1011.6,26.3,12.9,16.4,9.2,83.0,-999.0,160.8,-999.0
1906,7,-999.0,1008.0,81.4,18.6,22.1,15.8,88.0,-999.0,143.7,-999.0
1906,8,-999.0,1010.0,78.2,19.7,23.4,15.9,86.0,-999.0,161.8,-999.0
1906,9,-999.0,1013.3,37.7,16.1,21.7,9.5,77.0,-999.0,234.5,-999.0
1906,10,-999.0,1017.1,171.2,11.2,16.5,5.4,75.0,-999.0,174.8,-999.0
1906,11,-999.0,1019.1,85.6,2.7,6.7,-1.9,70.0,-999.0,117.9,-999.0
1906,12,-999.0,1010.5,124.6,0.7,3.9,-3.1,74.0,-999.0,62.8,-999.0
1907,1,-999.0,1018.3,58.0,-2.1,1.4,-5.9,76.0,-999.0,96.8,-999.0
1907,2,-999.0,1015.1,27.9,-2.3,1.0,-6.0,71.0,-999.0,153.1,-999.0
1907,3,-999.0,1015.2,58.5,0.4,4.4,-4.3,70.0,-999.0,195.1,-999.0
1907,4,-999.0,1015.5,82.6,6.3,10.7,1.9,76.0,-999.0,193.3,-999.0
1907,5,-999.0,1007.1,140.7,11.0,15.4,6.9,78.0,-999.0,202.1,-999.0
1907,6,-999.0,1009.2,102.9,13.7,17.7,9.5,82.0,-999.0,179.3,-999.0
1907,7,-999.0,1010.3,173.1,17.0,20.8,13.3,86.0,-999.0,204.6,-999.0
1907,8,-999.0,1009.1,84.0,22.9,26.2,20.2,88.0,-999.0,148.1,-999.0
1907,9,-999.0,1015.2,210.9,17.7,21.6,13.3,79.0,-999.0,164.6,-999.0
1907,10,-999.0,1015.9,78.5,10.8,15.8,4.5,70.0,-999.0,198.1,-999.0
1907,11,-999.0,1019.1,59.5,5.3,9.5,0.7,71.0,-999.0,129.3,-999.0
1907,12,-999.0,1012.4,117.1,-2.3,1.1,-6.6,76.0,-999.0,66.6,-999.0
1908,1,-999.0,1018.3,45.6,-4.7,-1.5,-9.3,77.0,-999.0,72.2,-999.0
1908,2,-999.0,1014.9,44.4,-3.4,0.2,-8.2,74.0,-999.0,110.6,-999.0
1908,3,-999.0,1015.6,94.9,-0.1,3.5,-4.4,73.0,-999.0,149.9,-999.0
1908,4,-999.0,1016.3,57.8,6.4,10.8,1.7,72.0,-999.0,204.1,-999.0
1908,5,-999.0,1012.4,109.4,9.5,13.8,5.3,79.0,-999.0,189.0,-999.0
1908,6,-999.0,1009.1,39.4,13.7,18.1,9.0,81.0,-999.0,222.4,-999.0
1908,7,-999.0,1010.1,135.6,17.2,20.2,14.5,85.0,-999.0,131.8,-999.0
1908,8,-999.0,1010.9,100.7,22.3,26.3,18.3,84.0,-999.0,236.2,-999.0
1908,9,-999.0,1015.6,125.2,16.9,20.7,12.4,77.0,-999.0,177.2,-999.0
1908,10,-999.0,1016.4,38.8,10.8,16.6,4.0,74.0,-999.0,211.2,-999.0
1908,11,-999.0,1011.3,84.8,3.2,7.4,-1.4,72.0,-999.0,112.0,-999.0
1908,12,-999.0,1016.4,76.1,-1.0,2.9,-4.8,73.0,-999.0,87.9,-999.0
1909,1,-999.0,1019.1,33.9,-4.5,-0.8,-8.7,73.0,-999.0,128.8,-999.0
1909,2,-999.0,1011.3,73.5,-3.7,0.2,-8.5,76.0,-999.0,118.2,-999.0
1909,3,-999.0,1018.3,75.0,-1.0,3.0,-5.9,71.0,-999.0,188.7,-999.0
1909,4,-999.0,1014.1,86.6,7.4,12.1,2.7,72.0,-999.0,199.3,-999.0
1909,5,-999.0,1011.6,128.4,10.6,14.1,7.0,80.0,-999.0,174.0,-999.0
1909,6,-999.0,1009.5,48.6,14.3,18.2,10.7,84.0,-999.0,194.8,-999.0
1909,7,-999.0,1011.9,77.3,18.8,22.4,15.3,85.0,-999.0,165.3,-999.0
1909,8,-999.0,1010.1,99.4,20.9,24.8,17.2,84.0,-999.0,207.9,-999.0
1909,9,-999.0,1012.5,195.0,17.6,22.5,12.3,78.0,-999.0,174.0,-999.0
1909,10,-999.0,1015.1,161.9,10.5,15.1,5.2,72.0,-999.0,177.6,-999.0
1909,11,-999.0,1014.9,109.4,5.6,10.5,0.4,70.0,-999.0,115.5,-999.0
1909,12,-999.0,1015.6,59.7,-1.3,2.0,-5.4,75.0,-999.0,94.0,-999.0
1910,1,-999.0,1015.3,80.1,-1.4,2.3,-5.6,72.0,-999.0,96.2,-999.0
1910,2,-999.0,1009.7,67.1,-3.0,0.2,-7.2,74.0,-999.0,111.9,-999.0
1910,3,-999.0,1012.4,51.5,0.4,4.2,-3.7,68.0,-999.0,221.5,-999.0
1910,4,-999.0,1015.5,30.0,6.7,11.7,1.2,71.0,-999.0,251.1,-999.0
1910,5,-999.0,1013.1,45.3,9.9,15.2,5.0,77.0,-999.0,258.9,-999.0
1910,6,-999.0,1007.9,118.9,14.9,18.9,10.9,83.0,-999.0,231.5,-999.0
1910,7,-999.0,1009.7,272.1,18.2,21.6,15.2,86.0,-999.0,173.5,-999.0
1910,8,-999.0,1011.2,152.0,20.2,23.8,16.9,85.0,-999.0,164.0,-999.0
1910,9,-999.0,1012.5,162.2,16.4,21.3,11.3,80.0,-999.0,171.5,-999.0
1910,10,-999.0,1020.1,64.4,12.8,18.2,7.5,77.0,-999.0,196.5,-999.0
1910,11,-999.0,1016.3,133.4,5.2,9.6,0.4,70.0,-999.0,129.4,-999.0
1910,12,-999.0,1015.7,69.0,-3.3,0.6,-8.0,73.0,-999.0,103.9,-999.0
1911,1,-999.0,1017.7,60.1,-3.8,0.2,-8.8,76.0,-999.0,125.1,-999.0
1911,2,-999.0,1018.5,59.8,-1.8,2.0,-6.4,73.0,-999.0,157.5,-999.0
1911,3,-999.0,1016.8,46.1,1.4,5.4,-2.3,67.0,-999.0,188.4,-999.0
1911,4,-999.0,1013.1,94.6,6.6,11.1,2.0,72.0,-999.0,210.3,-999.0
1911,5,-999.0,1014.1,33.7,11.1,16.6,4.8,70.0,-999.0,295.5,-999.0
1911,6,-999.0,1009.2,153.0,15.5,20.0,11.2,82.0,-999.0,207.3,-999.0
1911,7,-999.0,1009.5,281.4,18.9,22.4,15.8,86.0,-999.0,148.2,-999.0
1911,8,-999.0,1011.1,147.4,21.0,25.0,17.4,83.0,-999.0,194.1,-999.0
1911,9,-999.0,1014.3,70.7,18.6,23.3,13.3,79.0,-999.0,194.7,-999.0
1911,10,-999.0,1013.6,163.5,12.3,16.7,7.1,74.0,-999.0,163.7,-999.0
1911,11,-999.0,1017.5,165.1,7.8,11.6,3.6,74.0,-999.0,99.4,-999.0
1911,12,-999.0,1016.8,95.1,-0.9,2.3,-4.9,71.0,-999.0,98.5,-999.0
1912,1,-999.0,1015.1,29.6,-2.5,1.3,-6.6,72.0,-999.0,138.0,-999.0
1912,2,-999.0,1014.4,120.2,-0.3,3.3,-4.0,72.0,-999.0,125.4,-999.0
1912,3,-999.0,1013.9,113.7,1.4,5.2,-2.3,69.0,-999.0,177.2,-999.0
1912,4,-999.0,1011.7,64.0,6.6,10.9,1.9,67.0,-999.0,226.4,-999.0
1912,5,-999.0,1011.5,118.6,10.0,14.9,4.7,76.0,-999.0,241.0,-999.0
1912,6,-999.0,1008.9,117.8,13.9,17.5,11.0,86.0,-999.0,132.7,-999.0
1912,7,-999.0,1007.6,103.7,17.9,21.9,13.9,84.0,-999.0,203.3,-999.0
1912,8,-999.0,1012.5,57.6,20.9,24.6,17.5,84.0,-999.0,161.0,-999.0
1912,9,-999.0,1012.9,214.1,16.3,21.4,10.9,77.0,-999.0,162.3,-999.0
1912,10,-999.0,1018.1,87.8,10.4,15.6,4.7,74.0,-999.0,158.0,-999.0
1912,11,-999.0,1016.7,61.7,2.5,6.4,-1.7,71.0,-999.0,85.2,-999.0
1912,12,-999.0,1020.3,74.1,-2.1,0.9,-5.8,71.0,-999.0,80.3,-999.0
1913,1,-999.0,1016.3,58.7,-4.2,-0.9,-8.7,75.0,-999.0,88.2,-999.0
1913,2,-999.0,1013.7,51.1,-2.1,1.5,-6.3,69.0,-999.0,124.5,-999.0
1913,3,-999.0,1012.4,51.8,-0.3,3.7,-4.6,69.0,-999.0,179.2,-999.0
1913,4,-999.0,1015.2,72.0,6.9,11.6,1.7,71.0,-999.0,213.8,-999.0
1913,5,-999.0,1008.9,84.1,10.1,14.7,5.7,74.0,-999.0,222.3,-999.0
1913,6,-999.0,1007.5,117.9,13.0,17.2,9.8,83.0,-999.0,134.1,-999.0
1913,7,-999.0,1009.7,93.3,16.6,20.2,14.0,88.0,-999.0,108.0,-999.0
1913,8,-999.0,1007.7,169.9,19.0,23.5,15.0,81.0,-999.0,191.0,-999.0
1913,9,-999.0,1013.1,114.9,15.7,20.9,10.4,77.0,-999.0,210.5,-999.0
1913,10,-999.0,1016.4,113.2,10.8,15.6,5.2,75.0,-999.0,154.4,-999.0
1913,11,-999.0,1019.1,102.4,4.6,9.0,-0.3,72.0,-999.0,105.9,-999.0
1913,12,-999.0,1015.1,82.3,-0.3,2.9,-4.1,75.0,-999.0,70.5,-999.0
1914,1,-999.0,1013.3,113.2,-0.2,3.5,-3.8,73.0,-999.0,76.2,-999.0
1914,2,-999.0,1017.7,19.6,-0.5,3.8,-4.7,67.0,-999.0,155.8,-999.0
1914,3,-999.0,1015.7,95.2,3.3,7.1,-1.1,74.0,-999.0,152.2,-999.0
1914,4,-999.0,1012.8,39.1,6.3,11.0,1.5,66.0,-999.0,234.6,-999.0
1914,5,-999.0,1012.8,54.1,12.3,17.5,7.2,75.0,-999.0,227.6,-999.0
1914,6,-999.0,1008.9,82.4,15.4,19.5,11.6,82.0,-999.0,189.1,-999.0
1914,7,-999.0,1007.2,81.5,19.4,23.2,16.2,83.0,-999.0,134.1,-999.0
1914,8,-999.0,1010.1,170.5,21.9,25.9,18.5,83.0,-999.0,167.1,-999.0
1914,9,-999.0,1014.8,211.5,18.8,23.7,13.8,78.0,-999.0,157.0,-999.0
1914,10,-999.0,1016.9,68.5,12.2,17.7,6.1,76.0,-999.0,157.8,-999.0
1914,11,-999.0,1017.6,159.1,8.0,12.1,3.4,74.0,-999.0,95.6,-999.0
1914,12,-999.0,1013.9,93.2,-0.7,2.7,-4.8,74.0,-999.0,76.9,-999.0
1915,1,-999.0,1016.8,102.5,-3.3,0.2,-7.3,79.0,-999.0,80.0,-999.0
1915,2,-999.0,1013.6,96.1,-1.4,2.2,-5.4,77.0,-999.0,71.4,-999.0
1915,3,-999.0,1012.5,95.6,0.7,4.4,-2.7,76.0,-999.0,114.7,-999.0
1915,4,-999.0,1014.0,59.7,6.0,10.3,1.7,71.0,-999.0,186.3,-999.0
1915,5,-999.0,1012.1,55.8,8.9,13.7,4.7,78.0,-999.0,179.6,-999.0
1915,6,-999.0,1010.0,85.4,15.7,20.2,11.8,84.0,-999.0,162.9,-999.0
1915,7,-999.0,1009.6,77.5,18.5,22.4,15.7,86.0,-999.0,83.6,-999.0
1915,8,-999.0,1007.1,76.7,21.9,25.9,18.6,83.0,-999.0,153.6,-999.0
1915,9,-999.0,1014.1,41.0,19.2,23.9,14.8,78.0,-999.0,147.0,-999.0
1915,10,-999.0,1016.3,168.1,13.4,18.4,8.7,77.0,-999.0,130.2,-999.0
1915,11,-999.0,1020.8,71.8,5.8,10.7,1.6,73.0,-999.0,121.4,-999.0
1915,12,-999.0,1013.7,130.4,1.9,5.4,-2.1,74.0,-999.0,78.4,-999.0
1916,1,-999.0,1016.4,38.6,-0.9,2.6,-4.5,72.0,-999.0,64.4,-999.0
1916,2,-999.0,1014.0,66.4,-1.5,2.3,-5.5,75.0,-999.0,86.5,-999.0
1916,3,-999.0,1012.0,56.0,-0.2,3.4,-4.0,72.0,-999.0,156.8,-999.0
1916,4,-999.0,1015.7,68.9,6.0,10.3,1.4,70.0,-999.0,164.5,-999.0
1916,5,-999.0,1012.4,120.0,10.3,14.8,6.1,78.0,-999.0,176.9,-999.0
1916,6,-999.0,1009.7,140.1,16.6,20.9,13.1,85.0,-999.0,138.5,-999.0
1916,7,-999.0,1010.4,115.8,20.4,24.8,16.9,83.0,-999.0,206.0,-999.0
1916,8,-999.0,1010.4,24.1,23.5,28.2,19.0,78.0,-999.0,233.4,-999.0
1916,9,-999.0,1013.1,254.6,19.0,23.5,14.0,78.0,-999.0,137.5,-999.0
1916,10,-999.0,1019.1,130.0,12.6,17.3,7.8,74.0,-999.0,160.8,-999.0
1916,11,-999.0,1022.8,57.9,6.8,11.0,2.3,73.0,-999.0,106.3,-999.0
1916,12,-999.0,1016.8,42.4,0.3,3.8,-4.1,72.0,-999.0,83.3,-999.0
1917,1,-999.0,1010.9,57.9,-1.9,1.7,-5.7,74.0,-999.0,100.7,-999.0
1917,2,-999.0,1010.4,27.2,-1.2,2.6,-5.0,72.0,-999.0,119.1,-999.0
1917,3,-999.0,1016.5,101.0,0.5,3.8,-2.9,71.0,-999.0,143.3,-999.0
1917,4,-999.0,1011.2,78.2,6.3,10.7,1.9,73.0,-999.0,200.0,-999.0
1917,5,-999.0,1008.1,53.1,10.0,14.7,5.1,73.0,-999.0,196.3,-999.0
1917,6,-999.0,1008.8,76.5,14.3,18.8,10.0,82.0,-999.0,210.8,-999.0
1917,7,-999.0,1010.8,80.3,20.0,23.9,16.8,85.0,-999.0,137.2,-999.0
1917,8,-999.0,1010.3,118.0,21.3,25.1,17.5,82.0,-999.0,192.8,-999.0
1917,9,-999.0,1014.9,212.6,18.0,21.7,13.9,79.0,-999.0,149.9,-999.0
1917,10,-999.0,1015.7,264.2,13.1,16.9,8.5,75.0,-999.0,158.1,-999.0
1917,11,-999.0,1014.4,97.5,4.3,8.0,0.4,75.0,-999.0,125.5,-999.0
1917,12,-999.0,1007.6,54.9,1.8,4.7,-1.5,73.0,-999.0,104.6,-999.0
1918,1,-999.0,1009.2,119.3,-2.3,0.5,-5.8,77.0,-999.0,88.9,-999.0
1918,2,-999.0,1018.0,66.5,-2.2,1.3,-7.2,74.0,-999.0,112.7,-999.0
1918,3,-999.0,1015.2,70.0,1.4,4.5,-1.8,69.0,-999.0,164.1,-999.0
1918,4,-999.0,1016.5,59.2,5.6,10.0,1.5,74.0,-999.0,197.8,-999.0
1918,5,-999.0,1010.7,91.0,10.4,14.1,7.0,80.0,-999.0,161.6,-999.0
1918,6,-999.0,1008.3,102.4,14.7,18.5,11.5,84.0,-999.0,139.8,-999.0
1918,7,-999.0,1008.5,109.2,19.3,22.9,16.7,86.0,-999.0,130.4,-999.0
1918,8,-999.0,1011.7,176.4,21.7,25.4,18.3,82.0,-999.0,156.9,-999.0
1918,9,-999.0,1011.6,199.9,19.1,23.2,15.3,81.0,-999.0,120.2,-999.0
1918,10,-999.0,1017.7,90.1,12.1,16.6,7.2,75.0,-999.0,181.4,-999.0
1918,11,-999.0,1018.7,116.5,5.1,8.2,0.8,71.0,-999.0,91.3,-999.0
1918,12,-999.0,1017.2,73.7,-2.2,0.7,-6.1,77.0,-999.0,61.9,-999.0
1919,1,-999.0,1014.1,120.5,-3.9,-0.9,-7.5,80.0,-999.0,72.9,-999.0
1919,2,-999.0,1016.9,19.9,-1.9,1.2,-6.2,74.0,-999.0,94.3,-999.0
1919,3,-999.0,1012.8,50.0,1.5,4.6,-2.0,68.0,-999.0,160.7,-999.0
1919,4,-999.0,1011.9,54.9,6.3,10.1,2.0,69.0,-999.0,221.0,-999.0
1919,5,-999.0,1012.0,86.4,10.3,14.5,5.5,72.0,-999.0,229.0,-999.0
1919,6,-999.0,1008.1,122.8,14.2,17.8,10.9,81.0,-999.0,188.3,-999.0
1919,7,-999.0,1011.9,61.3,20.1,23.9,16.9,83.0,-999.0,221.0,-999.0
1919,8,-999.0,1011.2,173.1,20.4,24.0,16.8,81.0,-999.0,174.5,-999.0
1919,9,-999.0,1012.8,162.9,18.9,22.5,15.2,79.0,-999.0,130.7,-999.0
1919,10,-999.0,1015.5,178.2,13.0,16.7,9.0,74.0,-999.0,138.2,-999.0
1919,11,-999.0,1017.6,49.1,7.5,11.4,3.3,72.0,-999.0,126.6,-999.0
1919,12,-999.0,1013.6,31.3,0.7,3.6,-2.6,71.0,-999.0,96.8,-999.0
1920,1,-999.0,1010.8,116.9,0.4,3.0,-2.5,75.0,-999.0,62.3,-999.0
1920,2,-999.0,1019.6,46.3,-2.7,0.5,-6.6,71.0,-999.0,124.0,-999.0
1920,3,-999.0,1020.7,62.4,2.1,5.7,-1.8,72.0,-999.0,183.5,-999.0
1920,4,-999.0,1016.4,81.2,6.5,10.5,2.5,75.0,-999.0,186.4,-999.0
1920,5,-999.0,1010.3,156.3,10.2,13.3,7.5,86.0,-999.0,96.6,-999.0
1920,6,-999.0,1009.2,78.6,15.3,19.5,11.7,81.0,-999.0,207.8,-999.0
1920,7,-999.0,1010.4,130.0,20.8,24.6,17.8,86.0,-999.0,177.9,-999.0
1920,8,-999.0,1009.1,205.8,22.7,25.9,20.2,86.0,-999.0,136.1,-999.0
1920,9,-999.0,1014.7,113.0,17.6,21.8,12.7,75.0,-999.0,203.9,-999.0
1920,10,-999.0,1016.0,118.8,12.3,16.9,7.1,73.0,-999.0,172.9,-999.0
1920,11,-999.0,1017.3,149.4,7.1,10.5,3.0,71.0,-999.0,87.7,-999.0
1920,12,-999.0,1018.1,70.5,-1.1,2.4,-4.9,74.0,-999.0,85.0,-999.0
1921,1,-999.0,1015.2,52.0,-2.7,0.2,-6.4,73.0,-999.0,71.8,-999.0
1921,2,-999.0,1012.7,61.5,-1.9,1.1,-5.7,71.0,-999.0,95.0,-999.0
1921,3,-999.0,1012.4,51.6,0.3,3.2,-3.0,71.0,-999.0,161.3,-999.0
1921,4,-999.0,1016.1,69.7,7.3,11.3,3.6,77.0,-999.0,175.7,-999.0
1921,5,-999.0,1011.5,77.5,10.1,14.2,5.6,75.0,-999.0,205.7,-999.0
1921,6,-999.0,1010.9,48.7,13.6,17.6,9.7,79.0,-999.0,201.4,-999.0
1921,7,-999.0,1012.0,161.3,19.3,22.8,16.8,88.0,-999.0,100.6,-999.0
1921,8,-999.0,1009.5,79.9,21.3,25.1,17.9,82.0,-999.0,186.8,-999.0
1921,9,-999.0,1015.2,133.9,18.2,21.9,14.5,80.0,-999.0,141.7,-999.0
1921,10,-999.0,1018.7,29.4,12.4,16.5,8.0,71.0,-999.0,150.1,-999.0
1921,11,-999.0,1012.4,124.1,4.4,7.6,0.4,73.0,-999.0,97.0,-999.0
1921,12,-999.0,1015.6,60.0,-0.6,2.2,-3.9,75.0,-999.0,85.7,-999.0
1922,1,-999.0,1014.8,49.5,-6.5,-3.9,-10.1,83.0,-999.0,103.8,-999.0
1922,2,-999.0,1018.7,117.7,0.1,3.1,-3.3,76.0,-999.0,105.3,-999.0
1922,3,-999.0,1013.9,77.8,-0.1,3.2,-3.9,71.0,-999.0,150.8,-999.0
1922,4,-999.0,1014.9,63.8,7.2,11.3,3.2,73.0,-999.0,217.3,-999.0
1922,5,-999.0,1013.3,128.1,9.9,13.9,6.0,78.0,-999.0,194.8,-999.0
1922,6,-999.0,1008.4,100.1,15.1,19.4,11.1,80.0,-999.0,209.2,-999.0
1922,7,-999.0,1009.9,197.8,20.0,23.2,17.5,87.0,-999.0,131.3,-999.0
