Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1022.9,69.5,2.8,7.3,-0.7,70.0,-999.0,112.1,-999.0
1900,2,-999.0,1022.3,22.0,3.6,8.8,-0.8,69.0,-999.0,147.1,-999.0
1900,3,-999.0,1018.7,45.8,6.6,12.4,1.2,67.0,-999.0,188.7,-999.0
1900,4,-999.0,1016.4,209.5,12.8,17.7,7.9,75.0,-999.0,169.8,-999.0
1900,5,-999.0,1010.5,169.9,17.3,22.5,12.0,75.0,-999.0,190.4,-999.0
1900,6,-999.0,1011.6,97.9,20.8,25.9,15.8,72.0,-999.0,219.4,-999.0
1900,7,-999.0,1007.9,325.3,24.0,27.9,20.5,84.0,-999.0,181.7,-999.0
1900,8,-999.0,1009.1,178.8,27.3,31.6,23.5,78.0,-999.0,239.3,-999.0
1900,9,-999.0,1012.9,89.7,23.8,28.8,19.7,73.0,-999.0,171.6,-999.0
1900,10,-999.0,1019.3,143.1,16.8,22.5,11.8,77.0,-999.0,189.4,-999.0
1900,11,-999.0,1020.7,75.7,11.3,16.9,6.6,74.0,-999.0,163.1,-999.0
1900,12,-999.0,1022.7,21.5,5.9,11.2,1.7,72.0,-999.0,155.4,-999.0
1901,1,-999.0,1021.7,73.1,6.1,10.9,2.0,74.0,-999.0,142.9,-999.0
1901,2,-999.0,1017.7,19.7,2.3,7.4,-2.3,69.0,-999.0,167.6,-999.0
1901,3,-999.0,1021.2,70.8,6.5,12.6,0.9,67.0,-999.0,233.9,-999.0
1901,4,-999.0,1015.6,188.9,13.3,17.8,8.7,76.0,-999.0,173.6,-999.0
1901,5,-999.0,1012.4,73.2,16.2,21.6,10.9,70.0,-999.0,206.7,-999.0
1901,6,-999.0,1007.5,376.3,21.0,25.0,17.0,78.0,-999.0,137.6,-999.0
1901,7,-999.0,1007.9,269.7,23.5,27.0,20.5,84.0,-999.0,115.5,-999.0
1901,8,-999.0,1011.1,54.0,26.5,31.1,22.2,76.0,-999.0,264.3,-999.0
1901,9,-999.0,1011.9,53.6,22.1,27.4,17.5,73.0,-999.0,201.9,-999.0
1901,10,-999.0,1016.3,119.2,18.0,22.7,13.5,74.0,-999.0,161.5,-999.0
1901,11,-999.0,1020.3,29.5,10.4,16.6,4.9,70.0,-999.0,182.6,-999.0
1901,12,-999.0,1022.0,72.4,5.1,10.6,0.5,65.0,-999.0,169.7,-999.0
1902,1,-999.0,1021.1,25.1,4.0,9.8,-0.6,67.0,-999.0,176.3,-999.0
1902,2,-999.0,1024.0,6.3,4.2,9.9,-0.8,67.0,-999.0,185.0,-999.0
1902,3,-999.0,1018.4,148.8,9.1,14.1,4.0,72.0,-999.0,176.3,-999.0
1902,4,-999.0,1016.1,157.4,11.5,16.3,6.8,74.0,-999.0,173.3,-999.0
1902,5,-999.0,1011.7,226.2,16.9,21.8,12.4,78.0,-999.0,166.6,-999.0
1902,6,-999.0,1007.2,239.6,20.8,25.5,16.6,74.0,-999.0,186.9,-999.0
1902,7,-999.0,1008.0,237.7,24.0,27.9,20.3,78.0,-999.0,178.6,-999.0
1902,8,-999.0,1008.9,313.4,25.1,29.1,21.6,80.0,-999.0,165.6,-999.0
1902,9,-999.0,1009.7,140.6,22.3,26.9,18.4,76.0,-999.0,159.3,-999.0
1902,10,-999.0,1019.5,111.1,16.4,22.2,11.2,74.0,-999.0,210.6,-999.0
1902,11,-999.0,1021.5,93.9,12.8,18.1,8.2,77.0,-999.0,136.5,-999.0
1902,12,-999.0,1018.1,116.3,8.4,13.4,4.1,74.0,-999.0,117.5,-999.0
1903,1,-999.0,1020.4,46.6,5.0,10.3,0.8,73.0,-999.0,119.5,-999.0
1903,2,-999.0,1022.3,88.7,4.9,9.8,0.7,72.0,-999.0,132.5,-999.0
1903,3,-999.0,1018.3,127.1,9.3,13.8,5.2,72.0,-999.0,134.0,-999.0
1903,4,-999.0,1016.7,166.2,13.7,18.5,8.8,73.0,-999.0,185.0,-999.0
1903,5,-999.0,1014.0,326.8,16.3,21.2,11.0,71.0,-999.0,234.5,-999.0
1903,6,-999.0,1007.5,95.0,21.0,25.6,16.5,74.0,-999.0,204.0,-999.0
1903,7,-999.0,1008.7,325.5,23.6,27.1,20.4,82.0,-999.0,116.2,-999.0
1903,8,-999.0,1012.1,20.4,26.9,31.7,22.7,76.0,-999.0,262.5,-999.0
1903,9,-999.0,1013.5,99.7,23.7,28.6,19.5,76.0,-999.0,190.6,-999.0
1903,10,-999.0,1016.9,85.7,16.7,22.0,12.0,73.0,-999.0,154.0,-999.0
1903,11,-999.0,1020.7,64.6,10.2,15.6,5.1,72.0,-999.0,156.5,-999.0
1903,12,-999.0,1020.9,53.0,4.6,9.8,0.2,73.0,-999.0,111.5,-999.0
1904,1,-999.0,1023.1,22.5,3.1,8.1,-1.3,71.0,-999.0,116.6,-999.0
1904,2,-999.0,1021.1,43.1,5.1,10.7,0.0,69.0,-999.0,163.2,-999.0
1904,3,-999.0,1018.5,95.9,7.3,12.1,2.3,66.0,-999.0,171.9,-999.0
1904,4,-999.0,1017.6,302.4,13.6,18.1,8.6,74.0,-999.0,133.9,-999.0
1904,5,-999.0,1011.9,125.0,16.6,21.8,11.2,72.0,-999.0,178.9,-999.0
1904,6,-999.0,1010.0,337.0,21.6,25.4,17.8,80.0,-999.0,150.6,-999.0
1904,7,-999.0,1008.8,163.2,26.2,30.6,22.0,75.0,-999.0,243.9,-999.0
1904,8,-999.0,1009.2,56.0,26.7,32.0,22.0,70.0,-999.0,289.7,-999.0
1904,9,-999.0,1011.5,87.0,22.1,27.5,17.1,70.0,-999.0,201.3,-999.0
1904,10,-999.0,1017.3,85.3,16.5,21.9,11.8,71.0,-999.0,177.2,-999.0
1904,11,-999.0,1019.7,28.3,9.1,15.5,3.8,73.0,-999.0,174.7,-999.0
1904,12,-999.0,1021.1,14.6,6.8,12.7,2.1,71.0,-999.0,153.2,-999.0
1905,1,-999.0,1018.1,44.6,5.8,11.1,1.4,73.0,-999.0,126.0,-999.0
1905,2,-999.0,1018.9,20.5,3.6,8.6,-0.8,65.0,-999.0,126.2,-999.0
1905,3,-999.0,1021.1,156.0,7.6,11.7,3.4,73.0,-999.0,132.3,-999.0
1905,4,-999.0,1016.0,183.3,11.9,16.9,6.6,71.0,-999.0,162.2,-999.0
1905,5,-999.0,1013.6,133.6,17.2,21.9,12.2,75.0,-999.0,188.6,-999.0
1905,6,-999.0,1007.5,412.7,21.3,24.9,17.8,82.0,-999.0,134.3,-999.0
1905,7,-999.0,1008.9,314.7,25.7,29.5,22.3,82.0,-999.0,154.9,-999.0
1905,8,-999.0,1009.1,444.9,24.5,28.7,20.9,83.0,-999.0,146.6,-999.0
1905,9,-999.0,1014.7,68.6,22.7,27.3,18.7,78.0,-999.0,145.4,-999.0
1905,10,-999.0,1017.9,131.8,17.0,22.7,12.0,73.0,-999.0,203.5,-999.0
1905,11,-999.0,1022.1,26.6,11.5,17.2,6.4,71.0,-999.0,173.1,-999.0
1905,12,-999.0,1020.5,86.0,8.5,13.4,4.2,73.0,-999.0,124.4,-999.0
1906,1,-999.0,1022.3,72.9,3.5,8.5,-0.7,69.0,-999.0,139.7,-999.0
1906,2,-999.0,1017.9,115.0,4.1,8.3,0.4,67.0,-999.0,84.0,-999.0
1906,3,-999.0,1018.1,84.7,7.3,12.5,2.3,69.0,-999.0,172.4,-999.0
1906,4,-999.0,1015.6,102.4,12.4,18.1,6.6,70.0,-999.0,225.8,-999.0
1906,5,-999.0,1012.7,209.1,17.3,21.7,12.6,76.0,-999.0,176.1,-999.0
1906,6,-999.0,1008.5,300.9,21.0,24.8,17.2,79.0,-999.0,140.9,-999.0
1906,7,-999.0,1004.1,103.1,25.4,29.6,21.6,76.0,-999.0,196.6,-999.0
1906,8,-999.0,1008.4,114.1,26.4,31.1,22.5,78.0,-999.0,240.0,-999.0
1906,9,-999.0,1013.5,243.2,22.1,26.7,18.3,80.0,-999.0,138.3,-999.0
1906,10,-999.0,1017.7,129.8,16.6,22.0,11.8,72.0,-999.0,173.7,-999.0
1906,11,-999.0,1022.4,12.8,10.6,16.1,5.9,67.0,-999.0,151.8,-999.0
1906,12,-999.0,1019.3,41.1,5.8,11.1,0.7,71.0,-999.0,143.8,-999.0
1907,1,-999.0,1021.2,85.1,5.3,10.8,0.7,71.0,-999.0,168.1,-999.0
1907,2,-999.0,1020.5,28.0,2.9,8.2,-1.5,66.0,-999.0,159.7,-999.0
1907,3,-999.0,1018.7,90.7,7.1,12.3,2.3,70.0,-999.0,164.8,-999.0
1907,4,-999.0,1016.5,109.9,13.0,18.7,7.2,68.0,-999.0,235.6,-999.0
1907,5,-999.0,1010.3,100.8,17.4,22.9,11.4,66.0,-999.0,248.7,-999.0
1907,6,-999.0,1008.7,199.5,20.6,25.3,16.1,74.0,-999.0,203.1,-999.0
1907,7,-999.0,1006.9,429.6,24.7,29.0,21.0,78.0,-999.0,180.3,-999.0
1907,8,-999.0,1006.3,116.5,26.9,31.9,22.8,75.0,-999.0,249.2,-999.0
1907,9,-999.0,1011.2,246.8,22.4,27.5,18.1,74.0,-999.0,195.4,-999.0
