Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.1,52.6,3.2,6.8,0.3,68.0,-999.0,107.7,-999.0
1900,2,-999.0,1020.5,29.9,4.1,8.4,0.4,63.0,-999.0,126.3,-999.0
1900,3,-999.0,1017.5,67.7,6.9,11.5,2.8,64.0,-999.0,144.5,-999.0
1900,4,-999.0,1016.0,182.5,13.6,18.1,9.5,70.0,-999.0,153.7,0.0
1900,5,-999.0,1010.1,58.0,18.4,23.3,14.3,68.0,-999.0,228.3,0.0
1900,6,-999.0,1011.2,73.0,21.3,26.3,17.3,67.0,-999.0,209.3,0.0
1900,7,-999.0,1007.5,173.4,24.3,28.6,21.3,80.0,-999.0,165.3,0.0
1900,8,-999.0,1009.6,88.1,27.5,32.0,24.4,75.0,-999.0,207.7,0.0
1900,9,-999.0,1012.4,174.3,24.0,28.3,20.7,74.0,-999.0,176.9,0.0
1900,10,-999.0,1018.5,156.2,17.7,21.8,14.0,72.0,-999.0,166.4,0.0
1900,11,-999.0,1019.2,128.1,12.7,16.6,9.3,78.0,-999.0,143.5,0.0
1900,12,-999.0,1020.8,35.6,6.7,10.6,3.2,68.0,-999.0,142.7,-999.0
1901,1,-999.0,1020.4,67.0,6.3,10.0,3.0,71.0,-999.0,112.5,-999.0
1901,2,-999.0,1015.5,20.8,3.2,7.6,-0.4,63.0,-999.0,126.2,-999.0
1901,3,-999.0,1020.1,87.5,7.1,12.2,2.3,66.0,-999.0,197.5,-999.0
1901,4,-999.0,1015.9,136.6,14.3,19.0,10.2,76.0,-999.0,164.7,0.0
1901,5,-999.0,1011.9,38.3,17.3,22.5,13.0,73.0,-999.0,224.9,0.0
1901,6,-999.0,1007.7,286.7,21.5,25.7,17.9,76.0,-999.0,150.5,0.0
1901,7,-999.0,1007.9,142.1,23.9,27.5,21.2,83.0,-999.0,134.9,0.0
1901,8,-999.0,1011.1,50.1,27.0,31.8,23.5,74.0,-999.0,249.7,0.0
1901,9,-999.0,1011.3,47.9,23.5,28.4,19.6,67.0,-999.0,213.5,0.0
1901,10,-999.0,1015.7,116.0,18.9,22.9,15.2,72.0,-999.0,132.6,0.0
1901,11,-999.0,1018.9,42.0,11.6,15.7,7.8,68.0,-999.0,156.1,-999.0
1901,12,-999.0,1020.4,53.2,6.0,10.4,1.7,62.0,-999.0,161.3,-999.0
1902,1,-999.0,1019.9,21.5,4.1,8.8,-0.1,64.0,-999.0,150.9,-999.0
1902,2,-999.0,1022.9,6.5,4.3,9.3,-0.2,63.0,-999.0,173.3,-999.0
1902,3,-999.0,1017.6,97.9,9.5,14.4,4.8,69.0,-999.0,182.7,-999.0
1902,4,-999.0,1015.3,97.9,12.3,16.9,7.7,69.0,-999.0,173.9,0.0
1902,5,-999.0,1012.1,215.2,17.4,22.0,13.4,75.0,-999.0,143.0,0.0
1902,6,-999.0,1007.5,149.5,21.2,25.5,17.4,78.0,-999.0,197.5,0.0
1902,7,-999.0,1008.3,160.5,23.7,27.6,20.5,80.0,-999.0,163.1,0.0
1902,8,-999.0,1009.5,273.0,25.4,29.9,21.8,78.0,-999.0,201.7,0.0
1902,9,-999.0,1009.9,118.7,23.2,27.4,19.5,73.0,-999.0,168.4,0.0
1902,10,-999.0,1018.7,109.9,17.4,21.7,13.6,73.0,-999.0,193.9,0.0
1902,11,-999.0,1021.1,67.3,13.5,17.3,9.7,76.0,-999.0,150.9,0.0
1902,12,-999.0,1017.1,56.2,9.2,13.1,5.8,70.0,-999.0,142.6,0.0
1903,1,-999.0,1019.3,64.8,6.0,9.8,2.4,69.0,-999.0,141.6,-999.0
1903,2,-999.0,1020.9,41.6,5.0,9.1,0.9,69.0,-999.0,137.8,-999.0
1903,3,-999.0,1018.1,123.5,9.8,13.7,5.8,70.0,-999.0,146.1,0.0
1903,4,-999.0,1016.8,152.2,14.2,18.4,10.3,74.0,-999.0,159.0,0.0
1903,5,-999.0,1014.3,210.8,16.5,21.0,12.2,69.0,-999.0,218.4,0.0
1903,6,-999.0,1007.7,60.3,21.0,25.8,17.0,71.0,-999.0,212.8,0.0
1903,7,-999.0,1009.3,628.0,23.5,26.9,21.0,85.0,-999.0,124.7,0.0
1903,8,-999.0,1012.3,9.1,27.5,32.8,23.5,71.0,-999.0,294.4,0.0
1903,9,-999.0,1013.2,170.2,24.7,29.4,21.1,72.0,-999.0,197.4,0.0
1903,10,-999.0,1016.5,152.6,17.4,21.4,13.7,72.0,-999.0,163.2,0.0
1903,11,-999.0,1019.7,74.1,11.0,15.2,7.0,69.0,-999.0,187.6,0.0
1903,12,-999.0,1019.5,56.3,5.7,9.5,2.0,64.0,-999.0,178.0,-999.0
1904,1,-999.0,1021.3,22.0,3.3,7.5,-0.4,64.0,-999.0,180.6,-999.0
1904,2,-999.0,1020.4,33.2,5.7,10.1,1.2,66.0,-999.0,190.9,-999.0
1904,3,-999.0,1018.0,123.1,7.3,11.6,3.0,68.0,-999.0,176.6,-999.0
1904,4,-999.0,1017.6,125.0,14.5,19.0,10.3,73.0,-999.0,178.2,0.0
1904,5,-999.0,1011.9,123.4,17.3,21.9,13.0,72.0,-999.0,186.7,0.0
1904,6,-999.0,1010.3,253.9,22.3,26.6,19.1,80.0,-999.0,187.3,0.0
1904,7,-999.0,1008.8,186.6,26.3,31.4,22.7,76.0,-999.0,234.7,0.0
1904,8,-999.0,1009.6,93.4,27.3,32.6,23.2,69.0,-999.0,287.6,0.0
1904,9,-999.0,1010.7,107.3,22.7,27.4,18.7,71.0,-999.0,195.4,0.0
1904,10,-999.0,1016.7,165.1,17.0,21.0,13.8,73.0,-999.0,151.5,0.0
1904,11,-999.0,1018.5,26.9,10.1,14.8,5.9,69.0,-999.0,179.6,0.0
1904,12,-999.0,1019.7,36.9,7.2,11.7,3.4,69.0,-999.0,175.4,-999.0
1905,1,-999.0,1017.5,64.7,6.3,10.5,2.5,72.0,-999.0,139.4,-999.0
1905,2,-999.0,1017.6,17.4,3.7,8.5,-0.2,63.0,-999.0,179.0,-999.0
1905,3,-999.0,1020.9,102.7,7.4,11.7,3.2,70.0,-999.0,162.4,-999.0
1905,4,-999.0,1015.7,149.9,12.3,17.0,7.3,67.0,-999.0,186.5,0.0
1905,5,-999.0,1013.7,115.8,17.7,22.6,13.0,72.0,-999.0,207.6,0.0
1905,6,-999.0,1007.9,425.8,21.5,25.8,17.9,83.0,-999.0,136.0,0.0
1905,7,-999.0,1009.3,177.0,25.8,30.4,22.3,80.0,-999.0,221.2,0.0
1905,8,-999.0,1009.5,304.3,24.5,28.9,21.2,83.0,-999.0,182.6,0.0
1905,9,-999.0,1014.7,49.7,23.1,27.7,19.6,76.0,-999.0,180.2,0.0
1905,10,-999.0,1017.3,92.0,17.8,22.7,13.8,72.0,-999.0,193.5,-999.0
1905,11,-999.0,1021.2,21.3,12.3,17.2,8.1,70.0,-999.0,199.6,0.0
1905,12,-999.0,1019.6,57.6,9.1,13.7,5.0,72.0,-999.0,150.4,-999.0
1906,1,-999.0,1020.8,83.0,3.6,8.5,-0.5,70.0,-999.0,168.9,-999.0
1906,2,-999.0,1016.4,103.7,4.1,8.4,0.6,69.0,-999.0,130.6,-999.0
1906,3,-999.0,1017.2,60.7,7.7,13.2,2.7,68.0,-999.0,203.2,-999.0
1906,4,-999.0,1014.9,68.2,13.2,19.4,7.8,66.0,-999.0,226.3,0.0
