Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.9,47.8,-1.3,4.9,-6.9,77.0,1.2,186.4,-999.0
1900,2,-999.0,1017.2,22.1,2.1,9.0,-3.9,67.0,2.4,215.8,-999.0
1900,3,-999.0,1015.2,52.1,5.1,12.2,-1.3,68.0,2.2,222.7,-999.0
1900,4,-999.0,1015.9,133.2,12.6,19.2,6.8,74.0,1.8,188.8,-999.0
1900,5,-999.0,1009.3,64.9,17.4,24.8,11.0,71.0,1.9,255.1,-999.0
1900,6,-999.0,1011.1,69.4,20.2,27.1,14.6,70.0,1.5,252.6,-999.0
1900,7,-999.0,1006.9,100.5,23.8,28.8,20.0,79.0,1.3,188.8,-999.0
1900,8,-999.0,1011.2,154.8,25.7,31.6,21.7,81.0,1.3,251.1,-999.0
1900,9,-999.0,1013.5,181.2,22.5,27.8,18.3,83.0,1.2,169.0,-999.0
1900,10,-999.0,1018.9,90.6,15.4,22.3,10.3,81.0,0.9,189.7,-999.0
1900,11,-999.0,1018.9,99.0,9.5,16.3,4.1,81.0,1.1,172.4,-999.0
1900,12,-999.0,1018.3,28.6,4.0,11.2,-2.1,68.0,1.8,214.5,-999.0
1901,1,-999.0,1019.7,55.1,2.4,8.7,-2.3,78.0,1.1,173.2,-999.0
1901,2,-999.0,1011.7,18.0,1.7,9.6,-5.4,63.0,2.2,214.6,-999.0
1901,3,-999.0,1017.2,78.9,6.2,14.3,-1.3,62.0,2.2,237.2,-999.0
1901,4,-999.0,1016.9,114.9,12.9,19.1,7.1,75.0,1.6,189.9,-999.0
1901,5,-999.0,1011.5,72.5,15.8,22.3,10.1,76.0,1.6,199.1,-999.0
1901,6,-999.0,1007.6,104.2,21.0,26.8,16.3,76.0,1.4,162.1,-999.0
1901,7,-999.0,1007.9,176.1,23.2,27.9,19.9,81.0,1.2,143.5,-999.0
1901,8,-999.0,1011.2,115.6,25.3,31.5,21.4,78.0,1.3,227.2,-999.0
1901,9,-999.0,1011.2,79.8,21.8,28.2,17.3,78.0,1.0,198.2,-999.0
1901,10,-999.0,1016.7,137.4,16.3,22.4,11.8,83.0,0.6,128.7,-999.0
1901,11,-999.0,1016.9,53.6,9.1,16.0,3.8,75.0,1.3,170.8,-999.0
1901,12,-999.0,1017.2,112.6,2.7,10.9,-4.0,66.0,2.4,228.6,-999.0
1902,1,-999.0,1016.7,19.0,0.4,8.1,-6.6,69.0,2.3,209.4,-999.0
1902,2,-999.0,1019.7,9.6,2.8,10.8,-4.4,64.0,2.3,202.2,-999.0
1902,3,-999.0,1015.9,39.3,8.0,15.9,1.0,66.0,2.6,190.9,-999.0
1902,4,-999.0,1013.5,97.4,11.0,18.3,4.1,63.0,2.8,209.4,-999.0
1902,5,-999.0,1012.0,218.0,16.1,22.2,10.6,71.0,2.1,183.9,-999.0
1902,6,-999.0,1007.9,83.3,20.2,26.5,15.2,77.0,1.6,185.7,-999.0
1902,7,-999.0,1007.5,98.0,22.9,27.3,19.5,80.0,1.5,146.6,-999.0
1902,8,-999.0,1010.5,221.7,24.0,29.2,20.6,81.0,1.3,146.6,-999.0
1902,9,-999.0,1010.8,182.8,22.1,28.3,18.2,82.0,1.3,161.6,-999.0
1902,10,-999.0,1018.8,113.6,15.6,22.5,10.4,79.0,1.2,177.3,-999.0
1902,11,-999.0,1021.1,101.2,11.0,17.2,6.1,80.0,1.0,166.1,-999.0
1902,12,-999.0,1015.7,80.7,5.4,10.9,1.0,78.0,1.4,147.2,-999.0
1903,1,-999.0,1018.0,83.9,2.8,9.3,-2.2,75.0,1.3,149.5,-999.0
1903,2,-999.0,1018.4,68.6,1.6,8.1,-3.8,71.0,1.8,175.5,-999.0
1903,3,-999.0,1017.9,125.9,8.6,14.2,4.1,73.0,1.7,158.7,-999.0
1903,4,-999.0,1016.8,74.8,13.0,19.0,7.8,75.0,1.4,151.1,-999.0
1903,5,-999.0,1013.1,131.2,15.9,22.4,10.1,70.0,1.8,203.5,-999.0
