Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.4,50.9,1.0,6.1,-3.0,74.0,-999.0,190.2,-999.0
1900,2,-999.0,1017.5,17.9,2.3,8.2,-2.2,65.0,-999.0,170.6,-999.0
1900,3,-999.0,1015.6,34.3,5.3,11.5,0.1,63.0,-999.0,184.8,-999.0
1900,4,-999.0,1016.7,135.6,11.3,17.1,6.0,76.0,-999.0,151.5,-999.0
1900,5,-999.0,1009.5,80.7,17.0,23.0,11.2,77.0,-999.0,206.5,-999.0
1900,6,-999.0,1012.0,76.5,19.3,24.9,14.7,75.0,-999.0,177.7,-999.0
1900,7,-999.0,1007.5,138.6,22.8,26.9,19.3,83.0,-999.0,102.5,-999.0
1900,8,-999.0,1011.5,115.2,25.9,30.9,22.1,82.0,-999.0,185.6,-999.0
1900,9,-999.0,1013.7,146.7,22.1,26.9,18.4,85.0,-999.0,134.2,-999.0
1900,10,-999.0,1019.3,94.4,15.4,21.3,11.0,82.0,-999.0,146.2,-999.0
1900,11,-999.0,1018.8,107.0,10.1,16.3,5.2,80.0,-999.0,155.5,-999.0
1900,12,-999.0,1017.9,17.4,4.7,11.1,-0.5,69.0,-999.0,199.5,-999.0
1901,1,-999.0,1019.2,61.7,3.4,8.8,-1.1,73.0,-999.0,132.5,-999.0
1901,2,-999.0,1011.2,22.2,2.8,9.1,-2.8,63.0,-999.0,184.5,-999.0
1901,3,-999.0,1017.3,69.6,6.3,13.2,-0.1,58.0,-999.0,193.9,-999.0
1901,4,-999.0,1017.5,136.8,12.9,17.9,8.0,75.0,-999.0,174.4,-999.0
1901,5,-999.0,1012.0,126.8,15.7,21.1,10.9,76.0,-999.0,180.3,-999.0
1901,6,-999.0,1008.3,135.8,20.7,25.2,16.7,80.0,-999.0,118.8,-999.0
1901,7,-999.0,1008.8,165.6,22.0,25.9,19.1,85.0,-999.0,102.9,-999.0
1901,8,-999.0,1011.7,155.8,24.9,29.8,21.0,83.0,-999.0,188.2,-999.0
1901,9,-999.0,1011.6,176.2,21.7,27.1,17.8,82.0,-999.0,166.9,-999.0
1901,10,-999.0,1016.9,211.1,15.9,21.5,11.7,84.0,-999.0,127.8,-999.0
1901,11,-999.0,1016.9,47.2,9.4,15.6,4.5,73.0,-999.0,177.7,-999.0
1901,12,-999.0,1016.5,93.1,3.8,10.9,-2.0,62.0,-999.0,228.8,-999.0
1902,1,-999.0,1016.0,13.2,1.8,8.7,-3.8,64.0,-999.0,242.7,-999.0
1902,2,-999.0,1019.7,9.5,2.4,9.6,-3.6,64.0,-999.0,211.2,-999.0
1902,3,-999.0,1016.4,36.4,7.5,14.3,1.3,65.0,-999.0,189.8,-999.0
