Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.8,42.1,0.6,5.5,-3.8,66.0,-999.0,205.9,-999.0
1900,2,-999.0,1017.9,12.1,2.2,8.1,-2.4,58.0,-999.0,210.2,-999.0
1900,3,-999.0,1016.0,31.0,5.2,11.2,0.3,59.0,-999.0,213.4,-999.0
1900,4,-999.0,1017.0,106.8,11.1,17.2,5.8,70.0,-999.0,198.6,-999.0
1900,5,-999.0,1009.7,73.4,16.8,22.5,11.4,74.0,-999.0,234.6,-999.0
1900,6,-999.0,1012.2,75.2,19.1,24.2,14.4,74.0,-999.0,211.5,-999.0
1900,7,-999.0,1007.6,171.8,22.6,26.4,19.1,83.0,-999.0,145.6,-999.0
1900,8,-999.0,1011.6,85.4,25.4,29.7,22.1,84.0,-999.0,212.0,-999.0
1900,9,-999.0,1013.9,175.7,21.7,26.4,18.1,83.0,-999.0,155.2,-999.0
1900,10,-999.0,1019.4,50.0,15.1,20.8,11.0,77.0,-999.0,179.8,-999.0
1900,11,-999.0,1019.0,87.4,10.1,16.1,5.6,72.0,-999.0,186.1,-999.0
1900,12,-999.0,1018.0,17.0,4.8,11.0,0.2,62.0,-999.0,228.1,-999.0
1901,1,-999.0,1019.6,45.7,3.4,8.7,-0.7,66.0,-999.0,182.2,-999.0
1901,2,-999.0,1011.6,12.1,2.4,8.3,-2.5,58.0,-999.0,209.2,-999.0
1901,3,-999.0,1017.6,30.9,6.1,12.4,0.2,55.0,-999.0,254.1,-999.0
1901,4,-999.0,1017.7,126.5,12.5,17.4,7.8,73.0,-999.0,193.2,-999.0
1901,5,-999.0,1012.2,93.2,15.2,20.3,10.8,75.0,-999.0,201.4,-999.0
1901,6,-999.0,1008.4,102.4,20.3,24.7,16.4,78.0,-999.0,143.4,-999.0
1901,7,-999.0,1009.0,204.8,21.6,25.2,18.5,87.0,-999.0,117.2,-999.0
1901,8,-999.0,1011.9,227.3,24.4,28.8,20.9,83.0,-999.0,190.4,-999.0
1901,9,-999.0,1011.9,125.7,21.2,26.4,17.4,80.0,-999.0,194.8,-999.0
