Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1017.7,51.9,0.9,6.1,-3.6,68.0,-999.0,162.9,-999.0
1900,2,-999.0,1016.9,48.4,1.8,7.6,-2.8,70.0,-999.0,143.9,-999.0
1900,3,-999.0,1015.5,73.0,4.3,10.2,-0.5,73.0,-999.0,173.0,-999.0
1900,4,-999.0,1016.9,178.5,10.1,15.0,5.7,80.0,-999.0,138.7,-999.0
1900,5,-999.0,1009.7,123.3,16.2,22.3,11.0,78.0,-999.0,200.8,-999.0
1900,6,-999.0,1012.1,117.5,18.0,22.9,13.9,82.0,-999.0,169.5,-999.0
1900,7,-999.0,1007.6,137.8,21.6,25.6,18.6,88.0,-999.0,109.1,-999.0
1900,8,-999.0,1011.9,67.2,24.8,29.8,21.0,85.0,-999.0,178.0,-999.0
1900,9,-999.0,1013.5,188.6,22.0,26.9,18.3,85.0,-999.0,121.8,-999.0
1900,10,-999.0,1018.9,140.8,15.4,21.0,10.9,84.0,-999.0,137.2,-999.0
1900,11,-999.0,1018.3,144.9,10.4,16.4,5.4,82.0,-999.0,111.9,-999.0
1900,12,-999.0,1017.2,28.5,4.4,11.5,-0.7,71.0,-999.0,150.9,-999.0
1901,1,-999.0,1018.7,82.0,3.1,9.1,-1.5,76.0,-999.0,113.6,-999.0
1901,2,-999.0,1010.5,43.2,2.8,9.2,-2.6,65.0,-999.0,170.7,-999.0
1901,3,-999.0,1017.1,97.3,5.7,12.5,0.2,69.0,-999.0,203.6,-999.0
1901,4,-999.0,1017.6,136.6,12.0,17.1,7.2,80.0,-999.0,162.0,-999.0
1901,5,-999.0,1012.1,174.5,15.3,20.4,10.9,78.0,-999.0,166.7,-999.0
1901,6,-999.0,1008.4,87.5,19.3,23.6,15.9,86.0,-999.0,106.6,-999.0
1901,7,-999.0,1008.9,134.7,21.2,25.0,18.6,91.0,-999.0,102.8,-999.0
1901,8,-999.0,1011.9,91.3,24.1,29.4,20.6,85.0,-999.0,208.2,-999.0
1901,9,-999.0,1011.6,75.9,21.1,26.2,17.4,86.0,-999.0,154.4,-999.0
1901,10,-999.0,1016.8,197.4,15.9,21.0,11.9,86.0,-999.0,120.0,-999.0
1901,11,-999.0,1016.3,39.2,9.2,16.4,3.9,77.0,-999.0,175.3,-999.0
1901,12,-999.0,1015.9,84.2,3.9,11.6,-1.9,68.0,-999.0,220.2,-999.0
1902,1,-999.0,1015.3,19.6,1.2,8.8,-4.6,67.0,-999.0,239.3,-999.0
1902,2,-999.0,1019.3,32.8,2.3,9.5,-3.2,71.0,-999.0,208.6,-999.0
1902,3,-999.0,1016.0,103.0,7.3,13.8,1.9,74.0,-999.0,184.7,-999.0
1902,4,-999.0,1013.7,157.4,10.5,16.9,4.7,70.0,-999.0,195.0,-999.0
1902,5,-999.0,1012.5,203.6,15.2,20.4,10.8,80.0,-999.0,172.8,-999.0
1902,6,-999.0,1008.4,146.2,18.8,23.6,15.2,84.0,-999.0,164.7,-999.0
1902,7,-999.0,1008.0,196.8,21.0,25.5,17.9,88.0,-999.0,111.2,-999.0
1902,8,-999.0,1011.5,203.8,22.1,25.8,19.5,88.0,-999.0,88.0,-999.0
1902,9,-999.0,1011.3,208.7,21.8,26.2,18.8,88.0,-999.0,103.5,-999.0
1902,10,-999.0,1018.7,112.9,15.7,21.2,11.7,83.0,-999.0,119.3,-999.0
1902,11,-999.0,1020.4,152.5,10.6,16.9,5.8,82.0,-999.0,146.5,-999.0
1902,12,-999.0,1014.5,81.8,6.8,12.4,2.2,77.0,-999.0,142.0,-999.0
1903,1,-999.0,1016.4,107.2,4.4,10.1,0.2,75.0,-999.0,129.9,-999.0
1903,2,-999.0,1016.9,63.7,3.2,9.4,-1.5,72.0,-999.0,169.3,-999.0
1903,3,-999.0,1018.7,160.5,6.9,12.1,2.8,76.0,-999.0,130.9,-999.0
1903,4,-999.0,1017.5,166.6,11.5,16.6,7.0,81.0,-999.0,135.3,-999.0
1903,5,-999.0,1013.5,137.6,14.7,19.7,10.7,77.0,-999.0,159.4,-999.0
1903,6,-999.0,1007.9,162.9,18.3,23.1,14.5,84.0,-999.0,171.8,-999.0
1903,7,-999.0,1008.8,198.6,22.6,27.0,19.2,87.0,-999.0,114.7,-999.0
1903,8,-999.0,1012.0,28.6,24.3,29.8,20.7,85.0,-999.0,226.0,-999.0
1903,9,-999.0,1014.4,213.8,21.6,26.2,18.6,86.0,-999.0,114.0,-999.0
1903,10,-999.0,1016.9,212.4,14.7,19.4,11.2,86.0,-999.0,114.6,-999.0
1903,11,-999.0,1017.5,126.9,8.4,15.0,3.1,81.0,-999.0,136.5,-999.0
1903,12,-999.0,1015.3,53.0,3.2,9.5,-1.4,71.0,-999.0,189.2,-999.0
1904,1,-999.0,1017.1,12.9,0.7,6.9,-4.1,72.0,-999.0,172.5,-999.0
1904,2,-999.0,1018.7,32.5,3.5,9.6,-0.9,75.0,-999.0,135.6,-999.0
1904,3,-999.0,1016.9,151.9,5.2,10.4,1.2,77.0,-999.0,103.4,-999.0
1904,4,-999.0,1018.0,117.2,11.9,17.1,7.9,82.0,-999.0,102.4,-999.0
1904,5,-999.0,1012.5,131.3,14.5,19.3,10.4,83.0,-999.0,137.3,-999.0
1904,6,-999.0,1010.0,60.4,20.7,25.7,16.9,85.0,-999.0,120.6,-999.0
1904,7,-999.0,1009.9,227.9,23.4,27.7,20.1,88.0,-999.0,135.9,-999.0
1904,8,-999.0,1011.2,108.9,23.7,28.8,20.0,86.0,-999.0,210.5,-999.0
1904,9,-999.0,1011.2,148.0,20.5,25.3,17.2,85.0,-999.0,108.3,-999.0
1904,10,-999.0,1015.9,209.7,15.8,20.5,12.6,85.0,-999.0,79.5,-999.0
1904,11,-999.0,1014.9,15.3,8.0,15.5,2.1,75.0,-999.0,152.9,-999.0
1904,12,-999.0,1016.3,63.3,4.4,10.6,-0.2,75.0,-999.0,134.8,-999.0
1905,1,-999.0,1015.1,42.7,3.4,10.1,-1.3,75.0,-999.0,146.7,-999.0
1905,2,-999.0,1013.7,36.2,1.4,8.1,-3.6,67.0,-999.0,163.5,-999.0
1905,3,-999.0,1021.3,99.8,4.5,10.3,-0.2,75.0,-999.0,159.7,-999.0
