Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.7,143.8,5.8,10.3,1.3,76.0,-999.0,139.6,-999.0
1900,2,-999.0,1020.9,63.0,7.1,12.0,2.1,74.0,-999.0,168.6,-999.0
1900,3,-999.0,1017.9,138.6,10.0,15.3,4.9,71.0,-999.0,183.4,-999.0
1900,4,-999.0,1015.3,277.4,16.3,20.1,12.4,82.0,-999.0,129.9,-999.0
1900,5,-999.0,1010.5,259.3,19.3,24.3,14.4,72.0,-999.0,186.6,-999.0
1900,6,-999.0,1011.2,292.1,21.4,25.0,17.7,83.0,-999.0,135.5,-999.0
1900,7,-999.0,1008.1,224.9,25.8,29.7,22.4,82.0,-999.0,204.4,-999.0
1900,8,-999.0,1008.4,363.8,26.9,30.6,23.4,85.0,-999.0,239.5,-999.0
1900,9,-999.0,1011.9,552.5,24.7,28.3,21.4,83.0,-999.0,182.4,-999.0
1900,10,-999.0,1018.1,139.5,18.7,23.4,14.4,80.0,-999.0,160.2,-999.0
1900,11,-999.0,1019.1,153.2,14.2,18.8,9.6,81.0,-999.0,140.4,-999.0
1900,12,-999.0,1021.7,6.6,9.0,14.8,3.5,73.0,-999.0,195.3,-999.0
1901,1,-999.0,1020.4,113.3,9.1,14.3,4.3,79.0,-999.0,126.6,-999.0
1901,2,-999.0,1018.0,10.0,4.9,10.4,-0.4,62.0,-999.0,202.8,-999.0
1901,3,-999.0,1020.1,122.0,10.0,15.3,4.6,71.0,-999.0,205.6,-999.0
1901,4,-999.0,1014.3,405.8,16.3,20.4,12.2,81.0,-999.0,141.7,-999.0
1901,5,-999.0,1011.7,128.2,18.4,22.8,13.8,77.0,-999.0,176.8,-999.0
1901,6,-999.0,1007.2,564.3,22.0,25.6,18.8,86.0,-999.0,82.0,-999.0
1901,7,-999.0,1007.9,519.0,24.8,28.4,21.9,87.0,-999.0,130.4,-999.0
1901,8,-999.0,1010.8,100.6,27.2,31.9,23.0,79.0,-999.0,285.9,-999.0
1901,9,-999.0,1010.8,170.2,23.0,27.8,18.7,80.0,-999.0,182.4,-999.0
1901,10,-999.0,1014.3,373.6,19.8,24.3,15.9,81.0,-999.0,141.8,-999.0
1901,11,-999.0,1019.9,14.0,12.4,18.9,6.8,74.0,-999.0,197.3,-999.0
1901,12,-999.0,1021.3,90.3,7.3,14.1,1.6,74.0,-999.0,203.2,-999.0
1902,1,-999.0,1020.7,80.2,7.1,13.6,1.1,71.0,-999.0,201.3,-999.0
1902,2,-999.0,1023.9,2.0,7.1,13.8,0.7,67.0,-999.0,218.1,-999.0
1902,3,-999.0,1017.3,97.1,12.6,18.1,7.0,75.0,-999.0,211.9,-999.0
1902,4,-999.0,1015.5,323.6,14.9,19.8,10.1,77.0,-999.0,140.5,-999.0
1902,5,-999.0,1011.5,522.9,19.1,23.2,15.0,82.0,-999.0,134.4,-999.0
1902,6,-999.0,1006.8,520.0,22.0,25.9,18.4,83.0,-999.0,137.6,-999.0
1902,7,-999.0,1008.5,199.6,25.6,30.0,21.6,80.0,-999.0,212.3,-999.0
1902,8,-999.0,1008.7,215.6,26.4,30.2,23.1,85.0,-999.0,219.0,-999.0
1902,9,-999.0,1009.1,362.8,23.2,27.2,19.5,82.0,-999.0,162.7,-999.0
1902,10,-999.0,1018.3,192.7,18.0,24.2,12.4,79.0,-999.0,213.6,-999.0
1902,11,-999.0,1020.3,98.7,15.8,21.3,10.8,80.0,-999.0,188.8,-999.0
1902,12,-999.0,1017.5,148.1,10.9,16.7,5.8,78.0,-999.0,171.0,-999.0
1903,1,-999.0,1020.3,64.8,7.9,13.4,2.8,74.0,-999.0,166.2,-999.0
1903,2,-999.0,1021.6,37.2,8.1,13.9,2.2,72.0,-999.0,187.5,-999.0
1903,3,-999.0,1016.3,293.7,13.3,17.2,8.6,80.0,-999.0,86.4,-999.0
1903,4,-999.0,1015.9,405.6,16.3,20.8,11.5,81.0,-999.0,157.4,-999.0
1903,5,-999.0,1013.9,234.0,18.7,23.5,14.1,76.0,-999.0,175.2,-999.0
1903,6,-999.0,1007.3,298.8,21.7,25.4,18.3,82.0,-999.0,127.3,-999.0
1903,7,-999.0,1009.1,502.7,24.6,28.2,21.9,86.0,-999.0,132.2,-999.0
1903,8,-999.0,1012.4,42.3,27.5,32.6,23.2,80.0,-999.0,287.7,-999.0
1903,9,-999.0,1012.7,217.3,24.8,29.4,21.0,82.0,-999.0,199.9,-999.0
1903,10,-999.0,1015.5,327.2,18.6,23.7,14.4,83.0,-999.0,121.6,-999.0
1903,11,-999.0,1019.7,115.4,12.3,18.6,6.7,79.0,-999.0,190.8,-999.0
1903,12,-999.0,1020.9,68.7,7.2,13.8,1.5,71.0,-999.0,200.1,-999.0
1904,1,-999.0,1022.9,12.9,6.2,12.8,0.4,64.0,-999.0,197.3,-999.0
1904,2,-999.0,1020.1,18.7,8.8,15.4,2.6,71.0,-999.0,158.8,-999.0
1904,3,-999.0,1016.8,215.0,11.0,15.7,6.3,77.0,-999.0,149.6,-999.0
1904,4,-999.0,1016.9,213.3,16.7,21.3,12.3,82.0,-999.0,132.6,-999.0
1904,5,-999.0,1011.9,87.8,18.9,23.9,14.1,78.0,-999.0,161.0,-999.0
1904,6,-999.0,1010.3,409.2,22.8,26.7,19.1,83.0,-999.0,142.9,-999.0
1904,7,-999.0,1008.5,189.1,26.7,31.0,22.9,82.0,-999.0,265.6,-999.0
1904,8,-999.0,1008.7,157.2,26.5,30.7,22.7,81.0,-999.0,215.5,-999.0
1904,9,-999.0,1010.8,72.6,23.2,29.1,18.3,77.0,-999.0,213.4,-999.0
1904,10,-999.0,1016.1,73.4,18.6,24.3,13.6,78.0,-999.0,177.5,-999.0
1904,11,-999.0,1019.9,12.2,11.3,18.9,4.8,72.0,-999.0,204.7,-999.0
1904,12,-999.0,1021.1,37.5,8.8,16.4,2.7,72.0,-999.0,202.4,-999.0
1905,1,-999.0,1017.3,91.4,9.1,15.5,3.6,76.0,-999.0,141.3,-999.0
1905,2,-999.0,1018.1,125.3,6.5,11.9,1.7,72.0,-999.0,135.5,-999.0
1905,3,-999.0,1018.9,407.4,11.0,15.0,7.2,84.0,-999.0,95.0,-999.0
1905,4,-999.0,1015.1,221.6,15.2,19.9,10.3,80.0,-999.0,135.0,-999.0
1905,5,-999.0,1013.7,435.7,19.7,24.4,15.2,78.0,-999.0,145.7,-999.0
1905,6,-999.0,1007.1,493.7,23.2,26.8,19.9,86.0,-999.0,92.6,-999.0
1905,7,-999.0,1009.3,248.9,26.6,30.7,23.3,83.0,-999.0,199.2,-999.0
1905,8,-999.0,1009.2,738.8,25.9,30.0,22.8,85.0,-999.0,153.9,-999.0
1905,9,-999.0,1014.3,166.5,24.0,28.6,20.2,82.0,-999.0,174.9,-999.0
1905,10,-999.0,1016.8,186.9,18.7,24.3,13.9,81.0,-999.0,150.7,-999.0
