Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.5,54.3,-2.7,1.6,-6.4,84.0,-999.0,83.9,-999.0
1900,2,-999.0,1019.9,42.0,-2.7,2.6,-7.6,81.0,-999.0,142.4,-999.0
1900,3,-999.0,1016.9,27.4,2.1,8.1,-2.3,77.0,-999.0,186.3,-999.0
1900,4,-999.0,1016.7,59.6,9.6,16.7,3.7,74.0,-999.0,191.5,-999.0
1900,5,-999.0,1009.5,61.0,15.7,23.3,9.7,76.0,-999.0,245.0,-999.0
1900,6,-999.0,1011.3,61.8,18.2,24.8,12.8,74.0,-999.0,226.6,-999.0
1900,7,-999.0,1006.8,130.1,22.1,27.5,17.7,80.0,-999.0,172.0,-999.0
1900,8,-999.0,1010.0,60.2,25.6,31.7,21.1,77.0,-999.0,258.6,-999.0
1900,9,-999.0,1013.5,122.9,20.6,26.4,16.0,81.0,-999.0,168.3,-999.0
1900,10,-999.0,1019.3,78.0,13.3,19.5,8.4,82.0,-999.0,160.9,-999.0
1900,11,-999.0,1020.0,70.1,7.3,13.7,2.7,84.0,-999.0,162.6,-999.0
1900,12,-999.0,1020.1,63.9,0.6,5.6,-3.2,89.0,-999.0,133.1,-999.0
1901,1,-999.0,1020.8,32.4,0.6,4.9,-999.0,85.0,-999.0,98.3,-999.0
1901,2,-999.0,1013.3,49.1,-1.4,4.0,-6.4,81.0,-999.0,164.4,-999.0
1901,3,-999.0,1019.3,71.5,2.0,8.4,-3.6,74.0,-999.0,228.5,-999.0
1901,4,-999.0,1017.3,43.6,10.7,17.6,5.2,71.0,-999.0,186.2,-999.0
1901,5,-999.0,1011.7,92.2,13.9,20.7,8.6,73.0,-999.0,176.7,-999.0
1901,6,-999.0,1007.6,92.1,19.1,25.3,13.8,73.0,-999.0,184.3,-999.0
1901,7,-999.0,1007.5,188.3,21.5,27.1,17.7,80.0,-999.0,147.5,-999.0
1901,8,-999.0,1010.9,77.9,23.7,30.1,19.2,79.0,-999.0,218.4,-999.0
1901,9,-999.0,1011.6,60.2,19.7,26.6,15.0,78.0,-999.0,213.0,-999.0
1901,10,-999.0,1017.1,95.4,14.6,20.6,10.2,79.0,-999.0,144.9,-999.0
1901,11,-999.0,1018.0,50.9,6.6,12.8,2.1,81.0,-999.0,144.0,-999.0
1901,12,-999.0,1018.0,54.8,1.3,7.2,-2.9,84.0,-999.0,155.3,-999.0
1902,1,-999.0,1018.5,42.9,-2.7,2.6,-7.4,90.0,-999.0,167.0,-999.0
1902,2,-999.0,1021.7,23.3,-1.2,4.7,-6.1,85.0,-999.0,154.9,-999.0
1902,3,-999.0,1017.3,49.9,4.6,10.8,-0.1,74.0,-999.0,178.0,-999.0
1902,4,-999.0,1014.8,104.6,7.9,14.4,2.6,70.0,-999.0,206.0,-999.0
1902,5,-999.0,1011.9,127.9,14.8,21.1,9.2,65.0,-999.0,212.7,-999.0
1902,6,-999.0,1007.6,71.8,18.4,24.8,13.6,76.0,-999.0,206.0,-999.0
1902,7,-999.0,1007.2,180.3,20.7,26.0,17.1,80.0,-999.0,161.2,-999.0
1902,8,-999.0,1010.1,117.2,22.3,27.5,19.0,79.0,-999.0,154.4,-999.0
1902,9,-999.0,1010.1,109.7,20.6,26.5,16.9,77.0,-999.0,172.2,-999.0
1902,10,-999.0,1019.5,37.5,13.3,19.3,8.8,77.0,-999.0,158.9,-999.0
1902,11,-999.0,1021.9,70.0,8.3,14.2,3.9,79.0,-999.0,143.1,-999.0
1902,12,-999.0,1016.9,71.5,3.8,8.4,0.2,80.0,-999.0,112.2,-999.0
1903,1,-999.0,1018.5,83.2,0.7,5.5,-3.2,79.0,-999.0,119.5,-999.0
1903,2,-999.0,1020.3,97.0,-1.4,3.6,-5.9,79.0,-999.0,159.2,-999.0
1903,3,-999.0,1019.1,112.2,5.1,10.6,1.1,73.0,-999.0,166.8,-999.0
1903,4,-999.0,1017.1,74.8,11.2,17.6,6.2,67.0,-999.0,179.6,-999.0
1903,5,-999.0,1013.5,107.3,13.4,20.0,7.9,70.0,-999.0,228.9,-999.0
1903,6,-999.0,1007.5,68.9,18.0,24.2,13.0,74.0,-999.0,203.6,-999.0
1903,7,-999.0,1008.5,271.3,21.4,26.7,17.6,81.0,-999.0,138.6,-999.0
1903,8,-999.0,1011.9,35.2,23.6,30.3,18.9,80.0,-999.0,268.6,-999.0
1903,9,-999.0,1014.0,170.0,20.8,26.8,17.1,81.0,-999.0,157.1,-999.0
1903,10,-999.0,1017.6,145.4,12.9,18.5,8.7,82.0,-999.0,153.8,-999.0
1903,11,-999.0,1019.3,62.2,6.1,12.5,1.1,79.0,-999.0,166.3,-999.0
1903,12,-999.0,1017.7,69.4,0.0,4.6,-3.7,84.0,-999.0,134.8,-999.0
1904,1,-999.0,1020.0,59.3,-3.4,1.3,-7.3,80.0,-999.0,137.8,-999.0
1904,2,-999.0,1020.3,37.8,0.4,6.0,-3.8,73.0,-999.0,182.9,-999.0
1904,3,-999.0,1018.4,27.8,2.9,8.3,-0.9,72.0,-999.0,164.5,-999.0
1904,4,-999.0,1017.6,71.2,11.4,18.3,6.1,69.0,-999.0,175.8,-999.0
1904,5,-999.0,1012.0,144.9,13.7,20.3,8.3,70.0,-999.0,199.0,-999.0
1904,6,-999.0,1009.5,36.5,20.0,26.2,15.2,75.0,-999.0,201.1,-999.0
1904,7,-999.0,1008.8,159.7,23.8,29.7,19.8,78.0,-999.0,205.1,-999.0
1904,8,-999.0,1010.3,7.1,24.3,31.2,19.1,72.0,-999.0,303.2,-999.0
1904,9,-999.0,1011.3,107.6,18.4,24.2,14.0,79.0,-999.0,160.9,-999.0
1904,10,-999.0,1017.2,48.0,12.9,18.5,9.1,80.0,-999.0,107.6,-999.0
1904,11,-999.0,1017.3,80.3,4.8,11.5,0.2,79.0,-999.0,160.6,-999.0
1904,12,-999.0,1018.8,72.9,1.5,7.0,-2.6,79.0,-999.0,149.2,-999.0
1905,1,-999.0,1017.5,28.6,0.2,5.2,-4.0,80.0,-999.0,172.0,-999.0
1905,2,-999.0,1016.5,24.9,-2.0,2.8,-6.0,78.0,-999.0,145.9,-999.0
1905,3,-999.0,1022.3,31.8,2.7,9.0,-2.4,68.0,-999.0,241.3,-999.0
1905,4,-999.0,1016.0,62.0,8.3,14.9,3.3,69.0,-999.0,197.1,-999.0
1905,5,-999.0,1013.1,71.3,15.0,21.7,9.7,68.0,-999.0,238.1,-999.0
1905,6,-999.0,1008.0,249.7,19.5,25.4,15.4,80.0,-999.0,145.9,-999.0
1905,7,-999.0,1008.9,137.4,23.4,29.3,19.5,75.0,-999.0,208.8,-999.0
1905,8,-999.0,1009.2,259.4,21.1,26.2,17.5,81.0,-999.0,146.0,-999.0
1905,9,-999.0,1014.7,87.3,19.7,25.8,15.6,77.0,-999.0,200.7,-999.0
1905,10,-999.0,1018.4,85.8,13.3,19.7,8.8,77.0,-999.0,174.2,-999.0
1905,11,-999.0,1021.9,12.2,6.7,12.9,1.8,79.0,-999.0,171.8,-999.0
1905,12,-999.0,1019.6,57.2,3.0,7.6,-0.8,84.0,-999.0,114.9,-999.0
1906,1,-999.0,1019.7,51.9,-2.1,2.8,-6.6,77.0,-999.0,177.4,-999.0
1906,2,-999.0,1016.4,78.4,-2.0,2.4,-6.2,78.0,-999.0,118.6,-999.0
1906,3,-999.0,1016.5,95.5,2.7,8.5,-2.1,73.0,-999.0,219.3,-999.0
1906,4,-999.0,1014.3,35.4,9.2,16.8,3.2,66.0,-999.0,241.9,-999.0
1906,5,-999.0,1013.1,48.8,14.3,21.5,8.5,69.0,-999.0,269.6,-999.0
1906,6,-999.0,1009.2,96.5,17.6,24.4,12.9,73.0,-999.0,209.9,-999.0
1906,7,-999.0,1004.9,231.7,23.3,28.7,19.9,78.0,-999.0,207.6,-999.0
1906,8,-999.0,1008.3,78.0,23.3,29.2,19.5,81.0,-999.0,219.2,-999.0
1906,9,-999.0,1014.1,169.3,17.3,22.6,13.7,83.0,-999.0,136.9,-999.0
1906,10,-999.0,1018.1,114.5,12.7,18.9,8.2,80.0,-999.0,163.7,-999.0
1906,11,-999.0,1022.1,17.6,5.8,11.8,1.6,76.0,-999.0,151.6,-999.0
1906,12,-999.0,1016.0,52.7,1.6,7.4,-2.9,77.0,-999.0,161.0,-999.0
1907,1,-999.0,1020.4,70.2,-0.6,4.6,-4.7,80.0,-999.0,160.4,-999.0
1907,2,-999.0,1018.4,47.3,-2.4,3.0,-7.0,75.0,-999.0,173.8,-999.0
1907,3,-999.0,1018.1,44.0,1.7,7.8,-2.8,74.0,-999.0,194.3,-999.0
1907,4,-999.0,1017.2,77.3,9.3,15.9,3.7,68.0,-999.0,249.0,-999.0
1907,5,-999.0,1009.5,110.0,14.3,21.5,8.7,71.0,-999.0,237.7,-999.0
1907,6,-999.0,1008.8,97.4,17.6,23.6,12.8,77.0,-999.0,216.4,-999.0
1907,7,-999.0,1008.4,148.3,22.6,29.1,18.1,74.0,-999.0,262.1,-999.0
1907,8,-999.0,1006.9,94.9,25.2,31.3,21.0,75.0,-999.0,239.5,-999.0
1907,9,-999.0,1013.2,126.4,19.4,25.2,15.3,77.0,-999.0,190.9,-999.0
1907,10,-999.0,1018.4,75.4,12.2,18.7,7.3,77.0,-999.0,197.5,-999.0
1907,11,-999.0,1020.8,22.6,8.2,13.7,3.8,78.0,-999.0,152.2,-999.0
1907,12,-999.0,1018.7,55.2,-0.3,4.8,-4.7,80.0,-999.0,136.6,-999.0
1908,1,-999.0,1021.6,44.7,-1.7,3.1,-5.7,81.0,-999.0,159.3,-999.0
1908,2,-999.0,1018.9,24.6,-1.5,3.0,-5.6,77.0,-999.0,164.0,-999.0
1908,3,-999.0,1018.4,77.8,2.8,8.2,-1.9,73.0,-999.0,197.1,-999.0
1908,4,-999.0,1017.5,103.0,9.4,15.2,4.4,71.0,-999.0,184.2,-999.0
1908,5,-999.0,1012.3,56.6,14.3,21.3,8.6,67.0,-999.0,272.0,-999.0
1908,6,-999.0,1008.1,148.6,18.9,25.4,13.9,75.0,-999.0,206.0,-999.0
1908,7,-999.0,1008.3,104.3,21.9,27.3,18.4,74.0,-999.0,229.1,-999.0
1908,8,-999.0,1010.5,136.9,24.6,30.4,20.5,73.0,-999.0,260.0,-999.0
1908,9,-999.0,1014.0,87.2,18.2,23.9,14.1,72.0,-999.0,193.7,-999.0
1908,10,-999.0,1017.6,70.5,13.2,19.4,8.6,76.0,-999.0,175.2,-999.0
1908,11,-999.0,1016.4,70.2,5.0,10.4,0.7,78.0,-999.0,169.7,-999.0
1908,12,-999.0,1020.4,53.7,0.8,5.4,-3.2,81.0,-999.0,151.9,-999.0
1909,1,-999.0,1020.9,96.5,-2.2,2.0,-5.9,84.0,-999.0,125.7,-999.0
1909,2,-999.0,1016.9,52.0,-2.7,2.2,-7.3,78.0,-999.0,140.4,-999.0
1909,3,-999.0,1019.7,73.9,2.4,7.6,-1.8,70.0,-999.0,216.8,-999.0
1909,4,-999.0,1014.4,44.1,11.2,18.5,5.0,60.0,-999.0,232.4,-999.0
1909,5,-999.0,1012.1,120.5,14.7,21.6,9.0,69.0,-999.0,244.8,-999.0
1909,6,-999.0,1008.4,153.8,19.0,24.7,14.7,75.0,-999.0,165.7,-999.0
1909,7,-999.0,1012.1,136.4,23.5,29.9,19.5,74.0,-999.0,257.2,-999.0
1909,8,-999.0,1008.1,97.5,24.9,31.9,20.7,68.0,-999.0,290.9,-999.0
1909,9,-999.0,1012.4,196.8,19.7,24.7,16.2,80.0,-999.0,120.5,-999.0
1909,10,-999.0,1018.1,39.5,11.4,17.5,6.7,77.0,-999.0,194.9,-999.0
1909,11,-999.0,1019.2,49.6,6.5,12.8,1.1,73.0,-999.0,192.4,-999.0
1909,12,-999.0,1020.3,32.5,0.1,4.9,-3.7,79.0,-999.0,155.7,-999.0
1910,1,-999.0,1017.6,60.7,1.0,5.1,-2.4,77.0,-999.0,116.2,-999.0
1910,2,-999.0,1015.7,39.4,-2.2,2.4,-6.2,76.0,-999.0,164.7,-999.0
1910,3,-999.0,1016.5,59.7,1.8,7.2,-2.9,70.0,-999.0,203.2,-999.0
1910,4,-999.0,1017.1,33.0,9.4,16.4,3.6,61.0,-999.0,254.3,-999.0
1910,5,-999.0,1013.3,113.4,14.5,21.5,9.0,68.0,-999.0,233.6,-999.0
1910,6,-999.0,1007.6,99.3,19.7,25.9,15.0,72.0,-999.0,209.5,-999.0
1910,7,-999.0,1007.9,141.7,22.8,28.8,19.1,74.0,-999.0,206.8,-999.0
1910,8,-999.0,1007.5,187.7,22.6,28.5,19.1,78.0,-999.0,190.3,-999.0
1910,9,-999.0,1013.1,225.4,19.0,24.2,15.4,79.0,-999.0,140.2,-999.0
1910,10,-999.0,1018.5,158.0,13.6,18.5,10.2,79.0,-999.0,111.9,-999.0
1910,11,-999.0,1019.2,17.8,7.1,13.3,2.3,73.0,-999.0,193.6,-999.0
1910,12,-999.0,1018.9,39.7,0.2,5.0,-3.6,79.0,-999.0,169.3,-999.0
1911,1,-999.0,1021.1,39.3,-2.1,2.6,-6.8,79.0,-999.0,168.4,-999.0
1911,2,-999.0,1022.5,29.9,0.6,5.6,-3.4,75.0,-999.0,178.3,-999.0
1911,3,-999.0,1018.0,45.2,4.3,10.6,-0.9,73.0,-999.0,196.8,-999.0
1911,4,-999.0,1013.9,120.4,9.6,16.1,4.5,68.0,-999.0,212.9,-999.0
1911,5,-999.0,1015.2,37.7,14.6,22.5,8.3,62.0,-999.0,289.8,-999.0
1911,6,-999.0,1008.7,247.6,19.2,25.5,14.9,76.0,-999.0,197.3,-999.0
1911,7,-999.0,1009.5,186.6,22.9,28.5,19.4,78.0,-999.0,196.2,-999.0
1911,8,-999.0,1010.1,223.1,23.8,29.9,20.0,77.0,-999.0,224.5,-999.0
1911,9,-999.0,1014.7,147.3,20.9,27.1,16.9,78.0,-999.0,179.4,-999.0
1911,10,-999.0,1015.6,68.3,12.6,18.9,8.2,78.0,-999.0,162.3,-999.0
1911,11,-999.0,1020.0,75.1,9.4,15.1,4.8,73.0,-999.0,165.5,-999.0
1911,12,-999.0,1021.5,29.9,1.3,6.1,-2.5,78.0,-999.0,151.4,-999.0
1912,1,-999.0,1020.1,42.7,-1.6,3.0,-5.3,81.0,-999.0,154.2,-999.0
