Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.5,61.5,4.0,7.3,1.5,67.0,-999.0,109.8,-999.0
1900,2,-999.0,1022.3,22.8,5.3,9.1,2.2,63.0,-999.0,129.8,-999.0
1900,3,-999.0,1018.7,70.9,8.5,12.7,4.9,63.0,-999.0,189.3,-999.0
1900,4,-999.0,1015.1,281.4,14.1,18.3,10.5,76.0,-999.0,155.3,-999.0
1900,5,-999.0,1010.5,251.1,17.3,21.2,13.8,74.0,-999.0,188.5,-999.0
1900,6,-999.0,1010.3,85.7,20.7,24.7,17.2,73.0,-999.0,203.3,-999.0
1900,7,-999.0,1007.6,745.4,23.8,26.6,21.2,87.0,-999.0,160.6,-999.0
1900,8,-999.0,1007.6,169.1,26.4,30.4,23.1,79.0,-999.0,272.1,-999.0
1900,9,-999.0,1011.2,189.2,23.7,27.2,20.8,77.0,-999.0,196.2,-999.0
1900,10,-999.0,1018.3,161.0,18.0,22.1,14.4,69.0,-999.0,187.4,-999.0
1900,11,-999.0,1019.9,129.7,12.9,16.9,9.6,73.0,-999.0,155.4,-999.0
1900,12,-999.0,1022.9,41.0,7.7,11.2,4.6,72.0,-999.0,115.3,-999.0
1901,1,-999.0,1021.1,107.7,7.9,11.4,5.0,72.0,-999.0,121.9,-999.0
1901,2,-999.0,1019.5,57.8,3.2,6.5,0.1,66.0,-999.0,100.3,-999.0
1901,3,-999.0,1021.3,65.9,8.1,12.6,4.2,67.0,-999.0,199.3,-999.0
1901,4,-999.0,1013.6,160.6,14.1,18.0,10.8,77.0,-999.0,156.8,-999.0
1901,5,-999.0,1011.6,108.4,16.5,20.6,12.9,72.0,-999.0,192.0,-999.0
1901,6,-999.0,1006.0,546.7,20.5,24.0,17.6,84.0,-999.0,129.1,-999.0
1901,7,-999.0,1006.8,454.8,23.0,26.0,20.7,90.0,-999.0,112.7,-999.0
1901,8,-999.0,1009.9,88.8,26.1,30.2,22.8,77.0,-999.0,302.4,-999.0
1901,9,-999.0,1010.3,75.7,22.5,26.8,19.2,70.0,-999.0,221.1,-999.0
1901,10,-999.0,1014.1,200.9,18.5,22.2,15.2,70.0,-999.0,170.1,-999.0
1901,11,-999.0,1020.4,43.1,11.7,16.3,8.1,63.0,-999.0,176.9,-999.0
1901,12,-999.0,1022.3,32.3,6.5,10.9,2.7,64.0,-999.0,145.5,-999.0
1902,1,-999.0,1021.5,51.4,6.2,10.7,2.5,67.0,-999.0,159.9,-999.0
1902,2,-999.0,1024.5,62.0,5.4,9.4,1.8,67.0,-999.0,149.0,-999.0
1902,3,-999.0,1017.3,157.9,10.6,15.0,6.7,74.0,-999.0,166.4,-999.0
1902,4,-999.0,1015.9,255.5,12.7,16.4,9.1,75.0,-999.0,133.9,-999.0
1902,5,-999.0,1011.1,311.6,17.5,21.5,13.8,79.0,-999.0,171.4,-999.0
1902,6,-999.0,1006.5,204.3,20.7,24.6,17.2,81.0,-999.0,186.2,-999.0
1902,7,-999.0,1008.7,122.6,23.8,27.3,21.0,84.0,-999.0,221.5,-999.0
1902,8,-999.0,1008.3,271.5,25.0,28.8,21.9,83.0,-999.0,222.5,-999.0
1902,9,-999.0,1009.5,176.3,21.9,25.4,18.8,77.0,-999.0,167.2,-999.0
1902,10,-999.0,1018.9,131.5,17.5,22.0,14.0,69.0,-999.0,210.9,-999.0
1902,11,-999.0,1020.9,96.8,14.4,18.5,11.1,73.0,-999.0,167.7,-999.0
1902,12,-999.0,1018.4,102.4,10.2,13.7,7.3,71.0,-999.0,116.3,-999.0
1903,1,-999.0,1021.1,123.8,6.6,10.1,3.3,72.0,-999.0,82.3,-999.0
1903,2,-999.0,1022.8,79.4,6.5,10.6,3.0,70.0,-999.0,121.5,-999.0
1903,3,-999.0,1016.8,112.7,10.6,14.4,7.2,75.0,-999.0,100.1,-999.0
1903,4,-999.0,1015.9,287.9,14.0,18.3,10.3,74.0,-999.0,132.0,-999.0
1903,5,-999.0,1013.9,272.5,16.9,20.8,13.4,75.0,-999.0,189.1,-999.0
1903,6,-999.0,1007.5,112.7,20.2,24.0,16.9,79.0,-999.0,157.6,-999.0
1903,7,-999.0,1008.4,407.3,23.2,26.4,20.6,85.0,-999.0,104.1,-999.0
1903,8,-999.0,1012.3,60.8,26.8,31.3,23.8,79.0,-999.0,254.3,-999.0
1903,9,-999.0,1012.8,157.6,24.3,28.8,20.9,76.0,-999.0,201.0,-999.0
