Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1019.5,206.5,0.2,2.9,-2.1,92.0,-999.0,15.6,-999.0
1900,2,-999.0,1018.5,201.6,0.3,3.9,-2.1,92.0,-999.0,27.2,-999.0
1900,3,-999.0,1016.5,106.7,3.9,7.9,1.0,79.0,-999.0,76.2,-999.0
1900,4,-999.0,1016.9,119.4,9.9,14.4,6.3,77.0,-999.0,149.7,-999.0
1900,5,-999.0,1009.9,107.9,15.6,20.8,11.6,77.0,-999.0,221.9,-999.0
1900,6,-999.0,1011.7,29.6,18.7,23.0,14.9,76.0,-999.0,260.7,-999.0
1900,7,-999.0,1007.5,182.4,21.9,25.5,18.7,85.0,-999.0,170.6,-999.0
1900,8,-999.0,1010.3,101.1,26.6,30.6,22.9,82.0,-999.0,267.0,-999.0
1900,9,-999.0,1013.5,262.7,21.8,26.0,18.0,83.0,-999.0,162.4,-999.0
1900,10,-999.0,1018.8,230.8,15.5,19.8,11.8,82.0,-999.0,153.0,-999.0
1900,11,-999.0,1019.3,205.2,10.2,14.2,7.0,81.0,-999.0,106.2,-999.0
1900,12,-999.0,1018.7,199.4,3.9,7.3,1.3,84.0,-999.0,34.3,-999.0
1901,1,-999.0,1020.3,147.6,3.4,6.4,0.7,83.0,-999.0,46.6,-999.0
1901,2,-999.0,1012.0,201.4,1.6,4.8,-1.3,84.0,-999.0,62.9,-999.0
1901,3,-999.0,1018.7,95.4,4.8,9.2,0.9,73.0,-999.0,153.0,-999.0
1901,4,-999.0,1017.5,60.6,11.3,16.0,7.1,79.0,-999.0,183.6,-999.0
1901,5,-999.0,1012.0,82.1,14.9,19.6,10.8,77.0,-999.0,175.8,-999.0
1901,6,-999.0,1008.0,145.5,19.3,23.7,15.7,85.0,-999.0,157.0,-999.0
1901,7,-999.0,1008.0,255.5,22.2,25.9,18.7,90.0,-999.0,150.0,-999.0
1901,8,-999.0,1011.1,88.1,25.3,29.7,21.3,84.0,-999.0,221.8,-999.0
1901,9,-999.0,1011.5,179.1,21.8,26.5,17.6,79.0,-999.0,178.7,-999.0
1901,10,-999.0,1016.9,152.3,16.1,20.2,12.5,77.0,-999.0,116.6,-999.0
1901,11,-999.0,1016.9,210.0,9.1,13.1,5.6,79.0,-999.0,68.5,-999.0
1901,12,-999.0,1017.1,242.8,3.3,6.5,0.2,83.0,-999.0,39.2,-999.0
1902,1,-999.0,1016.9,193.3,0.8,3.5,-2.0,87.0,-999.0,42.2,-999.0
1902,2,-999.0,1020.7,145.6,0.8,4.4,-2.2,88.0,-999.0,54.1,-999.0
1902,3,-999.0,1016.9,133.0,5.9,10.4,2.3,77.0,-999.0,118.8,-999.0
1902,4,-999.0,1014.4,134.7,9.0,13.5,4.6,73.0,-999.0,153.0,-999.0
1902,5,-999.0,1011.9,108.8,14.6,19.1,10.5,74.0,-999.0,196.5,-999.0
1902,6,-999.0,1008.0,49.5,18.8,23.0,14.9,80.0,-999.0,201.4,-999.0
1902,7,-999.0,1007.5,184.5,21.1,24.6,18.0,84.0,-999.0,105.1,-999.0
1902,8,-999.0,1010.4,112.0,23.1,26.6,19.5,85.0,-999.0,127.1,-999.0
1902,9,-999.0,1010.1,241.4,22.1,26.2,18.6,86.0,-999.0,150.5,-999.0
1902,10,-999.0,1019.3,94.1,15.5,19.6,11.7,84.0,-999.0,133.1,-999.0
1902,11,-999.0,1021.2,137.6,10.6,14.4,7.3,77.0,-999.0,89.7,-999.0
1902,12,-999.0,1016.0,158.8,6.5,9.5,3.2,80.0,-999.0,39.3,-999.0
1903,1,-999.0,1017.3,171.4,3.8,6.6,0.7,83.0,-999.0,35.6,-999.0
1903,2,-999.0,1018.9,155.0,2.7,5.9,-0.2,85.0,-999.0,34.0,-999.0
1903,3,-999.0,1019.1,134.2,6.4,10.0,2.8,73.0,-999.0,103.4,-999.0
1903,4,-999.0,1017.2,119.2,12.0,16.3,8.1,76.0,-999.0,193.2,-999.0
1903,5,-999.0,1013.7,106.5,14.0,18.2,10.1,75.0,-999.0,176.4,-999.0
1903,6,-999.0,1007.6,81.6,18.7,22.8,15.0,80.0,-999.0,185.8,-999.0
1903,7,-999.0,1008.7,229.0,21.8,25.1,18.7,86.0,-999.0,63.0,-999.0
1903,8,-999.0,1012.0,59.6,24.4,28.4,20.5,83.0,-999.0,219.8,-999.0
1903,9,-999.0,1013.7,174.7,22.8,26.8,19.0,81.0,-999.0,164.9,-999.0
1903,10,-999.0,1017.3,155.5,14.8,18.4,11.3,80.0,-999.0,129.6,-999.0
1903,11,-999.0,1018.4,234.5,8.6,12.1,4.9,86.0,-999.0,68.3,-999.0
1903,12,-999.0,1016.4,237.8,2.8,5.5,-0.3,85.0,-999.0,30.4,-999.0
1904,1,-999.0,1018.4,253.9,-0.1,2.1,-2.8,90.0,-999.0,31.7,-999.0
1904,2,-999.0,1019.9,104.2,1.6,4.8,-2.0,86.0,-999.0,66.1,-999.0
1904,3,-999.0,1018.5,100.8,4.2,7.7,1.1,79.0,-999.0,91.6,-999.0
1904,4,-999.0,1018.3,152.7,11.2,15.7,7.2,85.0,-999.0,147.4,-999.0
1904,5,-999.0,1012.3,147.4,14.3,18.5,10.6,83.0,-999.0,157.5,-999.0
1904,6,-999.0,1009.7,108.0,20.5,24.6,16.6,79.0,-999.0,146.7,-999.0
1904,7,-999.0,1009.1,226.0,24.2,27.8,20.8,83.0,-999.0,162.6,-999.0
1904,8,-999.0,1010.7,37.6,25.8,30.4,22.0,77.0,-999.0,293.5,-999.0
1904,9,-999.0,1011.7,215.9,20.3,24.4,17.3,80.0,-999.0,146.4,-999.0
1904,10,-999.0,1017.3,167.3,15.0,18.5,12.2,79.0,-999.0,67.9,-999.0
1904,11,-999.0,1016.4,285.5,7.6,11.1,4.4,79.0,-999.0,53.4,-999.0
1904,12,-999.0,1017.5,187.2,4.6,8.0,1.7,79.0,-999.0,56.0,-999.0
1905,1,-999.0,1016.5,135.0,3.6,6.4,0.8,81.0,-999.0,35.1,-999.0
1905,2,-999.0,1015.9,123.9,0.4,2.8,-2.9,81.0,-999.0,65.4,-999.0
1905,3,-999.0,1022.4,51.1,4.3,10.1,0.2,72.0,-999.0,140.9,-999.0
1905,4,-999.0,1016.4,137.0,8.9,15.4,4.7,76.0,-999.0,121.4,-999.0
1905,5,-999.0,1013.3,82.6,14.8,19.3,10.3,78.0,-999.0,175.6,-999.0
1905,6,-999.0,1008.5,192.8,19.4,23.1,15.7,84.0,-999.0,106.9,-999.0
1905,7,-999.0,1009.2,164.8,24.0,28.4,19.9,84.0,-999.0,203.7,-999.0
1905,8,-999.0,1009.2,331.2,21.9,25.4,18.6,89.0,-999.0,107.9,-999.0
1905,9,-999.0,1014.7,298.4,20.7,26.0,16.6,84.0,-999.0,150.1,-999.0
1905,10,-999.0,1018.0,183.8,15.8,21.5,11.7,79.0,-999.0,128.4,-999.0
1905,11,-999.0,1021.2,158.5,9.0,14.5,4.4,76.0,-999.0,91.6,-999.0
1905,12,-999.0,1018.7,274.4,5.7,10.0,2.4,83.0,-999.0,31.8,-999.0
1906,1,-999.0,1018.7,173.1,0.8,3.8,-1.9,81.0,-999.0,25.9,-999.0
1906,2,-999.0,1015.5,174.3,1.0,4.0,-1.5,85.0,-999.0,38.6,-999.0
1906,3,-999.0,1015.9,108.5,5.3,9.3,1.8,74.0,-999.0,126.7,-999.0
1906,4,-999.0,1014.4,99.0,10.0,15.4,6.1,75.0,-999.0,201.8,-999.0
1906,5,-999.0,1013.6,94.4,14.9,21.4,10.8,73.0,-999.0,215.0,-999.0
1906,6,-999.0,1009.6,134.1,17.9,23.9,14.3,80.0,-999.0,200.5,-999.0
1906,7,-999.0,1005.2,70.4,24.4,30.4,21.4,78.0,-999.0,200.7,-999.0
1906,8,-999.0,1008.7,135.7,24.2,28.3,21.1,84.0,-999.0,206.6,-999.0
1906,9,-999.0,1013.7,181.2,19.1,24.5,15.7,81.0,-999.0,142.7,-999.0
1906,10,-999.0,1017.5,138.8,15.1,19.7,11.4,77.0,-999.0,144.5,-999.0
1906,11,-999.0,1021.7,159.4,7.8,11.5,4.7,77.0,-999.0,60.7,-999.0
1906,12,-999.0,1014.4,244.4,4.6,8.1,1.8,80.0,-999.0,65.0,-999.0
1907,1,-999.0,1019.5,185.7,1.9,5.6,-0.9,82.0,-999.0,79.6,-999.0
1907,2,-999.0,1017.1,171.6,0.3,3.8,-2.3,84.0,-999.0,84.9,-999.0
