Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.1,76.8,4.8,8.3,1.7,77.0,-999.0,113.4,-999.0
1900,2,-999.0,1022.0,23.3,5.1,9.2,1.0,77.0,-999.0,132.5,-999.0
1900,3,-999.0,1018.4,71.5,8.1,12.7,3.4,72.0,-999.0,196.6,-999.0
1900,4,-999.0,1016.0,155.6,13.4,17.3,9.3,82.0,-999.0,147.5,-999.0
1900,5,-999.0,1010.4,226.9,17.6,22.3,13.0,76.0,-999.0,208.5,-999.0
1900,6,-999.0,1011.2,122.7,20.4,24.3,16.3,80.0,-999.0,164.1,-999.0
1900,7,-999.0,1007.7,426.2,24.2,27.5,20.8,85.0,-999.0,182.8,-999.0
1900,8,-999.0,1008.4,324.1,26.5,30.4,22.7,83.0,-999.0,233.8,-999.0
1900,9,-999.0,1012.4,161.7,23.5,27.0,20.2,85.0,-999.0,144.5,-999.0
1900,10,-999.0,1018.8,72.3,17.7,22.6,13.0,79.0,-999.0,166.1,-999.0
1900,11,-999.0,1020.1,93.9,12.7,17.1,8.5,81.0,-999.0,123.6,-999.0
1900,12,-999.0,1022.7,13.5,7.5,12.0,2.8,76.0,-999.0,139.1,-999.0
1901,1,-999.0,1021.3,82.5,7.4,11.6,3.4,84.0,-999.0,120.1,-999.0
1901,2,-999.0,1018.4,7.7,4.1,8.4,0.1,68.0,-999.0,145.4,-999.0
1901,3,-999.0,1021.1,58.4,7.5,11.8,2.7,79.0,-999.0,217.5,-999.0
1901,4,-999.0,1014.8,165.4,13.4,17.2,9.5,84.0,-999.0,154.4,-999.0
1901,5,-999.0,1012.0,60.2,16.5,20.8,11.8,80.0,-999.0,172.2,-999.0
1901,6,-999.0,1006.9,350.6,20.6,23.8,17.4,86.0,-999.0,86.3,-999.0
1901,7,-999.0,1007.5,486.0,23.1,26.2,20.6,90.0,-999.0,94.5,-999.0
1901,8,-999.0,1010.7,59.9,26.0,29.8,21.9,80.0,-999.0,254.4,-999.0
1901,9,-999.0,1011.2,44.9,21.9,25.8,18.0,83.0,-999.0,171.2,-999.0
1901,10,-999.0,1015.3,447.7,18.5,22.3,14.8,84.0,-999.0,135.2,-999.0
1901,11,-999.0,1020.5,23.4,11.7,17.1,6.2,76.0,-999.0,186.6,-999.0
1901,12,-999.0,1022.3,49.6,6.3,12.0,1.6,74.0,-999.0,187.7,-999.0
1902,1,-999.0,1021.3,21.2,5.5,10.5,0.7,74.0,-999.0,175.6,-999.0
1902,2,-999.0,1024.4,3.2,5.2,10.0,0.0,76.0,-999.0,168.0,-999.0
1902,3,-999.0,1017.9,89.0,10.1,14.5,5.2,75.0,-999.0,167.6,-999.0
1902,4,-999.0,1015.7,176.1,12.3,16.4,8.2,79.0,-999.0,118.2,-999.0
1902,5,-999.0,1011.3,284.6,17.3,21.3,13.3,83.0,-999.0,122.0,-999.0
1902,6,-999.0,1006.7,160.9,20.6,24.0,17.0,82.0,-999.0,119.2,-999.0
