Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.3,65.7,3.7,8.0,0.3,76.0,-999.0,109.6,-999.0
1900,2,-999.0,1022.1,20.3,5.0,10.4,0.8,70.0,-999.0,121.8,-999.0
1900,3,-999.0,1018.5,72.3,8.2,13.8,3.8,67.0,-999.0,176.2,-999.0
1900,4,-999.0,1015.2,208.8,14.4,19.7,9.9,76.0,-999.0,138.6,-999.0
1900,5,-999.0,1010.3,251.5,18.3,23.2,13.6,76.0,-999.0,176.6,-999.0
1900,6,-999.0,1010.4,80.3,21.7,26.6,16.9,73.0,-999.0,152.0,-999.0
1900,7,-999.0,1007.5,671.5,24.6,28.4,21.7,86.0,-999.0,119.9,-999.0
1900,8,-999.0,1007.6,201.1,27.5,32.4,23.5,79.0,-999.0,220.4,-999.0
1900,9,-999.0,1011.5,166.8,24.0,28.4,20.3,78.0,-999.0,162.7,-999.0
1900,10,-999.0,1018.3,138.4,17.5,23.6,12.4,80.0,-999.0,160.7,-999.0
1900,11,-999.0,1019.9,113.8,12.3,17.7,7.9,80.0,-999.0,121.8,-999.0
1900,12,-999.0,1022.8,26.1,6.8,11.8,2.7,77.0,-999.0,102.6,-999.0
1901,1,-999.0,1021.1,81.2,7.5,12.5,3.4,77.0,-999.0,114.4,-999.0
1901,2,-999.0,1018.9,33.6,3.1,7.5,-0.3,73.0,-999.0,87.0,-999.0
1901,3,-999.0,1020.9,66.5,7.8,13.8,2.7,72.0,-999.0,186.5,-999.0
1901,4,-999.0,1013.6,183.6,14.7,20.0,10.2,77.0,-999.0,141.3,-999.0
1901,5,-999.0,1011.9,86.7,17.4,22.7,12.7,74.0,-999.0,152.3,-999.0
1901,6,-999.0,1006.5,464.5,21.7,26.1,18.0,81.0,-999.0,101.0,-999.0
1901,7,-999.0,1007.2,607.8,23.8,27.3,20.9,87.0,-999.0,73.6,-999.0
1901,8,-999.0,1010.4,87.2,26.8,32.1,22.4,77.0,-999.0,239.6,-999.0
1901,9,-999.0,1011.1,49.4,22.7,28.1,18.3,73.0,-999.0,188.2,-999.0
1901,10,-999.0,1015.2,187.2,18.6,23.2,14.3,75.0,-999.0,146.0,-999.0
1901,11,-999.0,1020.9,36.7,10.4,17.5,5.1,74.0,-999.0,163.9,-999.0
1901,12,-999.0,1022.8,28.8,5.4,11.7,0.7,71.0,-999.0,138.3,-999.0
1902,1,-999.0,1021.9,45.1,4.9,10.8,0.4,73.0,-999.0,139.6,-999.0
1902,2,-999.0,1024.8,29.6,4.6,10.3,-0.2,74.0,-999.0,135.9,-999.0
1902,3,-999.0,1018.0,106.7,10.5,15.9,6.0,76.0,-999.0,143.7,-999.0
1902,4,-999.0,1015.7,250.9,12.9,17.7,8.6,77.0,-999.0,132.5,-999.0
1902,5,-999.0,1011.1,294.5,18.2,23.1,13.8,79.0,-999.0,141.4,-999.0
