Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.2,92.5,4.0,7.2,1.1,71.0,-999.0,77.8,-999.0
1900,2,-999.0,1022.1,21.8,5.0,8.5,1.8,67.0,-999.0,105.8,-999.0
1900,3,-999.0,1018.4,38.3,8.0,12.0,4.4,65.0,-999.0,166.6,-999.0
1900,4,-999.0,1015.7,194.6,13.0,16.8,10.0,78.0,-999.0,154.7,-999.0
1900,5,-999.0,1010.3,184.7,17.6,22.0,14.3,76.0,-999.0,242.5,-999.0
1900,6,-999.0,1010.9,82.1,21.0,25.7,17.3,75.0,-999.0,195.1,-999.0
1900,7,-999.0,1007.5,399.7,23.8,27.1,21.0,87.0,-999.0,184.5,-999.0
1900,8,-999.0,1008.1,139.0,27.0,31.2,23.8,81.0,-999.0,261.9,-999.0
1900,9,-999.0,1012.3,57.0,23.8,27.7,20.9,77.0,-999.0,174.3,-999.0
1900,10,-999.0,1018.8,131.1,18.1,22.2,14.7,76.0,-999.0,184.1,-999.0
1900,11,-999.0,1020.3,83.2,12.9,16.5,9.8,74.0,-999.0,131.0,-999.0
1900,12,-999.0,1022.5,48.2,7.6,10.7,4.8,71.0,-999.0,81.9,-999.0
1901,1,-999.0,1021.3,103.6,7.8,11.1,5.1,73.0,-999.0,102.4,-999.0
1901,2,-999.0,1018.3,47.7,3.7,7.0,0.4,63.0,-999.0,68.5,-999.0
1901,3,-999.0,1021.3,43.3,7.8,12.3,4.0,68.0,-999.0,205.7,-999.0
1901,4,-999.0,1014.7,177.9,13.3,17.3,10.1,79.0,-999.0,151.7,-999.0
1901,5,-999.0,1012.3,69.4,16.3,20.5,12.9,76.0,-999.0,173.0,-999.0
1901,6,-999.0,1006.8,364.5,20.5,24.3,17.8,84.0,-999.0,117.0,-999.0
1901,7,-999.0,1007.3,506.9,22.6,25.9,20.3,89.0,-999.0,98.8,-999.0
1901,8,-999.0,1010.5,118.7,26.2,30.6,23.0,80.0,-999.0,274.1,-999.0
1901,9,-999.0,1011.5,77.7,22.5,26.9,19.5,75.0,-999.0,185.0,-999.0
1901,10,-999.0,1015.7,254.3,18.4,21.5,15.6,77.0,-999.0,147.0,-999.0
1901,11,-999.0,1020.3,21.6,12.2,15.8,9.0,65.0,-999.0,125.6,-999.0
1901,12,-999.0,1022.1,36.6,6.5,10.3,3.3,68.0,-999.0,126.6,-999.0
1902,1,-999.0,1021.2,32.3,6.0,9.7,2.7,67.0,-999.0,152.3,-999.0
1902,2,-999.0,1024.1,36.0,5.4,8.7,1.9,68.0,-999.0,124.4,-999.0
1902,3,-999.0,1018.0,98.7,9.8,13.7,6.4,74.0,-999.0,152.7,-999.0
1902,4,-999.0,1015.6,204.7,11.9,15.1,9.0,73.0,-999.0,154.0,-999.0
1902,5,-999.0,1011.3,247.5,16.7,20.1,13.6,81.0,-999.0,169.1,-999.0
1902,6,-999.0,1006.8,217.1,20.2,23.5,17.2,81.0,-999.0,169.6,-999.0
1902,7,-999.0,1008.0,200.0,23.6,27.0,20.7,81.0,-999.0,197.3,-999.0
1902,8,-999.0,1008.5,203.8,24.5,28.0,21.6,84.0,-999.0,170.1,-999.0
1902,9,-999.0,1009.6,244.4,21.8,24.8,19.0,80.0,-999.0,162.5,-999.0
1902,10,-999.0,1019.3,79.8,17.4,21.5,14.1,75.0,-999.0,199.5,-999.0
1902,11,-999.0,1021.2,93.0,14.5,18.0,11.5,78.0,-999.0,154.2,-999.0
1902,12,-999.0,1018.1,138.7,10.1,13.1,7.5,75.0,-999.0,103.4,-999.0
1903,1,-999.0,1020.5,71.1,6.5,9.5,3.5,74.0,-999.0,107.4,-999.0
1903,2,-999.0,1022.4,98.6,5.9,9.4,2.7,74.0,-999.0,115.2,-999.0
1903,3,-999.0,1017.9,104.5,9.5,12.5,6.6,77.0,-999.0,105.3,-999.0
1903,4,-999.0,1016.4,149.4,13.3,17.1,10.0,78.0,-999.0,156.2,-999.0
1903,5,-999.0,1013.7,306.1,16.5,20.1,13.0,77.0,-999.0,229.8,-999.0
1903,6,-999.0,1007.5,88.5,20.1,23.3,17.3,81.0,-999.0,201.8,-999.0
1903,7,-999.0,1008.3,272.3,23.0,25.9,20.4,86.0,-999.0,144.7,-999.0
1903,8,-999.0,1011.9,100.2,26.9,30.6,23.8,81.0,-999.0,284.7,-999.0
1903,9,-999.0,1013.1,36.9,24.3,28.1,21.2,79.0,-999.0,214.5,-999.0
1903,10,-999.0,1016.8,101.5,17.7,21.7,14.4,77.0,-999.0,143.6,-999.0
1903,11,-999.0,1020.7,86.4,11.6,15.0,9.0,73.0,-999.0,133.8,-999.0
1903,12,-999.0,1021.2,55.7,6.7,9.7,4.0,64.0,-999.0,84.6,-999.0
1904,1,-999.0,1023.7,23.0,4.6,7.5,2.4,65.0,-999.0,91.3,-999.0
1904,2,-999.0,1021.1,53.1,6.2,10.0,3.3,70.0,-999.0,155.6,-999.0
1904,3,-999.0,1018.4,92.5,7.9,11.8,5.0,69.0,-999.0,143.7,-999.0
1904,4,-999.0,1017.2,287.0,13.5,17.1,10.6,79.0,-999.0,131.1,-999.0
1904,5,-999.0,1011.9,126.1,16.5,20.1,13.6,77.0,-999.0,185.7,-999.0
1904,6,-999.0,1009.7,670.4,21.0,24.2,18.4,85.0,-999.0,164.7,-999.0
1904,7,-999.0,1008.5,124.1,25.2,28.6,22.6,83.0,-999.0,244.8,-999.0
1904,8,-999.0,1008.7,4.2,27.0,31.2,23.9,74.0,-999.0,285.1,-999.0
1904,9,-999.0,1011.7,80.2,22.2,26.6,19.3,75.0,-999.0,196.8,-999.0
1904,10,-999.0,1017.5,81.9,17.2,21.5,-999.0,74.0,-999.0,170.4,-999.0
1904,11,-999.0,1020.0,47.0,11.4,15.6,8.5,65.0,-999.0,155.0,-999.0
