Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.9,73.7,4.0,7.4,0.7,67.0,-999.0,110.8,-999.0
1900,2,-999.0,1021.1,22.1,4.7,9.0,0.7,63.0,-999.0,155.3,-999.0
1900,3,-999.0,1017.9,74.6,7.5,12.2,2.6,64.0,-999.0,168.9,-999.0
1900,4,-999.0,1016.1,240.9,13.8,18.5,9.4,73.0,-999.0,165.6,-999.0
1900,5,-999.0,1010.3,206.7,18.4,23.1,13.7,74.0,-999.0,238.3,-999.0
1900,6,-999.0,1011.3,89.8,21.2,25.6,16.7,78.0,-999.0,206.9,-999.0
1900,7,-999.0,1007.5,192.5,24.6,28.3,21.3,81.0,-999.0,182.7,-999.0
1900,8,-999.0,1009.3,287.6,27.1,30.9,23.6,79.0,-999.0,228.2,-999.0
1900,9,-999.0,1012.5,317.9,23.8,27.9,20.2,78.0,-999.0,154.3,-999.0
1900,10,-999.0,1018.7,161.4,17.7,22.3,13.3,76.0,-999.0,166.3,-999.0
1900,11,-999.0,1019.6,108.7,12.8,17.5,8.4,74.0,-999.0,133.1,-999.0
1900,12,-999.0,1021.6,41.4,7.0,11.4,2.9,70.0,-999.0,147.4,-999.0
1901,1,-999.0,1020.9,71.0,6.8,10.8,2.7,72.0,-999.0,111.7,-999.0
1901,2,-999.0,1016.1,31.0,3.8,8.3,-0.3,65.0,-999.0,112.0,-999.0
1901,3,-999.0,1020.4,98.7,7.4,12.7,2.1,71.0,-999.0,168.3,-999.0
1901,4,-999.0,1015.9,218.9,14.2,18.6,9.9,77.0,-999.0,161.5,-999.0
1901,5,-999.0,1011.9,90.9,17.3,22.1,12.2,72.0,-999.0,201.7,-999.0
1901,6,-999.0,1007.5,244.0,21.6,25.1,18.0,85.0,-999.0,137.4,-999.0
1901,7,-999.0,1007.7,339.3,23.7,27.0,20.5,89.0,-999.0,143.3,-999.0
1901,8,-999.0,1010.9,77.1,26.5,30.6,22.5,81.0,-999.0,278.3,-999.0
1901,9,-999.0,1011.3,116.7,22.9,27.0,18.8,76.0,-999.0,219.5,-999.0
1901,10,-999.0,1015.7,228.6,18.8,22.7,14.8,85.0,-999.0,151.6,-999.0
1901,11,-999.0,1019.2,28.9,11.9,16.4,7.3,72.0,-999.0,174.8,-999.0
1901,12,-999.0,1020.7,109.5,6.5,11.3,1.4,68.0,-999.0,216.6,-999.0
1902,1,-999.0,1020.0,28.8,4.6,9.5,-0.4,68.0,-999.0,193.8,-999.0
1902,2,-999.0,1023.1,6.4,4.6,9.6,-0.6,66.0,-999.0,181.7,-999.0
1902,3,-999.0,1017.7,108.6,9.8,14.6,4.4,72.0,-999.0,204.4,-999.0
1902,4,-999.0,1015.5,100.1,12.8,17.2,7.9,72.0,-999.0,161.7,-999.0
1902,5,-999.0,1011.9,301.0,17.6,21.9,13.0,75.0,-999.0,146.2,-999.0
1902,6,-999.0,1007.3,162.2,21.2,25.0,17.2,79.0,-999.0,188.6,-999.0
1902,7,-999.0,1008.0,181.1,24.2,28.0,20.5,82.0,-999.0,224.7,-999.0
1902,8,-999.0,1009.3,205.7,25.5,29.1,22.2,82.0,-999.0,173.7,-999.0
1902,9,-999.0,1009.9,275.9,22.7,26.4,19.4,80.0,-999.0,164.3,-999.0
1902,10,-999.0,1018.9,218.1,17.3,22.0,13.4,77.0,-999.0,188.5,-999.0
1902,11,-999.0,1021.1,84.5,13.7,18.5,9.6,78.0,-999.0,145.5,-999.0
1902,12,-999.0,1017.1,164.0,9.6,13.7,5.6,72.0,-999.0,140.2,-999.0
1903,1,-999.0,1019.5,67.4,6.3,10.4,2.2,72.0,-999.0,166.9,-999.0
1903,2,-999.0,1021.1,50.6,5.7,9.8,1.6,69.0,-999.0,154.2,-999.0
1903,3,-999.0,1018.0,165.4,10.0,13.7,5.8,76.0,-999.0,139.3,-999.0
1903,4,-999.0,1016.5,156.9,14.4,18.5,10.2,77.0,-999.0,157.4,-999.0
1903,5,-999.0,1013.9,261.6,17.1,21.6,12.5,72.0,-999.0,232.4,-999.0
1903,6,-999.0,1007.3,62.8,21.3,25.5,16.9,76.0,-999.0,190.2,-999.0
1903,7,-999.0,1008.8,408.8,23.9,27.1,21.0,87.0,-999.0,151.1,-999.0
1903,8,-999.0,1012.0,7.9,27.4,32.1,23.1,77.0,-999.0,308.5,-999.0
1903,9,-999.0,1013.1,182.7,24.4,28.8,20.8,83.0,-999.0,182.2,-999.0
