Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1017.9,69.2,1.6,6.0,-2.1,66.0,-999.0,160.1,-999.0
1900,2,-999.0,1017.1,31.3,3.1,8.2,-1.0,62.0,-999.0,174.9,-999.0
1900,3,-999.0,1015.5,69.3,5.7,10.8,1.1,70.0,-999.0,171.5,-999.0
1900,4,-999.0,1016.7,168.6,11.4,15.7,7.5,80.0,-999.0,135.3,-999.0
1900,5,-999.0,1009.5,127.3,17.3,22.3,12.7,77.0,-999.0,219.0,-999.0
1900,6,-999.0,1011.7,89.4,19.3,24.0,15.2,78.0,-999.0,223.6,-999.0
1900,7,-999.0,1007.3,122.1,22.8,26.5,19.7,85.0,-999.0,137.5,-999.0
1900,8,-999.0,1011.6,66.3,26.1,30.5,22.6,81.0,-999.0,272.0,-999.0
1900,9,-999.0,1013.5,173.9,22.6,26.9,19.3,83.0,-999.0,165.7,-999.0
1900,10,-999.0,1018.8,113.6,16.5,21.6,12.6,79.0,-999.0,165.2,-999.0
1900,11,-999.0,1018.3,131.9,11.0,16.3,6.7,79.0,-999.0,148.4,-999.0
1900,12,-999.0,1017.6,25.1,5.5,11.5,0.9,66.0,-999.0,209.2,-999.0
1901,1,-999.0,1018.8,74.4,4.1,9.0,0.2,70.0,-999.0,163.4,-999.0
1901,2,-999.0,1010.9,30.2,3.7,9.5,-1.3,59.0,-999.0,208.8,-999.0
1901,3,-999.0,1017.1,131.2,7.3,12.9,2.1,62.0,-999.0,230.1,-999.0
1901,4,-999.0,1017.2,132.6,13.4,18.1,8.9,76.0,-999.0,192.6,-999.0
1901,5,-999.0,1011.7,149.3,16.1,20.8,12.0,78.0,-999.0,191.4,-999.0
1901,6,-999.0,1008.1,172.1,20.6,24.6,17.4,82.0,-999.0,145.7,-999.0
1901,7,-999.0,1008.5,229.0,22.1,26.0,19.3,88.0,-999.0,122.5,-999.0
1901,8,-999.0,1011.5,53.8,25.1,29.9,21.6,82.0,-999.0,230.4,-999.0
1901,9,-999.0,1011.3,130.8,22.3,26.7,18.9,80.0,-999.0,169.5,-999.0
1901,10,-999.0,1016.5,311.1,16.8,21.2,13.2,83.0,-999.0,128.6,-999.0
1901,11,-999.0,1016.5,63.6,10.2,15.7,5.5,74.0,-999.0,191.8,-999.0
1901,12,-999.0,1016.1,110.8,4.5,10.7,-0.5,65.0,-999.0,215.1,-999.0
1902,1,-999.0,1015.5,33.4,2.4,8.6,-2.4,59.0,-999.0,241.7,-999.0
1902,2,-999.0,1019.3,20.9,3.8,9.1,-1.2,61.0,-999.0,201.0,-999.0
1902,3,-999.0,1016.1,92.4,8.4,13.5,3.6,71.0,-999.0,184.4,-999.0
1902,4,-999.0,1013.7,140.3,11.6,16.9,6.4,68.0,-999.0,194.2,-999.0
1902,5,-999.0,1012.3,222.7,16.3,20.7,12.0,78.0,-999.0,181.7,-999.0
1902,6,-999.0,1008.3,204.7,19.8,24.1,16.3,82.0,-999.0,181.4,-999.0
1902,7,-999.0,1007.9,159.6,21.8,25.6,18.8,87.0,-999.0,130.6,-999.0
1902,8,-999.0,1011.3,310.3,22.9,26.2,20.2,87.0,-999.0,123.1,-999.0
1902,9,-999.0,1010.9,244.2,22.6,26.4,19.6,85.0,-999.0,126.9,-999.0
1902,10,-999.0,1018.7,104.7,16.6,21.3,12.7,79.0,-999.0,154.8,-999.0
1902,11,-999.0,1020.7,105.1,11.5,16.3,7.7,78.0,-999.0,160.1,-999.0
1902,12,-999.0,1014.8,115.4,7.1,11.4,3.7,71.0,-999.0,154.5,-999.0
1903,1,-999.0,1016.8,122.4,4.6,9.0,0.9,72.0,-999.0,156.9,-999.0
1903,2,-999.0,1017.3,80.0,4.1,8.9,-0.2,65.0,-999.0,176.6,-999.0
1903,3,-999.0,1018.7,165.9,7.7,12.1,4.2,74.0,-999.0,146.4,-999.0
1903,4,-999.0,1017.5,155.5,12.7,17.2,8.7,78.0,-999.0,145.1,-999.0
1903,5,-999.0,1013.3,159.0,15.9,20.6,11.7,75.0,-999.0,184.7,-999.0
1903,6,-999.0,1007.6,145.4,19.7,24.2,15.8,78.0,-999.0,192.1,-999.0
1903,7,-999.0,1008.8,286.8,23.2,26.9,20.3,86.0,-999.0,154.3,-999.0
1903,8,-999.0,1011.7,22.6,25.7,31.0,21.6,80.0,-999.0,259.3,-999.0
