Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.5,70.3,3.9,7.1,0.7,68.0,-999.0,129.9,-999.0
1900,2,-999.0,1020.8,21.4,4.6,8.9,0.7,63.0,-999.0,163.8,-999.0
1900,3,-999.0,1017.9,86.4,7.3,12.4,2.8,65.0,-999.0,179.8,-999.0
1900,4,-999.0,1016.3,194.1,13.7,18.8,8.9,73.0,-999.0,181.7,-999.0
1900,5,-999.0,1010.5,122.8,18.4,23.2,13.6,71.0,-999.0,267.8,-999.0
1900,6,-999.0,1011.5,116.9,21.2,25.9,16.5,71.0,-999.0,249.9,-999.0
1900,7,-999.0,1007.7,127.9,24.7,28.4,21.5,81.0,-999.0,214.0,-999.0
1900,8,-999.0,1009.9,154.1,27.3,31.6,23.6,78.0,-999.0,246.2,-999.0
1900,9,-999.0,1012.7,205.4,23.8,28.2,19.9,78.0,-999.0,192.1,-999.0
1900,10,-999.0,1018.8,188.3,17.5,22.4,12.7,77.0,-999.0,170.8,-999.0
1900,11,-999.0,1019.5,175.6,12.5,17.4,8.0,76.0,-999.0,150.8,-999.0
1900,12,-999.0,1021.5,41.3,6.8,11.2,2.5,68.0,-999.0,131.4,-999.0
1901,1,-999.0,1020.8,47.7,6.4,10.5,2.3,72.0,-999.0,119.2,-999.0
1901,2,-999.0,1016.0,34.9,4.1,8.1,0.1,63.0,-999.0,133.7,-999.0
1901,3,-999.0,1020.1,96.5,7.5,12.8,2.2,66.0,-999.0,216.8,-999.0
1901,4,-999.0,1015.7,164.5,14.4,19.1,9.8,73.0,-999.0,177.3,-999.0
1901,5,-999.0,1011.9,49.7,17.2,22.4,12.1,70.0,-999.0,195.6,-999.0
1901,6,-999.0,1007.5,290.9,21.8,25.5,18.1,78.0,-999.0,160.3,-999.0
1901,7,-999.0,1007.9,385.2,24.2,27.3,21.2,84.0,-999.0,162.6,-999.0
1901,8,-999.0,1011.1,67.8,26.8,31.3,22.8,76.0,-999.0,283.7,-999.0
1901,9,-999.0,1011.3,203.9,23.0,27.6,18.8,76.0,-999.0,207.0,-999.0
1901,10,-999.0,1015.6,157.0,18.6,22.9,14.2,79.0,-999.0,134.9,-999.0
1901,11,-999.0,1019.2,43.7,11.6,16.3,7.0,72.0,-999.0,135.7,-999.0
1901,12,-999.0,1020.5,74.1,6.1,11.4,1.3,65.0,-999.0,169.2,-999.0
1902,1,-999.0,1020.0,28.3,4.5,9.5,-0.2,65.0,-999.0,129.5,-999.0
1902,2,-999.0,1023.1,10.9,4.6,9.8,-0.5,65.0,-999.0,144.5,-999.0
1902,3,-999.0,1017.5,110.5,9.9,14.9,5.0,71.0,-999.0,173.6,-999.0
1902,4,-999.0,1015.5,81.9,12.6,17.3,7.7,69.0,-999.0,158.7,-999.0
1902,5,-999.0,1012.0,315.8,17.5,21.9,13.1,76.0,-999.0,152.2,-999.0
1902,6,-999.0,1007.5,197.4,21.2,25.2,17.2,78.0,-999.0,181.0,-999.0
1902,7,-999.0,1008.1,152.7,24.3,28.0,20.9,81.0,-999.0,197.8,-999.0
1902,8,-999.0,1009.3,199.3,25.7,29.6,22.2,79.0,-999.0,176.1,-999.0
1902,9,-999.0,1009.7,152.6,23.1,27.6,19.2,76.0,-999.0,173.3,-999.0
1902,10,-999.0,1018.7,178.8,17.1,21.9,12.8,77.0,-999.0,183.1,-999.0
1902,11,-999.0,1020.9,148.3,13.4,17.9,8.7,78.0,-999.0,150.8,-999.0
1902,12,-999.0,1017.2,82.9,9.5,13.7,5.3,70.0,-999.0,126.7,-999.0
1903,1,-999.0,1019.5,96.5,6.1,10.3,2.3,72.0,-999.0,119.7,-999.0
1903,2,-999.0,1021.1,58.2,5.7,9.8,1.6,69.0,-999.0,141.7,-999.0
1903,3,-999.0,1017.9,147.5,10.2,14.5,5.8,72.0,-999.0,137.8,-999.0
1903,4,-999.0,1016.7,183.9,14.5,18.9,10.1,75.0,-999.0,147.1,-999.0
1903,5,-999.0,1014.0,109.9,16.9,21.6,12.0,70.0,-999.0,211.6,-999.0
1903,6,-999.0,1007.5,64.1,21.1,25.5,16.9,74.0,-999.0,196.1,-999.0
1903,7,-999.0,1009.1,695.4,24.3,27.3,21.0,83.0,-999.0,146.3,-999.0
1903,8,-999.0,1012.1,39.3,27.6,32.5,23.3,72.0,-999.0,283.6,-999.0
1903,9,-999.0,1013.1,194.6,24.4,28.9,20.5,78.0,-999.0,190.0,-999.0
1903,10,-999.0,1016.3,184.3,17.3,21.8,12.8,76.0,-999.0,160.8,-999.0
1903,11,-999.0,1019.6,128.0,11.0,15.8,6.5,72.0,-999.0,148.7,-999.0
1903,12,-999.0,1019.7,78.2,6.2,10.2,2.1,67.0,-999.0,128.3,-999.0
1904,1,-999.0,1021.6,26.8,4.3,8.4,0.6,62.0,-999.0,137.7,-999.0
1904,2,-999.0,1020.4,23.4,6.3,11.0,1.3,68.0,-999.0,183.1,-999.0
1904,3,-999.0,1017.9,171.3,7.8,12.0,3.8,70.0,-999.0,165.3,-999.0
1904,4,-999.0,1017.5,147.5,15.1,19.4,10.2,72.0,-999.0,160.9,-999.0
1904,5,-999.0,1011.9,135.5,17.6,22.0,12.9,74.0,-999.0,156.0,-999.0
1904,6,-999.0,1010.3,415.6,22.4,26.0,18.7,81.0,-999.0,170.4,-999.0
1904,7,-999.0,1008.8,155.7,26.4,30.6,22.8,78.0,-999.0,250.9,-999.0
1904,8,-999.0,1009.5,142.3,26.7,31.4,22.4,72.0,-999.0,282.4,-999.0
1904,9,-999.0,1010.5,165.3,22.3,27.0,18.1,76.0,-999.0,188.5,-999.0
1904,10,-999.0,1016.5,166.5,17.1,21.4,13.0,76.0,-999.0,148.7,-999.0
1904,11,-999.0,1018.7,18.2,10.3,15.5,5.4,71.0,-999.0,161.1,-999.0
1904,12,-999.0,1019.7,50.3,7.7,12.2,3.4,69.0,-999.0,148.7,-999.0
1905,1,-999.0,1017.3,70.3,6.5,11.0,2.3,72.0,-999.0,126.6,-999.0
1905,2,-999.0,1017.6,20.4,4.3,8.5,0.3,65.0,-999.0,152.3,-999.0
1905,3,-999.0,1020.5,122.2,7.9,12.1,3.8,71.0,-999.0,129.1,-999.0
1905,4,-999.0,1015.6,83.2,12.8,17.5,7.4,70.0,-999.0,170.2,-999.0
1905,5,-999.0,1013.7,160.7,18.1,22.4,12.9,74.0,-999.0,179.6,-999.0
1905,6,-999.0,1007.7,551.6,22.1,25.7,18.6,83.0,-999.0,115.8,-999.0
1905,7,-999.0,1009.3,267.8,26.4,30.0,23.1,79.0,-999.0,244.8,-999.0
1905,8,-999.0,1009.5,421.9,25.1,28.6,21.7,82.0,-999.0,174.8,-999.0
1905,9,-999.0,1014.5,85.3,23.2,27.5,19.4,77.0,-999.0,174.9,-999.0
1905,10,-999.0,1017.2,110.5,17.7,22.8,13.1,76.0,-999.0,165.2,-999.0
1905,11,-999.0,1021.2,53.2,12.1,17.0,7.5,72.0,-999.0,156.0,-999.0
1905,12,-999.0,1019.7,83.8,9.4,13.5,5.4,72.0,-999.0,118.6,-999.0
1906,1,-999.0,1020.9,70.8,4.1,8.8,0.2,69.0,-999.0,121.5,-999.0
1906,2,-999.0,1016.4,96.9,4.9,8.5,1.7,68.0,-999.0,83.9,-999.0
1906,3,-999.0,1017.2,60.5,8.4,13.1,3.4,67.0,-999.0,187.9,-999.0
1906,4,-999.0,1015.1,73.3,13.4,19.0,7.6,67.0,-999.0,225.4,-999.0
1906,5,-999.0,1012.9,167.0,17.5,22.2,12.8,75.0,-999.0,170.1,-999.0
1906,6,-999.0,1008.7,134.4,21.0,25.3,17.0,77.0,-999.0,145.8,-999.0
1906,7,-999.0,1004.0,208.5,25.4,29.4,21.9,79.0,-999.0,180.7,-999.0
1906,8,-999.0,1008.4,20.1,26.8,31.7,22.4,75.0,-999.0,245.2,-999.0
