Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1018.1,65.1,2.7,6.6,-0.8,68.0,-999.0,-999.0,-999.0
1900,2,-999.0,1017.2,26.3,3.7,8.0,0.2,67.0,-999.0,-999.0,-999.0
1900,3,-999.0,1015.6,93.7,6.4,10.8,2.3,70.0,-999.0,-999.0,-999.0
1900,4,-999.0,1016.9,194.9,11.9,15.7,8.8,78.0,-999.0,-999.0,-999.0
1900,5,-999.0,1009.9,127.5,17.8,22.4,14.0,75.0,-999.0,-999.0,-999.0
1900,6,-999.0,1012.3,95.9,19.6,23.9,16.1,78.0,-999.0,-999.0,-999.0
1900,7,-999.0,1007.5,99.8,23.2,26.8,20.6,82.0,-999.0,-999.0,-999.0
1900,8,-999.0,1011.7,59.1,26.5,30.6,23.5,78.0,-999.0,-999.0,-999.0
1900,9,-999.0,1013.5,127.3,23.2,26.8,20.4,80.0,-999.0,-999.0,-999.0
1900,10,-999.0,1018.8,96.5,17.4,21.2,14.1,77.0,-999.0,-999.0,-999.0
1900,11,-999.0,1018.3,126.7,12.1,16.5,8.4,77.0,-999.0,-999.0,-999.0
1900,12,-999.0,1017.6,28.3,6.8,11.3,2.6,66.0,-999.0,-999.0,-999.0
1901,1,-999.0,1018.7,69.7,5.0,9.0,1.3,72.0,-999.0,-999.0,-999.0
1901,2,-999.0,1010.9,22.7,4.5,9.6,0.0,61.0,-999.0,-999.0,-999.0
1901,3,-999.0,1017.1,122.6,7.8,12.5,3.7,64.0,-999.0,-999.0,-999.0
1901,4,-999.0,1017.2,144.1,13.8,17.5,10.4,78.0,-999.0,-999.0,-999.0
1901,5,-999.0,1011.9,113.6,16.4,20.5,13.0,76.0,-999.0,-999.0,-999.0
1901,6,-999.0,1008.1,161.3,20.8,24.2,18.1,82.0,-999.0,-999.0,-999.0
1901,7,-999.0,1008.5,245.7,22.6,25.6,20.1,86.0,-999.0,-999.0,-999.0
1901,8,-999.0,1011.6,39.1,25.6,29.7,22.6,79.0,-999.0,-999.0,-999.0
1901,9,-999.0,1011.2,185.4,22.8,26.2,20.0,78.0,-999.0,-999.0,-999.0
1901,10,-999.0,1016.5,321.3,17.7,21.2,14.7,81.0,-999.0,-999.0,-999.0
1901,11,-999.0,1016.7,70.1,11.3,16.1,7.0,72.0,-999.0,-999.0,-999.0
1901,12,-999.0,1016.3,111.7,6.0,11.3,1.1,64.0,-999.0,-999.0,-999.0
1902,1,-999.0,1015.7,49.0,3.2,9.0,-1.5,64.0,-999.0,-999.0,-999.0
1902,2,-999.0,1019.5,17.3,4.5,9.4,-0.1,64.0,-999.0,-999.0,-999.0
1902,3,-999.0,1016.1,87.8,9.1,13.5,5.0,72.0,-999.0,-999.0,-999.0
1902,4,-999.0,1013.9,141.3,12.1,16.6,7.3,70.0,-999.0,-999.0,-999.0
1902,5,-999.0,1012.4,245.1,16.7,20.5,13.0,77.0,-999.0,-999.0,-999.0
1902,6,-999.0,1008.4,185.7,20.2,24.0,16.9,81.0,-999.0,-999.0,-999.0
1902,7,-999.0,1008.0,158.9,22.3,25.4,19.4,84.0,-999.0,-999.0,-999.0
1902,8,-999.0,1011.2,368.3,23.3,26.2,21.0,85.0,-999.0,-999.0,-999.0
1902,9,-999.0,1011.1,239.5,23.2,26.4,20.3,83.0,-999.0,-999.0,-999.0
1902,10,-999.0,1018.7,119.4,17.1,20.8,13.6,79.0,-999.0,-999.0,-999.0
1902,11,-999.0,1020.5,100.9,12.5,16.3,8.8,77.0,-999.0,-999.0,-999.0
1902,12,-999.0,1014.9,109.9,8.0,12.2,4.4,71.0,-999.0,-999.0,-999.0
1903,1,-999.0,1016.9,123.1,5.6,9.6,2.0,72.0,-999.0,-999.0,-999.0
1903,2,-999.0,1017.3,89.8,5.0,9.5,0.7,68.0,-999.0,-999.0,-999.0
1903,3,-999.0,1018.5,179.6,8.5,12.1,5.2,76.0,-999.0,-999.0,-999.0
1903,4,-999.0,1017.5,158.9,13.2,16.8,10.0,79.0,-999.0,-999.0,-999.0
1903,5,-999.0,1013.5,156.8,16.3,20.2,12.5,75.0,-999.0,-999.0,-999.0
1903,6,-999.0,1007.7,168.2,20.1,23.8,16.5,78.0,-999.0,-999.0,-999.0
1903,7,-999.0,1009.2,431.6,23.7,27.0,21.1,82.0,-999.0,-999.0,-999.0
1903,8,-999.0,1012.0,13.7,26.2,30.3,22.6,79.0,-999.0,-999.0,-999.0
1903,9,-999.0,1014.1,256.5,22.9,26.4,20.0,83.0,-999.0,-999.0,-999.0
1903,10,-999.0,1016.9,340.3,15.9,19.0,13.1,83.0,-999.0,-999.0,-999.0
1903,11,-999.0,1018.0,143.7,10.2,14.6,6.1,75.0,-999.0,-999.0,-999.0
1903,12,-999.0,1015.9,78.5,5.3,9.8,1.4,66.0,-999.0,-999.0,-999.0
1904,1,-999.0,1017.5,8.8,3.0,7.4,-1.0,63.0,-999.0,-999.0,-999.0
1904,2,-999.0,1018.8,60.2,5.1,9.0,1.6,74.0,-999.0,-999.0,-999.0
1904,3,-999.0,1016.9,118.2,6.7,10.3,3.5,73.0,-999.0,-999.0,-999.0
1904,4,-999.0,1017.9,97.5,13.5,17.7,10.1,79.0,-999.0,-999.0,-999.0
1904,5,-999.0,1012.3,131.8,16.0,19.8,12.5,79.0,-999.0,-999.0,-999.0
1904,6,-999.0,1009.9,60.6,22.3,26.0,19.2,80.0,-999.0,-999.0,-999.0
1904,7,-999.0,1009.6,228.2,25.5,29.1,22.6,82.0,-999.0,-999.0,-999.0
1904,8,-999.0,1011.1,57.4,25.6,29.9,21.9,78.0,-999.0,-999.0,-999.0
1904,9,-999.0,1010.9,186.4,21.8,25.2,18.7,80.0,-999.0,-999.0,-999.0
1904,10,-999.0,1015.7,241.5,17.0,20.1,14.1,81.0,-999.0,-999.0,-999.0
1904,11,-999.0,1015.5,9.2,10.2,15.8,4.5,68.0,-999.0,-999.0,-999.0
1904,12,-999.0,1016.7,107.3,6.2,11.3,1.2,71.0,-999.0,-999.0,-999.0
1905,1,-999.0,1015.2,67.9,5.1,9.3,0.8,71.0,-999.0,126.1,-999.0
