year,1,2,3,4,5,6,7,8,9,10,11,12
1949,27.18,27.48,27.98,28.47,28.23,27.35,26.87,26.48,26.66,27.04,27.34,27.17
1950,27.31,27.46,27.99,28.35,28.31,27.28,26.61,26.37,26.48,26.98,27.06,27.00
1951,26.94,27.26,27.89,28.20,28.31,27.42,26.66,26.35,26.70,27.26,27.49,27.50
1952,27.30,27.67,28.27,28.73,28.44,27.46,26.56,26.21,26.50,26.79,27.08,27.27
1953,27.33,27.54,28.29,28.69,28.55,27.62,26.75,26.38,26.44,27.02,27.39,27.64
1954,27.27,27.68,28.21,28.53,28.30,27.44,26.51,26.24,26.29,26.65,26.96,27.12
1955,27.41,27.41,28.00,28.40,27.95,26.91,26.37,26.22,26.46,26.80,27.09,27.24
1956,27.18,27.34,28.04,28.40,27.84,26.96,26.16,26.04,26.27,26.62,27.00,27.34
1957,27.40,27.42,28.14,28.66,28.73,27.76,26.88,26.46,26.57,27.14,27.46,27.55
1958,27.77,27.93,28.31,29.00,28.70,27.79,26.91,26.61,26.77,27.06,27.35,27.52
1959,27.71,27.97,28.37,28.79,28.69,27.71,26.72,26.45,26.73,27.14,27.41,27.51
1960,27.38,27.63,28.23,28.61,28.44,27.51,26.66,26.30,26.54,26.96,27.06,27.44
1961,27.64,27.80,28.33,28.73,28.47,27.79,27.07,26.78,26.84,27.26,27.45,27.58
1962,27.37,27.66,28.26,28.91,28.65,28.01,27.35,27.04,27.13,27.50,27.80,27.80
1963,27.61,27.77,28.16,28.75,28.61,27.63,27.02,26.68,26.86,27.42,27.84,27.80
1964,27.86,28.09,28.54,28.96,28.43,27.58,26.74,26.36,26.53,26.92,27.08,27.30
1965,27.23,27.49,27.90,28.57,28.24,27.40,26.81,26.37,26.72,27.22,27.43,27.45
1966,27.45,27.95,28.15,28.57,28.32,27.74,27.01,26.58,26.87,27.21,27.51,27.44
1967,27.31,27.45,28.19,28.70,28.63,27.80,26.97,26.63,26.72,27.26,27.48,27.55
1968,27.26,27.49,28.02,28.44,28.29,27.59,26.72,26.42,26.58,27.15,27.41,27.54
1969,27.58,27.91,28.61,29.17,28.93,27.72,26.96,26.73,26.95,27.46,27.76,27.85
1970,27.98,28.10,28.73,29.21,28.85,27.92,27.18,26.75,26.82,27.29,27.49,27.49
1971,27.40,27.36,27.98,28.69,28.33,27.58,26.81,26.61,26.74,26.99,27.41,27.45
1972,27.59,27.74,28.12,28.71,28.72,28.18,27.21,26.99,27.24,27.73,28.04,28.25
1973,28.03,28.17,28.68,29.26,28.67,27.79,27.08,26.72,26.96,27.38,27.54,27.35
1974,27.11,27.32,27.99,28.42,28.34,27.69,26.89,26.47,26.51,26.87,27.18,27.40
1975,27.33,27.67,28.17,28.41,28.48,27.71,27.00,26.49,26.62,26.84,27.17,27.11
1976,27.01,27.45,27.95,28.56,28.48,27.97,27.15,26.65,26.79,27.28,27.54,27.61
1977,27.60,27.64,28.41,28.91,28.66,28.02,27.14,26.86,27.05,27.39,27.80,27.85
1978,27.77,28.02,28.40,28.85,28.41,27.52,26.78,26.38,26.63,27.19,27.53,27.57
1979,27.86,28.04,28.60,28.96,28.60,27.92,27.02,26.55,26.85,27.33,27.73,27.89
1980,27.76,27.89,28.42,29.02,29.00,27.90,27.08,26.77,26.92,27.42,27.73,27.65
1981,27.53,27.78,28.59,28.79,28.73,27.80,27.10,26.73,26.88,27.55,27.57,27.56
1982,27.55,27.85,28.30,28.90,28.90,27.98,27.18,26.92,27.10,27.68,28.00,28.03
1983,27.92,28.29,28.70,29.11,28.90,28.42,27.62,27.16,27.21,27.40,27.62,27.68
1984,27.45,27.49,28.24,28.84,28.37,27.59,26.77,26.37,26.68,27.08,27.58,27.56
1985,27.65,27.73,28.29,28.86,28.59,27.50,26.94,26.58,26.81,27.16,27.45,27.62
1986,27.46,27.83,28.19,28.75,28.67,27.90,27.00,26.47,26.67,27.22,27.72,27.76
1987,27.66,27.93,28.73,29.16,29.16,28.26,27.57,27.26,27.48,27.81,28.04,28.03
1988,28.13,28.43,29.00,29.29,28.88,28.02,27.36,27.14,27.33,27.68,27.81,27.85
1989,27.53,27.76,28.31,28.56,28.48,27.46,26.87,26.51,26.89,27.33,27.84,27.92
1990,27.79,28.32,28.62,28.98,28.77,27.80,27.22,26.79,26.96,27.41,27.69,28.01
1991,27.94,28.07,28.67,29.21,29.19,28.15,27.45,26.90,27.03,27.57,27.72,27.70
1992,27.78,27.96,28.50,28.99,28.92,28.03,27.37,26.70,26.76,27.23,27.63,27.52
1993,27.54,27.81,28.43,28.71,28.82,27.92,27.15,26.68,26.88,27.29,27.74,27.72
1994,27.79,27.80,28.37,28.89,28.74,27.67,26.94,26.70,26.80,27.55,27.65,27.69
1995,27.62,28.03,28.37,28.96,28.80,28.14,27.32,26.94,27.03,27.48,27.67,27.80
1996,27.78,28.03,28.68,29.03,28.73,27.99,27.14,26.65,26.87,27.06,27.58,27.65
1997,27.69,27.59,28.43,29.00,28.81,28.12,27.26,27.03,27.32,27.79,28.19,28.34
1998,28.52,28.66,29.25,29.68,29.47,28.48,27.34,27.03,27.08,27.39,27.56,27.67
1999,27.58,27.99,28.59,28.85,28.40,27.69,27.22,26.79,26.97,27.26,27.71,27.71
2000,27.77,27.81,28.29,28.76,28.66,27.78,27.27,26.95,27.15,27.58,27.83,27.90
2001,27.79,28.00,28.63,29.14,29.03,28.04,27.35,27.07,27.33,27.67,27.94,28.29
2002,28.21,28.15,28.80,29.29,28.89,28.23,27.49,27.03,27.38,27.78,27.97,28.24
2003,28.07,28.37,28.82,29.40,29.05,28.42,27.58,27.12,27.31,27.61,27.90,27.90
2004,28.15,28.23,28.64,29.28,28.71,27.81,27.05,26.84,27.04,27.54,27.76,27.98
2005,27.92,28.19,28.96,29.28,29.16,28.19,27.26,26.96,27.13,27.50,27.73,27.73
2006,27.68,28.01,28.53,28.97,28.93,28.09,27.28,27.05,27.13,27.66,28.08,28.09
2007,28.00,28.24,28.60,29.14,29.06,28.35,27.43,27.16,27.22,27.54,27.82,27.78
2008,27.94,27.76,28.15,28.70,28.58,27.95,27.25,26.96,27.37,27.82,27.95,27.87
2009,27.89,28.18,28.81,29.13,29.10,28.40,27.47,27.24,27.32,27.86,28.12,28.34
2010,28.26,28.63,29.25,29.69,29.35,28.39,27.58,27.18,27.27,27.67,27.91,27.82
2011,27.64,27.91,28.50,28.90,28.83,28.14,27.42,27.18,27.25,27.87,28.25,28.26
2012,28.04,28.11,28.45,29.15,29.03,28.11,27.43,27.27,27.32,27.83,28.10,28.25
2013,28.05,28.30,28.89,29.22,28.83,27.82,27.14,26.91,27.21,27.70,28.20,28.01
2014,27.95,28.12,28.66,29.28,29.19,28.34,27.44,27.14,27.34,27.91,28.16,28.19
2015,27.91,28.09,28.89,29.42,29.38,28.58,27.81,27.58,27.76,28.27,28.45,28.65
