year,1,2,3,4,5,6,7,8,9,10,11,12
1949,-0.4,0.1,-0.1,0.4,0.4,-1.0,-0.7,-0.5,-0.9,-0.9,-1.3,-1.4
1950,-1.3,-1.2,-0.6,-0.6,-0.9,-0.7,-0.4,-0.2,-0.4,-0.1,-0.7,-0.6
1951,0.0,0.0,0.2,0.1,0.2,0.7,1.2,1.1,1.0,1.1,0.9,0.6
1952,0.8,0.6,0.2,0.3,0.1,-0.5,-0.5,-0.2,0.0,0.1,-0.2,-0.1
1953,0.4,0.3,0.3,0.7,0.5,0.8,0.6,0.3,0.8,0.5,0.5,0.3
1954,0.4,0.1,0.1,-1.3,-1.0,-0.8,-0.6,-0.9,-0.9,-0.6,-0.7,-0.8
1955,-0.4,-0.4,-0.5,-0.8,-1.1,-0.7,-0.7,-0.6,-1.3,-1.4,-1.7,-1.0
1956,-0.7,-0.1,-0.2,-0.3,-0.4,0.1,-0.3,-0.2,-0.5,-0.4,-0.5,-0.7
1957,-0.6,-0.3,0.6,0.8,0.8,1.2,1.3,1.5,1.0,1.1,1.5,1.6
1958,1.5,1.1,0.8,0.5,0.3,0.2,0.2,0.3,0.2,0.1,0.2,0.1
1959,0.1,0.2,0.0,0.3,0.0,-0.1,-0.4,-0.4,0.0,0.3,0.2,0.0
1960,0.1,-0.2,0.3,0.0,0.0,-0.1,-0.1,0.2,0.3,-0.5,-0.2,-0.3
1961,-0.2,0.3,0.0,0.2,0.0,0.2,-0.5,-0.4,-0.8,-0.7,-0.1,0.1
1962,-0.1,0.0,-0.2,-0.5,-0.5,-0.2,-0.2,-0.1,-0.3,-0.1,-0.3,-0.8
1963,-0.3,-0.3,0.1,0.0,0.3,0.5,1.0,1.0,1.1,1.0,1.1,1.2
1964,0.7,0.3,-0.1,-0.8,-1.2,-1.2,-0.6,-1.1,-0.5,-0.6,-0.7,-1.1
1965,-0.6,-0.1,0.0,0.5,0.8,0.9,1.2,1.3,1.6,1.5,1.6,1.7
1966,1.3,0.7,0.2,0.1,-0.7,-0.1,0.2,-0.2,-0.2,0.0,-0.3,-0.6
1967,-0.4,-0.2,-0.6,-0.7,-0.1,0.2,-0.1,-0.7,-0.8,-0.7,-0.7,-0.7
1968,-0.9,-1.3,-1.0,-0.4,-0.6,0.3,0.4,0.3,0.5,0.4,0.7,0.9
1969,0.7,0.5,0.6,0.7,1.0,0.7,0.3,0.6,1.0,1.1,1.2,1.3
1970,1.0,0.3,0.3,0.3,-0.5,-1.2,-1.4,-1.2,-0.8,-0.6,-1.1,-0.9
1971,-1.1,-1.5,-0.7,-0.6,-0.5,-0.6,-0.4,-0.5,-0.5,-0.9,-0.6,-1.0
1972,-0.5,-0.2,0.1,0.6,0.6,1.1,1.6,2.1,2.0,2.3,2.6,2.7
1973,2.0,1.3,0.5,-0.2,-0.5,-0.7,-1.0,-1.0,-0.9,-1.0,-1.2,-1.4
1974,-1.5,-1.1,-0.5,-0.2,-0.2,0.2,-0.3,-0.1,0.0,-0.5,-0.2,-0.5
1975,-0.2,-0.4,-0.4,-0.1,-0.5,-0.9,-0.7,-0.5,-0.8,-0.9,-0.8,-1.2
