year,1,2,3,4,5,6,7,8,9,10,11,12
1949,-0.81,-0.56,-0.59,-0.70,-0.76,-0.40,-0.18,-0.30,-0.33,-0.36,-0.28,-0.11
1950,-0.38,0.01,0.04,-0.08,-0.23,-0.02,0.50,-0.82,-0.38,-0.50,-0.21,0.15
1951,0.03,-0.29,-0.25,0.18,0.19,-0.05,-0.29,-0.45,-0.22,0.11,0.59,0.01
1952,0.24,0.20,-0.07,-0.02,-0.38,0.25,0.16,-0.25,-0.14,0.06,0.15,-0.26
1953,0.03,0.33,0.08,0.01,0.06,-0.29,-0.37,-0.08,0.06,-0.11,-0.43,-0.38
1954,-0.18,0.10,0.02,0.00,0.07,0.05,0.29,0.62,0.38,0.11,0.04,-0.22
1955,-0.21,0.34,0.17,-0.39,-0.62,-0.24,-0.35,-0.23,0.48,-0.02,0.49,-0.14
1956,-0.20,0.10,-0.04,-0.08,0.05,-0.35,-0.18,0.00,-0.21,-0.21,-0.03,-0.05
1957,0.03,0.16,0.05,-0.11,0.20,0.11,0.09,0.06,-0.33,-0.14,0.10,-0.16
1958,-0.17,-0.23,-0.23,-0.15,-0.12,-0.30,-0.32,-0.22,-0.11,-0.28,-0.09,-0.12
1959,-0.32,-0.40,-0.45,-0.54,-0.49,-0.19,-0.12,-0.18,-0.26,-0.56,-0.28,-0.27
1960,-0.20,-0.15,-0.07,-0.40,0.00,0.15,0.28,0.18,0.16,0.15,0.39,-0.18
1961,0.06,0.33,0.13,0.24,0.03,0.22,0.10,0.06,-0.22,-0.14,-0.04,-0.02
1962,0.34,0.16,0.17,0.33,0.17,0.38,0.49,0.53,0.22,0.30,-0.26,0.04
1963,0.30,0.20,0.65,0.40,0.40,0.39,0.33,0.24,0.02,-0.20,0.14,0.67
1964,0.07,-0.14,0.11,0.32,0.30,0.16,0.11,0.08,0.16,0.21,-0.11,-0.09
1965,-0.02,-0.30,-0.12,0.03,-0.02,-0.26,-0.76,-0.39,-0.44,-0.57,-0.28,-0.29
1966,-0.64,-0.65,-0.47,-0.18,-0.23,0.04,0.18,0.23,0.10,0.31,0.08,0.05
1967,0.13,-0.01,-0.08,0.07,0.29,0.26,0.05,0.00,-0.03,-0.18,-0.57,-0.24
1968,0.20,0.09,-0.01,-0.08,0.19,0.66,0.68,0.52,0.28,0.36,-0.04,-0.07
1969,-0.04,-0.22,-0.03,0.12,0.10,0.07,-0.10,-0.09,0.17,0.32,0.15,0.27
1970,0.60,0.37,0.32,0.14,0.18,0.25,0.24,0.16,0.56,0.60,0.52,0.41
