year,1,2,3,4,5,6,7,8,9,10,11,12
1949,27.69,27.53,27.70,28.02,28.33,28.73,28.87,28.89,28.90,28.98,28.76,28.82
1950,28.02,28.01,28.24,28.52,28.72,29.02,29.45,28.30,28.74,28.74,28.76,29.00
1951,28.32,27.67,27.93,28.74,29.09,28.99,28.70,28.55,28.81,29.27,29.47,28.88
1952,28.54,28.10,28.08,28.56,28.57,29.30,29.14,28.69,28.86,29.28,29.12,28.63
1953,28.35,28.27,28.23,28.61,28.98,28.82,28.67,28.82,29.05,29.13,28.58,28.47
1954,28.15,28.07,28.15,28.60,28.96,29.08,29.25,29.49,29.35,29.34,28.98,28.61
1955,28.05,28.30,28.29,28.24,28.31,28.82,28.69,28.71,29.49,29.20,29.43,28.61
1956,28.05,28.12,28.12,28.46,28.93,28.69,28.85,28.93,28.89,29.01,28.99,28.70
1957,28.28,28.19,28.20,28.41,29.10,29.12,29.12,29.00,28.75,29.07,29.11,28.57
1958,28.10,27.86,27.95,28.40,28.78,28.74,28.74,28.71,28.94,28.95,28.99,28.62
1959,27.97,27.70,27.74,28.03,28.41,28.78,28.86,28.71,28.74,28.61,28.77,28.44
1960,28.01,27.91,28.06,28.09,28.83,29.04,29.20,29.01,29.13,29.24,29.40,28.51
1961,28.20,28.37,28.23,28.66,28.82,29.12,29.03,28.89,28.77,28.99,29.05,28.64
1962,28.47,28.23,28.27,28.76,28.96,29.34,29.46,29.38,29.21,29.43,28.84,28.70
1963,28.47,28.29,28.76,28.87,29.20,29.39,29.37,29.17,29.06,28.96,29.23,29.33
1964,28.27,27.98,28.31,28.84,29.15,29.21,29.19,29.04,29.21,29.34,29.01,28.66
1965,28.20,27.83,28.11,28.60,28.84,28.80,28.34,28.58,28.63,28.58,28.83,28.43
1966,27.55,27.45,27.73,28.39,28.63,29.06,29.18,29.15,29.09,29.36,29.14,28.69
1967,28.20,28.00,28.05,28.61,29.11,29.29,29.07,28.93,28.96,28.89,28.50,28.40
1968,28.27,28.09,28.09,28.47,29.05,29.75,29.72,29.45,29.27,29.40,28.95,28.55
1969,28.05,27.80,28.07,28.66,28.97,29.24,29.05,28.93,29.18,29.38,29.11,28.84
1970,28.67,28.34,28.41,28.69,29.05,29.42,29.39,29.17,29.56,29.68,29.48,28.98
1971,28.77,28.37,28.66,28.85,29.05,28.92,28.89,28.93,29.24,29.05,28.94,28.68
1972,28.53,28.19,28.28,28.50,29.00,28.88,28.79,28.51,28.66,28.94,29.03,28.53
1973,27.97,27.97,28.05,28.51,28.91,29.24,29.32,29.50,29.46,29.28,29.16,29.01
1974,28.62,28.50,28.21,28.49,28.93,28.90,29.06,29.03,29.14,29.38,28.98,28.58
