year,mon,value
1901,01, 1.0368
1901,02, 0.2910
1901,03, 0.7574
1901,04,-0.3044
1901,05,-0.7557
1901,06,-0.7682
1901,07,-0.5318
1901,08,-0.2585
1901,09,-0.3367
1901,10,-0.0515
1901,11,-0.5950
1901,12, 0.2833
1902,01, 0.3076
1902,02, 0.6060
1902,03, 0.5133
1902,04, 0.4246
1902,05, 0.4826
1902,06, 0.1076
1902,07, 1.8249
1902,08, 1.7755
1902,09, 0.5595
1902,10, 0.4733
1902,11, 0.2829
1902,12,-0.3005
1903,01,-0.1823
1903,02,-0.1804
1903,03, 0.0949
1903,04,-0.2754
1903,05, 0.1563
1903,06,-0.1761
1903,07, 0.2090
1903,08, 1.4572
1903,09, 0.3592
1903,10,-0.0095
1903,11, 0.1001
1903,12, 0.5499
1904,01, 0.7120
1904,02,-0.0458
1904,03, 0.1578
1904,04,-0.1916
1904,05,-0.2833
1904,06,-0.7879
1904,07,-1.1894
1904,08,-0.2928
1904,09, 1.2529
1904,10, 0.5868
1904,11, 0.3123
1904,12, 0.6500
1905,01, 0.8824
1905,02, 1.1217
1905,03, 2.1376
1905,04, 1.4154
1905,05, 1.4810
1905,06, 0.0764
1905,07, 0.7253
1905,08, 1.9181
1905,09, 0.9153
1905,10, 0.0388
1905,11, 0.2422
1905,12,-0.4337
1906,01, 0.3991
1906,02, 0.7249
1906,03, 0.4622
1906,04, 0.4351
1906,05, 1.1282
1906,06, 0.3865
1906,07, 0.3111
1906,08,-0.2802
1906,09, 0.1034
1906,10, 0.0026
1906,11, 0.1535
1906,12,-0.4584
1907,01,-0.5697
1907,02,-0.0352
1907,03,-0.2768
1907,04,-0.4408
1907,05,-0.3036
1907,06, 0.3595
1907,07, 0.7954
1907,08,-0.2197
1907,09,-0.5561
1907,10, 1.5290
1907,11, 0.7897
1907,12, 1.1428
1908,01, 1.0211
1908,02, 0.7888
1908,03, 0.6361
1908,04, 0.3498
1908,05,-0.1894
1908,06,-0.7473
