year,mon,value,dam1,dam2
1900,1,-4.3,8,1
1900,2,-3.6,8,1
1900,3,2.0,8,1
1900,4,8.9,8,1
1900,5,14.9,8,1
1900,6,17.5,8,1
1900,7,21.5,8,1
1900,8,24.0,8,1
1900,9,19.5,8,1
1900,10,12.1,8,1
1900,11,6.4,8,1
1900,12,0.9,8,1
1901,1,-2.3,8,1
1901,2,-2.8,8,1
1901,3,1.4,8,1
1901,4,9.6,8,1
1901,5,13.1,8,1
1901,6,18.5,8,1
1901,7,21.0,8,1
1901,8,22.7,8,1
1901,9,18.4,8,1
1901,10,13.4,8,1
1901,11,5.9,8,1
1901,12,0.5,8,1
1902,1,-3.4,8,1
1902,2,-0.7,8,1
1902,3,4.7,8,1
1902,4,7.7,8,1
1902,5,14.1,8,1
1902,6,17.9,8,1
1902,7,20.7,8,1
1902,8,21.6,8,1
1902,9,19.5,8,1
1902,10,11.8,8,1
1902,11,7.6,8,1
1902,12,3.3,8,1
1903,1,-0.5,8,1
1903,2,-3.1,8,1
1903,3,5.0,8,1
1903,4,10.5,8,1
1903,5,12.8,8,1
1903,6,17.4,8,1
1903,7,21.1,8,1
1903,8,22.6,8,1
1903,9,19.6,8,1
1903,10,11.8,8,1
1903,11,5.1,8,1
1903,12,0.1,8,1
1904,1,-2.4,8,1
1904,2,1.0,8,1
1904,3,2.3,8,1
1904,4,10.8,8,1
1904,5,12.9,8,1
1904,6,19.6,8,1
1904,7,23.0,8,1
1904,8,22.4,8,1
1904,9,17.1,8,1
1904,10,12.1,8,1
1904,11,4.7,8,1
1904,12,0.6,8,1
1905,1,-0.8,8,1
1905,2,-1.9,8,1
1905,3,1.4,8,1
1905,4,8.0,8,1
1905,5,14.4,8,1
1905,6,19.2,8,1
1905,7,22.6,8,1
1905,8,20.4,8,1
1905,9,18.8,8,1
1905,10,11.9,8,1
1905,11,5.7,8,1
1905,12,2.6,8,1
1906,1,-3.9,8,1
1906,2,-2.8,8,1
1906,3,1.8,8,1
1906,4,8.6,8,1
1906,5,13.5,8,1
1906,6,17.3,8,1
1906,7,22.3,8,1
1906,8,22.6,8,1
1906,9,16.7,8,1
1906,10,11.3,8,1
