Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.8,331.0,0.9,4.3,-1.8,89.0,-999.0,81.3,-999.0
1900,2,-999.0,1020.4,182.6,1.7,6.1,-1.7,83.0,-999.0,90.5,-999.0
1900,3,-999.0,1017.5,111.4,5.3,10.3,1.4,77.0,-999.0,147.4,-999.0
1900,4,-999.0,1016.5,138.8,11.8,17.0,6.9,77.0,-999.0,168.3,-999.0
1900,5,-999.0,1010.0,105.4,17.4,23.4,12.3,75.0,-999.0,229.7,-999.0
1900,6,-999.0,1011.5,118.1,19.8,25.3,14.8,76.0,-999.0,262.0,-999.0
1900,7,-999.0,1007.3,231.3,23.2,27.7,19.9,88.0,-999.0,173.1,-999.0
1900,8,-999.0,1009.6,107.6,26.9,32.2,22.9,79.0,-999.0,277.5,-999.0
1900,9,-999.0,1012.9,292.7,21.9,27.2,18.1,86.0,-999.0,166.2,-999.0
1900,10,-999.0,1018.9,169.3,15.5,21.5,10.8,84.0,-999.0,167.8,-999.0
1900,11,-999.0,1019.6,195.6,10.5,16.3,6.2,86.0,-999.0,151.8,-999.0
1900,12,-999.0,1020.4,313.6,4.8,9.2,1.6,86.0,-999.0,98.5,-999.0
1901,1,-999.0,1020.7,213.6,4.3,8.7,1.1,85.0,-999.0,103.3,-999.0
1901,2,-999.0,1014.4,234.2,1.6,5.7,-1.6,84.0,-999.0,89.3,-999.0
1901,3,-999.0,1019.7,136.5,5.3,10.7,0.6,77.0,-999.0,199.8,-999.0
1901,4,-999.0,1016.4,102.7,12.6,17.8,7.7,75.0,-999.0,208.9,-999.0
1901,5,-999.0,1012.1,64.6,15.6,21.5,10.7,76.0,-999.0,207.5,-999.0
1901,6,-999.0,1007.6,269.1,20.3,25.3,16.4,83.0,-999.0,150.5,-999.0
1901,7,-999.0,1007.7,180.6,23.1,27.9,19.8,86.0,-999.0,140.2,-999.0
1901,8,-999.0,1010.8,220.0,25.7,31.8,21.4,81.0,-999.0,257.4,-999.0
1901,9,-999.0,1011.5,88.7,21.3,27.6,16.8,83.0,-999.0,227.6,-999.0
1901,10,-999.0,1016.1,82.9,16.6,22.1,12.3,84.0,-999.0,131.4,-999.0
1901,11,-999.0,1018.5,240.7,9.4,14.5,5.5,85.0,-999.0,104.6,-999.0
1901,12,-999.0,1019.5,375.7,4.1,9.0,0.5,84.0,-999.0,89.3,-999.0
1902,1,-999.0,1019.1,191.7,1.5,5.6,-2.0,85.0,-999.0,65.6,-999.0
1902,2,-999.0,1022.3,183.6,2.4,7.3,-1.5,83.0,-999.0,108.2,-999.0
1902,3,-999.0,1017.7,151.0,7.7,12.7,3.3,79.0,-999.0,139.0,-999.0
1902,4,-999.0,1015.3,170.8,10.4,15.6,5.9,76.0,-999.0,147.6,-999.0
1902,5,-999.0,1011.9,207.5,16.5,21.9,11.9,76.0,-999.0,178.2,-999.0
1902,6,-999.0,1007.9,149.1,19.7,24.6,15.7,80.0,-999.0,166.8,-999.0
1902,7,-999.0,1007.9,423.4,22.3,27.2,18.9,84.0,-999.0,138.2,-999.0
1902,8,-999.0,1009.9,165.0,23.9,29.0,20.4,87.0,-999.0,170.8,-999.0
1902,9,-999.0,1010.0,185.5,22.0,27.2,18.3,83.0,-999.0,165.8,-999.0
1902,10,-999.0,1019.1,151.8,15.1,20.9,10.5,85.0,-999.0,185.9,-999.0
1902,11,-999.0,1021.2,161.3,11.1,16.9,6.5,85.0,-999.0,161.3,-999.0
1902,12,-999.0,1016.8,251.8,6.8,11.3,3.5,88.0,-999.0,82.0,-999.0
1903,1,-999.0,1018.7,248.3,4.2,8.4,0.8,86.0,-999.0,90.9,-999.0
1903,2,-999.0,1020.5,166.8,3.5,7.4,0.5,86.0,-999.0,81.5,-999.0
1903,3,-999.0,1018.4,174.2,8.0,12.8,3.9,81.0,-999.0,151.2,-999.0
1903,4,-999.0,1016.7,127.8,13.0,17.9,8.7,79.0,-999.0,155.2,-999.0
1903,5,-999.0,1014.0,192.8,14.9,20.2,10.1,79.0,-999.0,219.6,-999.0
1903,6,-999.0,1007.6,96.9,19.9,25.1,15.7,81.0,-999.0,213.9,-999.0
1903,7,-999.0,1008.7,314.4,23.1,28.0,19.7,87.0,-999.0,100.7,-999.0
1903,8,-999.0,1012.1,59.8,25.6,31.7,21.0,83.0,-999.0,255.9,-999.0
1903,9,-999.0,1013.3,174.7,22.9,28.7,19.0,87.0,-999.0,167.5,-999.0
1903,10,-999.0,1016.8,179.6,15.3,20.9,10.9,86.0,-999.0,146.6,-999.0
1903,11,-999.0,1019.5,270.9,8.8,14.1,5.0,88.0,-999.0,99.0,-999.0
1903,12,-999.0,1018.5,445.1,3.5,7.4,0.8,91.0,-999.0,46.7,-999.0
1904,1,-999.0,1020.7,302.7,0.8,4.5,-2.1,91.0,-999.0,49.5,-999.0
1904,2,-999.0,1020.3,113.7,3.3,8.4,-0.6,85.0,-999.0,108.4,-999.0
1904,3,-999.0,1018.4,133.2,5.7,10.2,2.2,82.0,-999.0,125.6,-999.0
1904,4,-999.0,1017.6,259.3,12.8,18.3,8.5,82.0,-999.0,147.6,-999.0
1904,5,-999.0,1011.7,277.4,15.8,21.1,11.3,80.0,-999.0,183.5,-999.0
1904,6,-999.0,1009.9,149.5,21.6,27.1,17.7,83.0,-999.0,178.6,-999.0
1904,7,-999.0,1009.1,238.2,25.1,30.0,21.5,85.0,-999.0,168.6,-999.0
1904,8,-999.0,1009.9,75.1,25.7,31.9,21.1,83.0,-999.0,266.3,-999.0
1904,9,-999.0,1011.1,302.6,20.3,25.8,16.2,88.0,-999.0,145.9,-999.0
1904,10,-999.0,1016.9,171.9,15.1,20.2,11.5,89.0,-999.0,101.6,-999.0
1904,11,-999.0,1017.7,373.0,8.0,13.6,4.1,90.0,-999.0,68.0,-999.0
1904,12,-999.0,1019.2,263.8,5.3,10.2,2.0,90.0,-999.0,62.5,-999.0
1905,1,-999.0,1017.3,169.9,4.5,8.9,1.1,89.0,-999.0,65.1,-999.0
1905,2,-999.0,1017.5,211.9,1.4,5.2,-1.6,87.0,-999.0,50.1,-999.0
1905,3,-999.0,1021.6,92.6,6.2,11.1,2.0,78.0,-999.0,153.9,-999.0
1905,4,-999.0,1016.3,138.0,10.4,15.9,5.5,79.0,-999.0,115.7,-999.0
1905,5,-999.0,1013.5,135.0,16.4,22.0,11.7,76.0,-999.0,131.0,-999.0
1905,6,-999.0,1008.0,311.0,20.7,25.5,17.1,86.0,-999.0,105.9,-999.0
1905,7,-999.0,1009.1,218.2,25.1,30.2,21.6,83.0,-999.0,213.9,-999.0
1905,8,-999.0,1009.3,288.3,23.5,28.1,20.3,87.0,-999.0,127.9,-999.0
1905,9,-999.0,1014.7,75.3,21.6,27.1,17.6,83.0,-999.0,134.6,-999.0
1905,10,-999.0,1017.6,202.9,15.7,21.7,10.8,84.0,-999.0,163.7,-999.0
1905,11,-999.0,1021.5,148.0,9.6,15.2,5.1,84.0,-999.0,127.3,-999.0
1905,12,-999.0,1019.7,313.7,6.1,9.7,3.2,91.0,-999.0,51.9,-999.0
1906,1,-999.0,1020.5,323.1,1.2,5.4,-2.3,89.0,-999.0,66.7,-999.0
1906,2,-999.0,1016.5,236.8,1.8,5.4,-0.9,87.0,-999.0,67.5,-999.0
1906,3,-999.0,1016.9,128.1,6.5,11.7,2.2,77.0,-999.0,147.5,-999.0
