Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.1,132.5,2.1,5.3,-0.4,79.0,2.9,97.1,-999.0
1900,2,-999.0,1020.5,67.4,2.9,6.6,-0.3,75.0,3.0,131.8,-999.0
1900,3,-999.0,1018.0,123.3,5.3,9.6,1.8,74.0,2.6,165.9,-999.0
1900,4,-999.0,1017.3,198.4,11.2,15.9,6.9,79.0,1.9,155.3,-999.0
1900,5,-999.0,1010.9,90.6,16.9,22.2,12.2,74.0,1.8,214.0,-999.0
1900,6,-999.0,1011.7,83.4,19.6,24.8,14.8,74.0,1.6,234.0,-999.0
1900,7,-999.0,1007.7,212.5,23.6,27.5,20.2,82.0,1.3,166.4,-999.0
1900,8,-999.0,1010.3,71.4,26.3,31.0,22.6,81.0,1.6,239.7,-999.0
1900,9,-999.0,1012.9,259.8,22.6,27.1,18.9,83.0,1.6,165.7,-999.0
1900,10,-999.0,1019.3,150.3,15.8,20.6,11.1,81.0,1.7,178.2,-999.0
1900,11,-999.0,1019.9,124.6,10.8,15.7,6.2,81.0,2.0,142.5,-999.0
1900,12,-999.0,1021.1,68.7,5.5,9.4,1.6,74.0,2.5,128.3,-999.0
1901,1,-999.0,1021.1,120.2,4.7,8.2,1.5,81.0,2.1,99.7,-999.0
1901,2,-999.0,1015.2,113.6,2.2,6.3,-1.2,76.0,2.7,139.4,-999.0
1901,3,-999.0,1020.4,94.5,5.5,10.3,1.1,72.0,2.6,206.9,-999.0
1901,4,-999.0,1017.1,113.3,12.3,17.2,7.8,76.0,1.9,159.3,-999.0
1901,5,-999.0,1012.5,68.4,15.2,20.5,10.4,77.0,1.6,194.8,-999.0
1901,6,-999.0,1008.4,239.6,20.2,24.5,16.1,82.0,1.3,153.2,-999.0
1901,7,-999.0,1008.3,188.5,23.0,27.2,19.7,85.0,1.1,197.3,-999.0
1901,8,-999.0,1011.5,178.8,25.7,30.8,21.5,80.0,1.3,271.5,-999.0
1901,9,-999.0,1011.9,66.3,22.1,27.2,18.0,77.0,1.9,243.8,-999.0
1901,10,-999.0,1016.4,155.6,17.3,21.6,13.0,81.0,2.0,153.4,-999.0
1901,11,-999.0,1019.1,103.9,10.0,14.5,5.7,79.0,2.2,151.6,-999.0
1901,12,-999.0,1020.1,62.5,4.6,9.3,0.3,75.0,2.7,159.2,-999.0
1902,1,-999.0,1019.7,110.3,2.4,6.3,-1.4,79.0,2.8,117.8,-999.0
1902,2,-999.0,1022.7,36.1,2.9,7.2,-0.8,75.0,2.7,168.2,-999.0
1902,3,-999.0,1018.3,142.8,7.4,11.7,3.4,79.0,2.5,160.0,-999.0
1902,4,-999.0,1015.9,151.2,10.0,14.5,5.8,76.0,2.2,162.1,-999.0
