Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1022.1,168.4,5.8,9.4,2.7,67.0,-999.0,122.7,-999.0
1900,2,-999.0,1021.2,50.0,7.3,11.6,3.5,66.0,-999.0,158.7,-999.0
1900,3,-999.0,1018.5,177.5,9.7,14.1,6.1,68.0,-999.0,165.2,-999.0
1900,4,-999.0,1015.1,211.3,16.1,19.9,13.1,77.0,-999.0,119.6,-999.0
1900,5,-999.0,1011.1,198.4,18.3,22.5,14.9,79.0,-999.0,206.6,-999.0
1900,6,-999.0,1010.8,170.3,21.3,24.6,18.5,81.0,-999.0,144.9,-999.0
1900,7,-999.0,1008.8,216.0,24.9,28.0,22.2,88.0,-999.0,155.8,-999.0
1900,8,-999.0,1008.1,195.9,26.9,31.1,23.8,79.0,-999.0,276.9,-999.0
1900,9,-999.0,1011.5,259.5,24.7,28.1,22.2,80.0,-999.0,181.4,-999.0
1900,10,-999.0,1018.1,142.7,19.3,23.5,16.1,73.0,-999.0,177.8,-999.0
1900,11,-999.0,1019.2,107.0,14.8,19.0,11.4,74.0,-999.0,145.6,-999.0
1900,12,-999.0,1022.4,26.5,9.4,13.7,6.0,71.0,-999.0,153.0,-999.0
1901,1,-999.0,1020.8,138.6,9.6,13.5,6.2,74.0,-999.0,120.2,-999.0
1901,2,-999.0,1019.3,72.8,4.1,8.1,0.7,70.0,-999.0,127.0,-999.0
1901,3,-999.0,1020.9,152.9,9.4,14.3,5.4,70.0,-999.0,218.4,-999.0
1901,4,-999.0,1013.9,296.1,15.7,20.2,12.5,78.0,-999.0,147.5,-999.0
1901,5,-999.0,1011.9,65.4,17.9,22.3,14.2,73.0,-999.0,175.1,-999.0
1901,6,-999.0,1007.1,603.5,21.1,24.5,18.6,86.0,-999.0,80.8,-999.0
1901,7,-999.0,1008.1,980.5,23.9,26.9,21.6,91.0,-999.0,107.8,-999.0
1901,8,-999.0,1010.8,85.2,26.6,30.7,23.5,79.0,-999.0,289.9,-999.0
1901,9,-999.0,1010.7,77.0,23.0,27.3,20.1,76.0,-999.0,188.3,-999.0
1901,10,-999.0,1013.9,190.3,19.8,23.7,17.0,76.0,-999.0,155.1,-999.0
1901,11,-999.0,1020.4,28.6,13.0,18.0,9.3,69.0,-999.0,189.1,-999.0
1901,12,-999.0,1021.9,44.6,8.4,13.3,4.4,68.0,-999.0,157.3,-999.0
1902,1,-999.0,1021.3,44.4,7.7,12.2,3.8,68.0,-999.0,168.6,-999.0
1902,2,-999.0,1024.5,27.2,6.7,11.9,2.8,68.0,-999.0,161.8,-999.0
1902,3,-999.0,1017.9,124.6,12.5,17.4,8.5,75.0,-999.0,179.3,-999.0
1902,4,-999.0,1016.0,403.9,14.4,18.3,11.0,78.0,-999.0,108.7,-999.0
1902,5,-999.0,1011.6,456.0,18.7,22.8,15.5,81.0,-999.0,150.3,-999.0
1902,6,-999.0,1007.1,449.9,21.5,25.3,18.4,81.0,-999.0,114.9,-999.0
1902,7,-999.0,1009.6,426.3,24.5,28.4,21.5,84.0,-999.0,177.1,-999.0
1902,8,-999.0,1008.8,214.6,26.0,29.9,23.1,81.0,-999.0,212.2,-999.0
1902,9,-999.0,1009.3,241.8,22.8,26.7,19.9,79.0,-999.0,153.0,-999.0
1902,10,-999.0,1018.4,139.3,18.6,23.5,15.0,73.0,-999.0,216.3,-999.0
1902,11,-999.0,1020.4,158.9,16.0,20.6,13.0,74.0,-999.0,174.2,-999.0
1902,12,-999.0,1018.1,104.0,11.6,15.6,8.3,74.0,-999.0,131.3,-999.0
1903,1,-999.0,1021.1,112.6,8.0,12.0,4.7,79.0,-999.0,125.0,-999.0
1903,2,-999.0,1022.4,71.8,7.9,12.4,3.8,78.0,-999.0,138.5,-999.0
1903,3,-999.0,1016.1,218.0,13.1,16.8,9.8,80.0,-999.0,92.5,-999.0
1903,4,-999.0,1015.9,336.0,15.8,20.0,12.6,77.0,-999.0,137.3,-999.0
1903,5,-999.0,1014.4,271.4,17.8,22.1,14.5,78.0,-999.0,167.7,-999.0
1903,6,-999.0,1008.0,208.7,20.5,24.0,17.6,85.0,-999.0,129.7,-999.0
1903,7,-999.0,1009.3,473.9,23.8,26.9,21.7,90.0,-999.0,99.4,-999.0
1903,8,-999.0,1012.8,51.6,27.1,31.7,23.7,81.0,-999.0,284.4,-999.0
1903,9,-999.0,1012.5,68.2,24.6,29.2,21.5,79.0,-999.0,200.7,-999.0
1903,10,-999.0,1015.3,177.6,19.1,23.3,15.8,75.0,-999.0,152.0,-999.0
1903,11,-999.0,1020.1,77.2,13.0,17.6,9.0,70.0,-999.0,165.7,-999.0
1903,12,-999.0,1021.7,99.9,7.6,12.4,3.9,72.0,-999.0,137.5,-999.0
1904,1,-999.0,1024.0,19.8,6.1,11.1,2.1,67.0,-999.0,144.7,-999.0
1904,2,-999.0,1020.8,37.9,8.8,14.0,4.5,70.0,-999.0,130.1,-999.0
1904,3,-999.0,1016.7,152.3,10.9,15.5,7.3,74.0,-999.0,137.5,-999.0
1904,4,-999.0,1016.9,227.5,16.6,20.6,13.2,82.0,-999.0,110.9,-999.0
1904,5,-999.0,1012.1,75.6,18.4,23.1,14.4,85.0,-999.0,150.0,-999.0
1904,6,-999.0,1010.5,513.8,22.0,25.6,19.2,86.0,-999.0,111.5,-999.0
1904,7,-999.0,1008.5,78.3,26.2,30.7,22.9,79.0,-999.0,294.7,-999.0
1904,8,-999.0,1008.3,29.9,26.4,30.7,23.3,74.0,-999.0,230.3,-999.0
1904,9,-999.0,1011.1,60.5,23.3,28.6,19.5,72.0,-999.0,221.9,-999.0
1904,10,-999.0,1016.4,199.2,18.8,24.4,14.8,71.0,-999.0,191.4,-999.0
1904,11,-999.0,1020.8,40.2,11.9,17.9,7.5,69.0,-999.0,174.4,-999.0
1904,12,-999.0,1022.1,43.8,9.1,14.6,5.0,73.0,-999.0,180.3,-999.0
1905,1,-999.0,1017.9,105.7,9.9,14.4,6.1,73.0,-999.0,125.5,-999.0
1905,2,-999.0,1018.7,90.3,6.3,10.5,2.9,72.0,-999.0,92.9,-999.0
1905,3,-999.0,1018.5,265.9,10.9,14.6,8.0,79.0,-999.0,82.2,-999.0
1905,4,-999.0,1015.1,225.3,14.8,19.2,11.3,76.0,-999.0,142.6,-999.0
1905,5,-999.0,1014.0,469.7,18.9,23.2,15.5,79.0,-999.0,146.4,-999.0
1905,6,-999.0,1007.3,565.8,22.3,25.7,19.5,88.0,-999.0,105.0,-999.0
1905,7,-999.0,1009.3,350.7,25.8,29.5,23.2,86.0,-999.0,181.1,-999.0
1905,8,-999.0,1009.5,758.9,25.2,28.5,22.7,86.0,-999.0,155.4,-999.0
1905,9,-999.0,1014.4,367.5,23.3,27.5,20.5,82.0,-999.0,164.9,-999.0
1905,10,-999.0,1017.1,98.1,19.0,24.0,15.3,73.0,-999.0,162.7,-999.0
1905,11,-999.0,1021.2,134.6,14.5,19.3,10.4,68.0,-999.0,198.4,-999.0
1905,12,-999.0,1020.3,118.1,11.9,15.6,8.7,74.0,-999.0,109.8,-999.0
1906,1,-999.0,1022.4,114.5,6.6,10.4,3.0,64.0,-999.0,134.3,-999.0
1906,2,-999.0,1016.4,187.9,7.2,10.2,4.5,71.0,-999.0,69.4,-999.0
1906,3,-999.0,1018.5,152.3,10.1,14.4,6.2,70.0,-999.0,161.3,-999.0
1906,4,-999.0,1015.9,144.2,15.0,19.4,11.0,67.0,-999.0,169.9,-999.0
1906,5,-999.0,1011.9,394.1,18.8,22.3,16.0,81.0,-999.0,103.7,-999.0
1906,6,-999.0,1008.3,646.3,22.4,26.1,19.5,83.0,-999.0,125.1,-999.0
