Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.8,215.1,1.1,4.8,-1.8,82.0,-999.0,52.1,-999.0
1900,2,-999.0,1020.1,155.7,2.2,6.1,-1.7,79.0,-999.0,58.7,-999.0
1900,3,-999.0,1017.3,129.5,5.0,9.5,0.5,76.0,-999.0,99.2,-999.0
1900,4,-999.0,1016.7,170.3,11.1,16.0,5.9,75.0,-999.0,169.8,-999.0
1900,5,-999.0,1010.0,119.6,16.4,21.6,11.2,76.0,-999.0,183.7,-999.0
1900,6,-999.0,1011.6,67.0,19.1,24.2,13.7,77.0,-999.0,166.5,-999.0
1900,7,-999.0,1007.5,291.3,22.5,26.7,18.3,89.0,-999.0,126.0,-999.0
1900,8,-999.0,1009.7,84.0,26.2,31.5,21.8,79.0,-999.0,175.7,-999.0
1900,9,-999.0,1013.3,326.9,21.8,27.4,17.6,80.0,-999.0,156.8,-999.0
1900,10,-999.0,1019.1,216.0,15.6,21.6,10.8,80.0,-999.0,172.5,-999.0
1900,11,-999.0,1019.9,358.7,10.6,15.8,5.9,80.0,-999.0,123.4,-999.0
1900,12,-999.0,1020.1,346.1,5.0,9.5,1.5,80.0,-999.0,63.6,-999.0
1901,1,-999.0,1020.9,275.5,4.2,8.7,0.6,81.0,-999.0,48.7,-999.0
1901,2,-999.0,1014.1,243.7,1.7,5.6,-1.8,80.0,-999.0,51.6,-999.0
1901,3,-999.0,1019.9,154.2,5.0,10.1,0.1,71.0,-999.0,136.0,-999.0
1901,4,-999.0,1016.7,84.3,11.9,17.4,6.3,73.0,-999.0,165.0,-999.0
1901,5,-999.0,1012.0,72.1,15.2,20.0,10.4,75.0,-999.0,176.6,-999.0
1901,6,-999.0,1007.6,199.0,19.8,24.4,15.6,80.0,-999.0,135.5,-999.0
1901,7,-999.0,1007.6,274.9,22.3,26.2,18.6,86.0,-999.0,139.9,-999.0
1901,8,-999.0,1010.8,174.2,25.4,30.2,20.9,77.0,-999.0,225.5,-999.0
1901,9,-999.0,1011.5,188.4,21.5,26.9,16.8,77.0,-999.0,217.7,-999.0
1901,10,-999.0,1016.4,156.6,16.6,21.5,12.5,81.0,-999.0,118.7,-999.0
1901,11,-999.0,1018.0,314.1,9.5,14.0,5.2,79.0,-999.0,111.9,-999.0
1901,12,-999.0,1018.7,421.0,4.4,8.7,0.6,79.0,-999.0,79.2,-999.0
1902,1,-999.0,1018.7,210.9,1.9,6.2,-1.9,79.0,-999.0,70.7,-999.0
1902,2,-999.0,1021.9,188.6,2.2,6.9,-1.9,78.0,-999.0,88.4,-999.0
1902,3,-999.0,1017.6,154.2,7.3,12.9,2.2,75.0,-999.0,120.4,-999.0
1902,4,-999.0,1015.1,195.3,10.1,15.0,5.1,75.0,-999.0,150.3,-999.0
1902,5,-999.0,1011.7,182.9,16.0,21.3,11.0,74.0,-999.0,207.2,-999.0
1902,6,-999.0,1008.0,145.4,19.2,23.7,14.6,79.0,-999.0,214.8,-999.0
1902,7,-999.0,1007.7,301.6,21.9,26.6,18.5,85.0,-999.0,162.5,-999.0
1902,8,-999.0,1009.9,243.5,23.8,28.4,20.7,84.0,-999.0,154.0,-999.0
