Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.8,67.9,4.6,10.4,0.3,63.0,-999.0,157.1,-999.0
1900,2,-999.0,1020.1,33.4,6.1,12.0,1.5,62.0,-999.0,193.0,-999.0
1900,3,-999.0,1017.2,122.1,8.6,14.7,3.7,66.0,-999.0,212.2,-999.0
1900,4,-999.0,1015.6,453.7,15.1,20.4,10.7,77.0,-999.0,157.8,-999.0
1900,5,-999.0,1010.4,332.8,18.4,23.9,13.7,75.0,-999.0,214.7,-999.0
1900,6,-999.0,1011.3,183.6,21.0,26.0,16.8,80.0,-999.0,186.8,-999.0
1900,7,-999.0,1007.9,331.8,24.4,28.7,21.0,87.0,-999.0,162.7,-999.0
1900,8,-999.0,1009.6,443.3,26.5,30.9,23.2,84.0,-999.0,185.0,-999.0
1900,9,-999.0,1012.1,661.1,24.2,29.0,20.7,82.0,-999.0,164.6,-999.0
1900,10,-999.0,1018.1,315.9,18.1,24.0,13.5,77.0,-999.0,172.4,-999.0
1900,11,-999.0,1018.8,84.2,13.4,20.0,8.9,74.0,-999.0,163.2,-999.0
1900,12,-999.0,1020.8,26.7,7.6,14.3,2.7,68.0,-999.0,190.8,-999.0
1901,1,-999.0,1019.9,87.8,7.8,14.1,3.1,70.0,-999.0,175.6,-999.0
1901,2,-999.0,1016.1,21.5,3.7,9.9,-1.0,62.0,-999.0,192.7,-999.0
1901,3,-999.0,1019.7,93.3,8.4,14.6,3.2,63.0,-999.0,220.3,-999.0
1901,4,-999.0,1015.1,477.9,15.2,20.2,11.1,79.0,-999.0,160.9,-999.0
1901,5,-999.0,1011.6,105.9,17.7,23.4,12.9,74.0,-999.0,188.9,-999.0
1901,6,-999.0,1007.6,400.0,21.3,25.4,18.2,87.0,-999.0,112.5,-999.0
1901,7,-999.0,1008.0,453.2,23.5,27.3,20.8,90.0,-999.0,123.2,-999.0
1901,8,-999.0,1011.1,126.8,25.9,31.2,21.9,83.0,-999.0,260.7,-999.0
1901,9,-999.0,1010.9,279.2,22.5,28.1,18.3,78.0,-999.0,195.8,-999.0
1901,10,-999.0,1014.7,326.6,19.0,24.0,15.3,79.0,-999.0,133.5,-999.0
1901,11,-999.0,1018.8,59.9,11.6,18.6,6.7,72.0,-999.0,205.0,-999.0
1901,12,-999.0,1020.3,170.8,6.0,13.0,0.8,69.0,-999.0,225.8,-999.0
1902,1,-999.0,1019.6,43.2,4.9,12.0,-0.3,66.0,-999.0,216.4,-999.0
1902,2,-999.0,1022.5,9.7,5.5,12.4,0.1,64.0,-999.0,226.0,-999.0
1902,3,-999.0,1016.9,218.2,11.6,17.3,6.7,72.0,-999.0,210.7,-999.0
1902,4,-999.0,1015.2,315.4,13.1,18.3,8.5,78.0,-999.0,168.3,-999.0
1902,5,-999.0,1011.7,546.6,18.2,23.2,14.3,80.0,-999.0,149.3,-999.0
1902,6,-999.0,1007.3,391.5,21.2,25.8,17.6,87.0,-999.0,162.1,-999.0
1902,7,-999.0,1008.3,351.4,23.9,28.3,20.7,89.0,-999.0,197.6,-999.0
1902,8,-999.0,1009.2,606.7,25.0,29.6,22.1,90.0,-999.0,133.9,-999.0
1902,9,-999.0,1009.5,248.4,22.6,27.4,19.3,86.0,-999.0,156.2,-999.0
1902,10,-999.0,1018.0,304.6,17.5,23.3,13.3,78.0,-999.0,213.0,-999.0
1902,11,-999.0,1020.0,142.1,14.4,20.6,9.9,79.0,-999.0,181.5,-999.0
1902,12,-999.0,1016.7,176.0,9.6,15.6,5.1,72.0,-999.0,174.9,-999.0
1903,1,-999.0,1019.1,78.7,6.6,12.6,2.3,73.0,-999.0,174.0,-999.0
1903,2,-999.0,1020.5,63.7,6.6,12.3,2.0,66.0,-999.0,189.8,-999.0
1903,3,-999.0,1016.7,424.2,11.8,16.4,7.8,78.0,-999.0,151.5,-999.0
1903,4,-999.0,1016.1,359.9,15.3,20.4,11.3,79.0,-999.0,157.2,-999.0
1903,5,-999.0,1013.9,578.4,17.3,22.8,12.8,76.0,-999.0,218.3,-999.0
1903,6,-999.0,1007.6,166.5,20.9,26.0,17.0,81.0,-999.0,165.8,-999.0
1903,7,-999.0,1009.2,769.1,23.6,27.0,21.0,90.0,-999.0,117.8,-999.0
1903,8,-999.0,1012.1,36.8,26.6,32.2,22.6,81.0,-999.0,281.1,-999.0
1903,9,-999.0,1012.8,243.8,23.8,29.3,20.3,83.0,-999.0,182.4,-999.0
1903,10,-999.0,1015.5,179.7,18.0,23.5,14.0,77.0,-999.0,166.3,-999.0
1903,11,-999.0,1019.2,162.6,11.4,17.6,6.6,73.0,-999.0,189.1,-999.0
1903,12,-999.0,1019.7,67.8,5.7,12.1,1.1,71.0,-999.0,199.8,-999.0
1904,1,-999.0,1021.5,21.8,4.3,10.8,-0.6,66.0,-999.0,185.5,-999.0
1904,2,-999.0,1019.5,62.3,7.5,14.0,2.3,66.0,-999.0,181.1,-999.0
1904,3,-999.0,1016.7,187.5,9.7,15.4,5.2,70.0,-999.0,162.3,-999.0
1904,4,-999.0,1017.1,245.5,15.7,20.6,11.5,80.0,-999.0,150.4,-999.0
1904,5,-999.0,1011.7,167.4,18.0,23.0,13.7,78.0,-999.0,182.6,-999.0
1904,6,-999.0,1010.5,424.2,21.8,26.0,18.4,87.0,-999.0,145.1,-999.0
1904,7,-999.0,1008.8,221.7,26.2,31.1,22.3,81.0,-999.0,235.2,-999.0
1904,8,-999.0,1009.2,153.2,26.0,31.4,21.7,78.0,-999.0,269.1,-999.0
1904,9,-999.0,1010.4,70.2,22.5,28.0,18.3,75.0,-999.0,187.7,-999.0
1904,10,-999.0,1016.0,183.5,17.4,23.0,13.2,78.0,-999.0,186.4,-999.0
1904,11,-999.0,1018.8,32.2,10.4,17.3,5.1,71.0,-999.0,207.7,-999.0
1904,12,-999.0,1019.7,29.5,7.8,14.9,2.9,69.0,-999.0,211.8,-999.0
1905,1,-999.0,1016.8,60.4,7.5,13.8,3.0,70.0,-999.0,171.1,-999.0
1905,2,-999.0,1017.2,56.0,5.0,10.8,0.5,64.0,-999.0,167.8,-999.0
1905,3,-999.0,1019.5,295.8,9.7,14.5,6.0,75.0,-999.0,115.8,-999.0
1905,4,-999.0,1015.1,225.4,14.2,19.8,9.5,74.0,-999.0,160.0,-999.0
1905,5,-999.0,1014.0,255.9,18.2,23.0,13.8,78.0,-999.0,165.4,-999.0
1905,6,-999.0,1007.7,739.1,22.4,26.2,19.6,88.0,-999.0,94.2,-999.0
1905,7,-999.0,1009.6,353.1,25.9,30.4,22.6,85.0,-999.0,171.3,-999.0
1905,8,-999.0,1009.6,455.3,24.8,29.6,21.5,86.0,-999.0,144.0,-999.0
1905,9,-999.0,1014.3,359.0,23.1,28.2,19.4,81.0,-999.0,162.4,-999.0
1905,10,-999.0,1016.8,241.1,18.0,24.4,13.8,78.0,-999.0,163.7,-999.0
1905,11,-999.0,1020.7,81.6,12.9,19.5,8.2,74.0,-999.0,190.7,-999.0
1905,12,-999.0,1019.3,122.1,10.1,16.0,6.0,74.0,-999.0,159.7,-999.0
1906,1,-999.0,1020.8,109.0,4.7,11.2,0.0,65.0,-999.0,200.6,-999.0
1906,2,-999.0,1015.6,195.1,6.2,11.8,2.4,66.0,-999.0,133.1,-999.0
1906,3,-999.0,1016.9,154.4,9.4,15.7,4.4,66.0,-999.0,209.6,-999.0
1906,4,-999.0,1014.9,145.0,14.3,20.7,8.8,69.0,-999.0,232.6,-999.0
1906,5,-999.0,1012.7,273.1,18.1,22.6,14.4,81.0,-999.0,130.1,-999.0
1906,6,-999.0,1008.5,410.9,21.2,25.2,18.1,86.0,-999.0,110.1,-999.0
1906,7,-999.0,1004.0,430.2,25.4,30.1,21.8,82.0,-999.0,169.6,-999.0
1906,8,-999.0,1008.4,129.1,26.3,31.6,22.6,83.0,-999.0,205.6,-999.0
1906,9,-999.0,1012.7,214.5,23.1,28.3,19.4,82.0,-999.0,144.8,-999.0
1906,10,-999.0,1016.5,223.4,17.3,23.0,13.2,76.0,-999.0,167.2,-999.0
1906,11,-999.0,1020.4,87.9,11.8,18.3,7.4,71.0,-999.0,171.2,-999.0
1906,12,-999.0,1018.3,56.6,6.9,13.7,2.1,68.0,-999.0,192.5,-999.0
1907,1,-999.0,1019.5,92.3,7.1,13.6,2.4,68.0,-999.0,188.7,-999.0
1907,2,-999.0,1018.7,48.6,4.1,10.4,-0.7,63.0,-999.0,169.7,-999.0
1907,3,-999.0,1017.2,169.0,9.0,15.1,4.2,68.0,-999.0,182.3,-999.0
1907,4,-999.0,1015.9,380.5,14.4,20.2,9.6,69.0,-999.0,191.0,-999.0
1907,5,-999.0,1010.4,218.6,17.9,24.1,12.6,69.0,-999.0,233.9,-999.0
1907,6,-999.0,1008.8,289.8,20.8,25.6,16.9,80.0,-999.0,163.0,-999.0
1907,7,-999.0,1007.5,340.2,24.4,29.0,21.4,86.0,-999.0,135.0,-999.0
1907,8,-999.0,1006.0,95.7,26.5,32.3,22.3,79.0,-999.0,226.5,-999.0
1907,9,-999.0,1010.4,547.0,23.1,28.2,19.4,80.0,-999.0,161.1,-999.0
1907,10,-999.0,1016.5,141.1,17.9,23.9,13.9,77.0,-999.0,137.7,-999.0
1907,11,-999.0,1019.5,180.0,13.3,19.2,9.3,78.0,-999.0,133.5,-999.0
1907,12,-999.0,1020.5,13.7,6.3,13.2,1.4,66.0,-999.0,168.3,-999.0
1908,1,-999.0,1021.7,26.4,6.7,13.3,1.9,67.0,-999.0,173.6,-999.0
1908,2,-999.0,1018.9,34.5,5.9,12.5,0.7,62.0,-999.0,179.7,-999.0
1908,3,-999.0,1018.4,195.8,9.3,14.8,4.7,69.0,-999.0,181.7,-999.0
1908,4,-999.0,1015.7,321.9,15.4,20.5,11.2,76.0,-999.0,189.3,-999.0
1908,5,-999.0,1012.1,232.6,18.0,23.8,12.9,74.0,-999.0,231.4,-999.0
1908,6,-999.0,1008.9,379.9,22.0,26.9,18.2,81.0,-999.0,170.0,-999.0
1908,7,-999.0,1008.4,234.0,24.1,28.5,20.7,85.0,-999.0,173.8,-999.0
1908,8,-999.0,1009.7,833.2,25.4,30.2,22.1,86.0,-999.0,166.4,-999.0
1908,9,-999.0,1012.4,174.4,21.7,27.1,18.1,81.0,-999.0,120.2,-999.0
1908,10,-999.0,1015.9,221.2,18.0,24.8,13.5,75.0,-999.0,180.5,-999.0
1908,11,-999.0,1017.9,40.3,10.6,17.6,5.6,71.0,-999.0,178.3,-999.0
1908,12,-999.0,1020.3,147.3,8.3,15.0,3.4,66.0,-999.0,177.4,-999.0
1909,1,-999.0,1019.3,81.4,5.9,11.3,2.0,66.0,-999.0,140.0,-999.0
1909,2,-999.0,1017.9,78.9,4.7,10.6,0.2,63.0,-999.0,154.0,-999.0
1909,3,-999.0,1018.3,194.9,8.9,14.5,4.5,65.0,-999.0,188.2,-999.0
1909,4,-999.0,1014.0,200.8,14.7,20.5,9.7,71.0,-999.0,198.4,-999.0
1909,5,-999.0,1012.4,128.4,17.8,23.7,12.7,74.0,-999.0,245.8,-999.0
1909,6,-999.0,1008.1,335.9,21.9,25.8,19.0,87.0,-999.0,85.7,-999.0
1909,7,-999.0,1012.1,188.3,25.3,30.0,21.4,84.0,-999.0,199.8,-999.0
1909,8,-999.0,1006.8,280.8,26.0,30.9,22.5,83.0,-999.0,170.8,-999.0
1909,9,-999.0,1010.9,564.3,24.2,29.2,20.8,84.0,-999.0,116.4,-999.0
1909,10,-999.0,1016.8,87.0,16.7,23.1,12.5,74.0,-999.0,161.7,-999.0
1909,11,-999.0,1018.8,246.1,11.9,19.1,7.1,74.0,-999.0,163.0,-999.0
1909,12,-999.0,1021.2,22.7,6.6,13.8,1.8,69.0,-999.0,183.8,-999.0
1910,1,-999.0,1017.1,165.4,7.3,13.4,3.0,73.0,-999.0,171.2,-999.0
1910,2,-999.0,1017.2,83.3,4.6,11.2,-0.3,61.0,-999.0,179.0,-999.0
1910,3,-999.0,1016.9,175.9,8.0,13.8,3.3,66.0,-999.0,174.8,-999.0
1910,4,-999.0,1015.9,178.9,14.2,19.9,9.3,72.0,-999.0,167.7,-999.0
1910,5,-999.0,1012.3,183.2,18.7,23.8,14.2,78.0,-999.0,156.3,-999.0
1910,6,-999.0,1008.4,279.0,22.0,25.8,19.0,87.0,-999.0,89.5,-999.0
1910,7,-999.0,1008.0,129.8,25.3,30.1,21.7,84.0,-999.0,157.9,-999.0
1910,8,-999.0,1007.1,172.0,25.7,31.6,21.5,82.0,-999.0,227.0,-999.0
1910,9,-999.0,1011.5,629.0,23.1,27.3,20.2,87.0,-999.0,72.9,-999.0
1910,10,-999.0,1016.0,135.2,17.9,23.4,14.2,75.0,-999.0,154.3,-999.0
1910,11,-999.0,1018.9,164.3,11.8,19.0,6.8,74.0,-999.0,185.8,-999.0
1910,12,-999.0,1020.7,4.9,5.8,13.0,1.3,66.0,-999.0,162.1,-999.0
1911,1,-999.0,1019.6,102.4,5.8,12.1,1.4,71.0,1.9,144.5,-999.0
1911,2,-999.0,1022.4,28.4,7.2,13.8,2.3,68.0,2.0,173.0,-999.0
1911,3,-999.0,1016.7,208.9,10.9,16.1,6.3,73.0,2.0,176.9,-999.0
1911,4,-999.0,1014.1,198.0,14.5,20.3,9.2,71.0,1.9,209.5,-999.0
1911,5,-999.0,1014.7,177.0,17.6,22.8,13.0,80.0,1.4,163.2,-999.0
1911,6,-999.0,1008.8,508.0,21.6,25.6,18.4,88.0,1.3,93.1,-999.0
1911,7,-999.0,1010.1,570.4,25.1,29.4,21.8,87.0,1.4,186.9,-999.0
1911,8,-999.0,1009.2,442.2,25.8,30.9,22.0,83.0,1.9,210.7,-999.0
1911,9,-999.0,1014.0,705.2,24.1,28.9,21.1,87.0,1.4,140.9,-999.0
1911,10,-999.0,1015.2,111.2,16.9,23.4,12.4,75.0,1.8,189.7,-999.0
1911,11,-999.0,1019.6,77.8,13.1,19.6,8.4,74.0,2.1,170.2,-999.0
1911,12,-999.0,1022.0,102.4,6.9,13.3,2.4,70.0,2.0,156.8,-999.0
1912,1,-999.0,1020.9,36.2,4.6,11.0,0.3,66.0,2.2,196.9,-999.0
