Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1023.6,89.8,3.5,8.6,-1.2,78.0,-999.0,102.6,-999.0
1900,2,-999.0,1022.4,22.6,4.8,11.0,-1.0,73.0,-999.0,136.6,-999.0
1900,3,-999.0,1018.9,76.1,8.3,14.7,1.9,73.0,-999.0,172.7,-999.0
1900,4,-999.0,1015.5,213.0,15.1,21.1,9.3,82.0,-999.0,129.8,-999.0
1900,5,-999.0,1010.8,217.3,18.2,24.3,11.8,80.0,-999.0,191.2,-999.0
1900,6,-999.0,1010.8,120.5,21.8,27.3,16.4,74.0,-999.0,163.5,-999.0
1900,7,-999.0,1008.4,867.9,25.0,29.2,21.3,86.0,-999.0,119.7,-999.0
1900,8,-999.0,1008.1,269.9,27.6,33.0,22.5,79.0,-999.0,245.2,-999.0
1900,9,-999.0,1011.7,166.5,24.5,29.7,19.5,79.0,-999.0,177.9,-999.0
1900,10,-999.0,1018.7,128.6,17.4,24.5,10.8,77.0,-999.0,189.7,-999.0
1900,11,-999.0,1020.3,131.5,12.1,18.5,5.9,81.0,-999.0,139.1,-999.0
1900,12,-999.0,1023.3,19.0,6.5,12.8,0.9,77.0,-999.0,132.9,-999.0
1901,1,-999.0,1021.5,133.7,7.2,13.1,1.5,80.0,-999.0,126.1,-999.0
1901,2,-999.0,1019.9,35.1,2.9,8.3,-1.8,72.0,-999.0,118.1,-999.0
1901,3,-999.0,1021.5,85.3,7.9,14.6,1.0,73.0,-999.0,199.8,-999.0
1901,4,-999.0,1014.1,115.8,15.5,21.4,9.5,78.0,-999.0,166.3,-999.0
1901,5,-999.0,1012.0,131.3,17.5,23.7,11.2,75.0,-999.0,185.8,-999.0
1901,6,-999.0,1006.8,485.8,22.1,26.8,17.6,84.0,-999.0,103.4,-999.0
1901,7,-999.0,1007.6,666.0,24.5,28.4,20.9,88.0,-999.0,103.9,-999.0
1901,8,-999.0,1010.7,63.3,27.4,33.3,21.7,76.0,-999.0,298.3,-999.0
1901,9,-999.0,1010.9,64.4,22.9,29.3,17.1,76.0,-999.0,218.0,-999.0
1901,10,-999.0,1014.7,162.4,18.7,24.4,13.0,80.0,-999.0,158.8,-999.0
1901,11,-999.0,1018.3,56.5,10.2,18.1,3.3,81.0,-999.0,174.9,-999.0
1901,12,-999.0,1022.8,41.1,4.8,12.0,-1.4,76.0,-999.0,133.3,-999.0
1902,1,-999.0,1022.0,35.3,4.7,10.9,-1.7,76.0,-999.0,162.0,-999.0
1902,2,-999.0,1025.1,21.0,4.4,10.5,-2.0,72.0,-999.0,156.9,-999.0
1902,3,-999.0,1017.9,107.2,11.0,16.7,4.7,74.0,-999.0,158.7,-999.0
1902,4,-999.0,1015.9,236.1,13.0,17.6,7.2,78.0,-999.0,118.9,-999.0
1902,5,-999.0,1011.2,280.9,18.4,23.3,12.8,81.0,-999.0,154.3,-999.0
1902,6,-999.0,1006.5,225.4,21.7,26.4,16.7,79.0,-999.0,163.5,-999.0
1902,7,-999.0,1008.7,258.3,25.0,29.3,20.8,82.0,-999.0,198.7,-999.0
1902,8,-999.0,1008.3,298.8,25.8,30.5,21.9,83.0,-999.0,183.2,-999.0
1902,9,-999.0,1009.3,193.3,22.2,26.5,18.1,83.0,-999.0,136.1,-999.0
1902,10,-999.0,1018.9,147.1,16.5,23.0,10.1,77.0,-999.0,208.1,-999.0
1902,11,-999.0,1020.9,72.3,13.5,19.4,7.8,82.0,-999.0,159.8,-999.0
1902,12,-999.0,1018.4,76.1,9.3,13.9,4.4,78.0,-999.0,112.6,-999.0
1903,1,-999.0,1021.2,103.8,5.6,10.5,0.9,80.0,-999.0,103.3,-999.0
1903,2,-999.0,1022.7,65.9,5.8,10.6,0.3,76.0,-999.0,136.6,-999.0
1903,3,-999.0,1016.7,136.9,11.3,15.8,6.4,79.0,-999.0,116.9,-999.0
1903,4,-999.0,1015.7,310.2,14.8,19.7,9.3,76.0,-999.0,107.2,-999.0
1903,5,-999.0,1013.7,303.1,17.5,22.7,11.6,77.0,-999.0,187.6,-999.0
1903,6,-999.0,1007.2,129.5,21.4,26.2,16.9,79.0,-999.0,150.7,-999.0
1903,7,-999.0,1008.5,502.2,24.0,28.1,20.5,87.0,-999.0,103.2,-999.0
