Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.3,60.2,1.5,6.9,-2.9,80.0,-999.0,139.3,-999.0
1900,2,-999.0,1020.8,43.5,2.6,8.5,-2.7,75.0,-999.0,145.0,-999.0
1900,3,-999.0,1018.0,90.7,5.2,12.0,-1.0,74.0,-999.0,183.7,-999.0
1900,4,-999.0,1016.8,221.7,12.3,18.7,5.7,74.0,-999.0,198.1,-999.0
1900,5,-999.0,1010.7,120.4,17.5,24.1,10.9,72.0,-999.0,256.1,-999.0
1900,6,-999.0,1011.7,106.0,20.4,26.5,13.9,71.0,-999.0,247.8,-999.0
1900,7,-999.0,1007.9,159.0,23.8,28.6,19.1,80.0,-999.0,172.2,-999.0
1900,8,-999.0,1010.3,252.2,26.6,31.9,22.0,78.0,-999.0,233.7,-999.0
1900,9,-999.0,1013.2,156.2,22.6,28.4,17.5,80.0,-999.0,186.6,-999.0
1900,10,-999.0,1019.3,161.7,15.4,22.1,9.3,81.0,-999.0,188.3,-999.0
1900,11,-999.0,1019.9,100.1,10.3,17.0,4.1,82.0,-999.0,153.1,-999.0
1900,12,-999.0,1021.3,39.9,4.3,10.7,-2.0,78.0,-999.0,150.2,-999.0
1901,1,-999.0,1021.1,97.3,4.2,9.5,-1.1,83.0,-999.0,104.1,-999.0
1901,2,-999.0,1015.5,38.7,1.6,7.9,-3.9,76.0,-999.0,147.0,-999.0
1901,3,-999.0,1020.1,80.5,5.2,12.9,-2.4,73.0,-999.0,223.3,-999.0
1901,4,-999.0,1016.5,146.3,13.2,19.5,6.5,73.0,-999.0,174.8,-999.0
1901,5,-999.0,1012.1,62.5,15.9,22.6,9.0,72.0,-999.0,208.2,-999.0
1901,6,-999.0,1008.0,267.8,20.8,26.2,15.1,77.0,-999.0,175.8,-999.0
1901,7,-999.0,1008.1,259.4,23.7,28.2,19.0,81.0,-999.0,159.9,-999.0
1901,8,-999.0,1011.3,76.4,25.8,32.2,20.2,76.0,-999.0,266.3,-999.0
1901,9,-999.0,1011.6,66.8,21.8,28.7,16.0,76.0,-999.0,210.4,-999.0
1901,10,-999.0,1016.3,164.7,17.1,23.1,11.4,82.0,-999.0,151.2,-999.0
1901,11,-999.0,1019.3,57.0,8.8,15.9,2.4,81.0,-999.0,150.5,-999.0
1901,12,-999.0,1020.5,50.4,3.3,11.0,-3.5,76.0,-999.0,171.0,-999.0
1902,1,-999.0,1019.9,26.8,1.7,8.8,-4.6,76.0,-999.0,156.0,-999.0
1902,2,-999.0,1022.9,4.7,2.4,9.7,-4.6,72.0,-999.0,180.3,-999.0
1902,3,-999.0,1018.0,138.3,7.8,14.7,0.9,76.0,-999.0,184.1,-999.0
1902,4,-999.0,1015.7,149.0,10.7,16.9,3.6,74.0,-999.0,176.5,-999.0
1902,5,-999.0,1012.5,286.2,16.5,22.3,10.2,75.0,-999.0,182.8,-999.0
1902,6,-999.0,1008.0,145.5,20.0,25.7,14.1,76.0,-999.0,195.5,-999.0
1902,7,-999.0,1008.4,139.1,23.1,27.7,18.1,80.0,-999.0,156.7,-999.0
1902,8,-999.0,1010.1,243.4,24.4,29.7,19.6,80.0,-999.0,185.6,-999.0
1902,9,-999.0,1010.5,164.3,21.9,27.2,16.8,79.0,-999.0,175.0,-999.0
1902,10,-999.0,1019.2,99.4,15.1,22.1,8.9,82.0,-999.0,196.7,-999.0
1902,11,-999.0,1021.5,96.1,10.7,17.7,4.0,84.0,-999.0,152.0,-999.0
1902,12,-999.0,1017.3,81.4,6.6,12.7,0.4,83.0,-999.0,116.9,-999.0
1903,1,-999.0,1019.5,80.6,3.8,9.9,-1.9,79.0,-999.0,133.6,-999.0
1903,2,-999.0,1020.9,96.7,3.5,9.2,-2.3,79.0,-999.0,125.8,-999.0
1903,3,-999.0,1018.5,193.7,8.5,14.1,2.2,75.0,-999.0,136.9,-999.0
1903,4,-999.0,1017.2,180.3,13.2,18.6,8.0,76.0,-999.0,152.0,-999.0
1903,5,-999.0,1014.5,266.8,15.2,21.4,8.8,73.0,-999.0,201.0,-999.0
1903,6,-999.0,1008.0,151.0,19.8,25.4,14.5,75.0,-999.0,194.3,-999.0
1903,7,-999.0,1009.5,626.9,23.2,27.6,19.4,84.0,-999.0,135.6,-999.0
1903,8,-999.0,1012.4,13.5,26.2,33.0,20.4,75.0,-999.0,277.3,-999.0
1903,9,-999.0,1013.6,172.3,23.8,30.8,18.9,78.0,-999.0,188.8,-999.0
1903,10,-999.0,1016.8,146.9,15.7,22.5,10.1,82.0,-999.0,151.9,-999.0
