Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.0,58.4,2.2,6.6,-1.7,76.0,-999.0,157.0,-999.0
1900,2,-999.0,1019.5,24.7,3.7,8.8,-0.9,68.0,-999.0,193.6,-999.0
1900,3,-999.0,1017.1,108.5,6.4,12.0,1.2,68.0,-999.0,187.3,-999.0
1900,4,-999.0,1016.5,245.9,13.4,18.6,8.0,74.0,-999.0,197.5,-999.0
1900,5,-999.0,1010.4,117.6,18.3,24.1,13.0,73.0,-999.0,238.4,-999.0
1900,6,-999.0,1011.6,86.3,21.0,26.6,15.9,70.0,-999.0,233.6,-999.0
1900,7,-999.0,1007.6,195.3,24.5,28.9,20.8,80.0,-999.0,179.0,-999.0
1900,8,-999.0,1010.9,103.9,26.9,32.0,23.2,80.0,-999.0,235.2,-999.0
1900,9,-999.0,1012.8,248.6,23.8,28.9,19.8,81.0,-999.0,177.2,-999.0
1900,10,-999.0,1018.8,221.7,16.7,22.3,11.9,78.0,-999.0,180.7,-999.0
1900,11,-999.0,1018.9,106.0,11.7,17.6,6.9,78.0,-999.0,153.0,-999.0
1900,12,-999.0,1019.9,42.6,5.6,11.1,0.9,73.0,-999.0,165.8,-999.0
1901,1,-999.0,1019.9,69.2,4.8,10.1,0.4,77.0,-999.0,144.4,-999.0
1901,2,-999.0,1014.1,22.7,2.6,8.4,-2.2,73.0,-999.0,179.6,-999.0
1901,3,-999.0,1018.9,117.4,6.9,13.2,0.8,66.0,-999.0,246.4,-999.0
1901,4,-999.0,1016.4,151.8,14.3,19.8,9.5,72.0,-999.0,175.5,-999.0
1901,5,-999.0,1011.7,56.6,17.1,22.9,11.8,70.0,-999.0,214.7,-999.0
1901,6,-999.0,1008.0,209.1,21.6,26.2,17.6,77.0,-999.0,167.1,-999.0
1901,7,-999.0,1008.1,248.3,24.2,28.2,21.0,83.0,-999.0,176.3,-999.0
1901,8,-999.0,1011.2,80.8,26.6,31.8,22.6,79.0,-999.0,253.3,-999.0
1901,9,-999.0,1011.1,103.5,23.1,29.2,18.3,75.0,-999.0,240.8,-999.0
1901,10,-999.0,1015.9,189.8,18.3,23.4,13.9,79.0,-999.0,164.5,-999.0
1901,11,-999.0,1018.4,95.6,10.1,15.8,5.1,76.0,-999.0,167.1,-999.0
1901,12,-999.0,1019.2,95.1,4.6,10.6,-0.3,71.0,-999.0,180.7,-999.0
1902,1,-999.0,1018.5,28.0,2.8,8.3,-2.0,73.0,-999.0,196.8,-999.0
1902,2,-999.0,1021.7,8.2,3.8,9.6,-1.7,68.0,-999.0,174.8,-999.0
1902,3,-999.0,1017.2,125.9,8.9,14.4,3.8,72.0,-999.0,184.4,-999.0
1902,4,-999.0,1015.2,190.4,11.7,16.9,6.7,74.0,-999.0,171.3,-999.0
1902,5,-999.0,1012.4,277.5,17.0,21.7,12.5,76.0,-999.0,162.9,-999.0
1902,6,-999.0,1007.9,192.4,20.9,26.0,16.4,77.0,-999.0,195.6,-999.0
1902,7,-999.0,1008.3,160.6,23.8,28.0,20.0,79.0,-999.0,157.3,-999.0
1902,8,-999.0,1010.0,333.9,25.1,29.5,21.8,82.0,-999.0,178.8,-999.0
1902,9,-999.0,1010.3,193.0,23.1,27.8,19.2,81.0,-999.0,185.2,-999.0
1902,10,-999.0,1018.4,131.7,16.6,22.3,11.9,78.0,-999.0,190.1,-999.0
1902,11,-999.0,1020.7,122.8,12.2,18.0,7.2,78.0,-999.0,166.9,-999.0
1902,12,-999.0,1016.1,116.6,7.9,13.0,3.7,77.0,-999.0,140.1,-999.0
1903,1,-999.0,1018.4,119.9,4.8,9.5,1.0,79.0,-999.0,118.8,-999.0
1903,2,-999.0,1019.6,77.1,4.5,9.7,0.2,72.0,-999.0,155.0,-999.0
1903,3,-999.0,1018.0,260.0,9.7,14.3,5.3,75.0,-999.0,151.1,-999.0
1903,4,-999.0,1016.9,212.7,14.1,18.5,10.3,76.0,-999.0,144.1,-999.0
1903,5,-999.0,1014.0,242.4,16.5,22.0,11.6,70.0,-999.0,187.1,-999.0
1903,6,-999.0,1007.7,138.9,20.6,25.2,16.1,74.0,-999.0,195.8,-999.0
