Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1019.5,149.9,16.3,19.0,13.7,76.0,-999.0,96.3,-999.0
1900,2,-999.0,1019.2,98.3,16.8,19.8,14.0,75.0,-999.0,110.5,-999.0
1900,3,-999.0,1017.8,341.6,17.8,20.6,14.9,73.0,-999.0,131.7,-999.0
1900,4,-999.0,1014.7,125.7,21.7,24.7,18.9,83.0,-999.0,165.3,-999.0
1900,5,-999.0,1011.6,181.2,22.6,25.6,19.4,81.0,-999.0,196.9,-999.0
1900,6,-999.0,1009.0,282.0,25.0,27.9,23.0,86.0,-999.0,179.2,-999.0
1900,7,-999.0,1010.0,31.2,28.1,31.4,25.5,82.0,-999.0,334.8,-999.0
1900,8,-999.0,1006.2,206.7,28.1,31.5,25.1,79.0,-999.0,280.4,-999.0
1900,9,-999.0,1008.3,312.3,26.8,30.2,24.2,83.0,-999.0,246.2,-999.0
1900,10,-999.0,1015.6,45.9,24.5,28.1,21.7,74.0,-999.0,244.5,-999.0
1900,11,-999.0,1016.7,172.2,21.5,24.4,19.0,75.0,-999.0,132.7,-999.0
1900,12,-999.0,1020.6,204.2,17.9,20.6,15.4,71.0,-999.0,113.9,-999.0
1901,1,-999.0,1019.5,98.8,17.9,21.0,15.1,76.0,-999.0,140.4,-999.0
1901,2,-999.0,1020.8,102.4,12.3,15.0,9.7,68.0,-999.0,88.4,-999.0
1901,3,-999.0,1020.4,61.8,16.4,20.0,13.1,71.0,-999.0,161.0,-999.0
1901,4,-999.0,1013.9,178.2,20.6,23.3,18.0,83.0,-999.0,124.4,-999.0
1901,5,-999.0,1011.2,139.0,22.8,25.7,20.3,81.0,-999.0,163.5,-999.0
1901,6,-999.0,1008.2,379.5,25.5,28.3,23.1,85.0,-999.0,197.0,-999.0
1901,7,-999.0,1009.2,200.8,28.3,31.8,25.8,82.0,-999.0,303.4,-999.0
1901,8,-999.0,1007.9,203.5,27.4,30.8,24.5,79.0,-999.0,283.3,-999.0
1901,9,-999.0,1008.0,122.8,26.3,29.1,24.0,79.0,-999.0,196.6,-999.0
1901,10,-999.0,1011.4,342.2,24.4,27.0,22.0,79.0,-999.0,202.4,-999.0
1901,11,-999.0,1019.0,70.0,20.1,23.0,17.4,69.0,-999.0,188.9,-999.0
1901,12,-999.0,1019.2,139.9,17.2,19.7,14.9,71.0,-999.0,117.5,-999.0
1902,1,-999.0,1020.0,88.0,16.1,19.6,13.1,69.0,-999.0,169.4,-999.0
1902,2,-999.0,1024.4,19.6,14.5,18.0,11.2,62.0,-999.0,157.8,-999.0
1902,3,-999.0,1017.4,58.9,18.3,21.6,15.3,74.0,-999.0,168.0,-999.0
1902,4,-999.0,1016.3,44.5,21.2,24.6,18.5,78.0,-999.0,228.7,-999.0
1902,5,-999.0,1010.6,296.2,23.9,26.9,21.4,84.0,-999.0,178.9,-999.0
1902,6,-999.0,1007.0,382.1,25.4,28.1,23.2,87.0,-999.0,183.1,-999.0
1902,7,-999.0,1009.1,179.2,27.5,30.6,24.9,83.0,-999.0,300.0,-999.0
1902,8,-999.0,1007.0,152.0,28.0,31.2,25.4,80.0,-999.0,262.0,-999.0
1902,9,-999.0,1007.6,227.8,25.5,28.4,23.1,78.0,-999.0,203.6,-999.0
1902,10,-999.0,1016.7,184.1,23.0,26.2,20.2,74.0,-999.0,226.2,-999.0
1902,11,-999.0,1018.4,60.0,21.4,24.5,18.8,77.0,-999.0,163.3,-999.0
1902,12,-999.0,1018.0,203.7,17.7,20.8,15.0,71.0,-999.0,121.1,-999.0
1903,1,-999.0,1020.7,416.9,16.0,18.5,13.2,72.0,-999.0,115.0,-999.0
1903,2,-999.0,1023.0,61.6,15.3,18.4,12.1,68.0,-999.0,143.2,-999.0
1903,3,-999.0,1015.5,294.0,19.6,22.3,17.1,82.0,-999.0,123.9,-999.0
1903,4,-999.0,1014.6,262.0,21.5,24.4,18.8,82.0,-999.0,187.3,-999.0
1903,5,-999.0,1013.1,326.3,22.8,25.8,19.9,83.0,-999.0,178.7,-999.0
1903,6,-999.0,1008.2,402.2,25.4,28.2,23.1,85.0,-999.0,180.7,-999.0
1903,7,-999.0,1007.9,208.8,27.8,31.0,25.2,81.0,-999.0,282.9,-999.0
1903,8,-999.0,1010.8,34.8,28.1,31.7,-999.0,78.0,-999.0,312.4,-999.0
1903,9,-999.0,1011.2,241.8,26.7,30.3,23.9,80.0,-999.0,248.7,-999.0
1903,10,-999.0,1012.0,177.0,24.6,27.5,22.3,78.0,-999.0,177.0,-999.0
1903,11,-999.0,1017.1,188.8,19.9,22.5,17.7,73.0,-999.0,135.3,-999.0
1903,12,-999.0,1020.2,96.3,16.0,19.3,13.1,70.0,-999.0,147.6,-999.0
1904,1,-999.0,1022.0,71.0,14.9,18.0,12.0,75.0,-999.0,135.1,-999.0
1904,2,-999.0,1019.4,80.9,15.8,19.5,12.5,71.0,-999.0,181.4,-999.0
1904,3,-999.0,1015.1,257.8,17.8,20.4,15.4,80.0,-999.0,101.9,-999.0
1904,4,-999.0,1015.6,35.1,21.5,24.9,18.6,80.0,-999.0,195.3,-999.0
1904,5,-999.0,1011.2,108.0,23.1,26.4,20.2,80.0,-999.0,167.4,-999.0
1904,6,-999.0,1009.4,141.1,26.4,29.7,24.0,85.0,-999.0,249.0,-999.0
1904,7,-999.0,1006.2,150.1,27.6,30.9,24.8,81.0,-999.0,277.6,-999.0
1904,8,-999.0,1006.0,95.6,27.2,30.3,24.9,80.0,-999.0,277.7,-999.0
1904,9,-999.0,1010.6,22.0,26.0,29.8,22.7,73.0,-999.0,250.5,-999.0
1904,10,-999.0,1015.1,29.7,23.6,27.5,20.3,71.0,-999.0,240.7,-999.0
1904,11,-999.0,1019.6,15.0,19.3,22.9,16.0,64.0,-999.0,141.0,-999.0
1904,12,-999.0,1021.5,66.6,16.8,20.3,13.3,66.0,-999.0,168.9,-999.0
1905,1,-999.0,1017.2,122.4,17.3,20.7,14.1,75.0,-999.0,156.0,-999.0
1905,2,-999.0,1018.4,183.7,15.4,17.7,13.4,75.0,-999.0,36.5,-999.0
1905,3,-999.0,1017.2,190.3,17.9,20.9,15.2,79.0,-999.0,91.1,-999.0
