Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1022.5,67.9,2.6,6.8,-0.7,73.0,1.8,150.9,-999.0
1900,2,-999.0,1021.7,24.8,3.4,8.6,-0.7,69.0,1.7,179.1,-999.0
1900,3,-999.0,1018.4,43.3,6.5,12.1,1.6,68.0,2.1,191.5,-999.0
1900,4,-999.0,1016.5,156.8,13.2,18.1,8.5,73.0,2.3,181.9,-999.0
1900,5,-999.0,1010.5,86.1,18.0,23.4,13.1,74.0,2.4,255.9,-999.0
1900,6,-999.0,1011.5,34.3,21.3,26.4,16.3,70.0,1.9,227.6,-999.0
1900,7,-999.0,1007.6,173.8,24.6,28.9,21.2,79.0,1.7,217.6,-999.0
1900,8,-999.0,1009.3,110.6,27.4,31.5,24.2,78.0,2.1,267.2,-999.0
1900,9,-999.0,1012.9,191.6,23.8,28.2,20.3,76.0,1.7,210.8,-999.0
1900,10,-999.0,1019.2,137.5,16.7,21.9,12.1,76.0,1.3,201.1,-999.0
1900,11,-999.0,1020.4,90.5,11.0,16.9,6.5,79.0,1.2,161.4,-999.0
1900,12,-999.0,1022.1,21.5,5.4,10.6,1.1,75.0,1.6,162.2,-999.0
1901,1,-999.0,1021.6,63.4,5.5,10.1,1.9,78.0,1.2,145.0,-999.0
1901,2,-999.0,1016.8,9.6,2.4,7.4,-1.7,67.0,2.3,178.7,-999.0
1901,3,-999.0,1020.8,51.1,6.5,12.5,1.1,68.0,1.7,256.9,-999.0
1901,4,-999.0,1016.0,109.9,13.5,18.1,9.1,76.0,2.1,182.0,-999.0
1901,5,-999.0,1012.3,53.9,16.8,21.9,11.8,71.0,1.7,223.2,-999.0
1901,6,-999.0,1007.5,233.1,21.3,25.4,17.5,81.0,1.8,163.5,-999.0
1901,7,-999.0,1007.6,163.8,23.9,27.7,21.0,85.0,1.4,179.8,-999.0
1901,8,-999.0,1010.8,53.9,26.5,31.2,22.7,80.0,1.5,285.0,-999.0
1901,9,-999.0,1011.5,58.9,22.8,29.1,17.8,75.0,1.6,243.1,-999.0
1901,10,-999.0,1016.0,145.5,18.1,23.8,13.3,80.0,1.5,164.9,-999.0
1901,11,-999.0,1019.5,24.3,10.2,17.3,4.6,77.0,1.3,184.3,-999.0
1901,12,-999.0,1021.1,45.1,4.7,10.3,0.0,71.0,2.0,219.4,-999.0
1902,1,-999.0,1020.4,20.8,3.4,8.8,-1.2,71.0,1.8,203.8,-999.0
1902,2,-999.0,1023.5,12.1,3.5,8.6,-1.2,70.0,1.8,180.0,-999.0
1902,3,-999.0,1018.0,102.7,8.8,13.9,3.6,74.0,1.7,196.0,-999.0
1902,4,-999.0,1015.6,98.3,11.7,17.1,6.8,74.0,2.3,192.5,-999.0
1902,5,-999.0,1012.3,202.2,17.1,21.4,12.7,77.0,1.9,192.3,-999.0
1902,6,-999.0,1007.6,143.7,21.1,25.3,16.8,77.0,1.9,212.4,-999.0
1902,7,-999.0,1008.1,177.6,24.1,28.4,20.4,80.0,1.5,198.4,-999.0
