Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1021.5,54.4,3.0,7.1,-0.7,71.0,2.7,165.1,-999.0
1900,2,-999.0,1020.9,23.9,3.9,8.6,-0.4,69.0,2.4,170.9,-999.0
1900,3,-999.0,1018.0,82.1,6.7,11.6,1.5,69.0,2.6,187.2,-999.0
1900,4,-999.0,1016.5,199.9,13.5,18.7,8.2,74.0,2.8,188.0,-999.0
1900,5,-999.0,1010.4,49.4,18.6,23.6,13.4,71.0,3.0,271.9,-999.0
1900,6,-999.0,1011.5,57.8,21.6,26.7,16.4,68.0,2.4,264.5,-999.0
1900,7,-999.0,1007.7,207.3,24.9,28.9,21.1,78.0,2.1,217.2,-999.0
1900,8,-999.0,1010.0,90.8,27.7,32.2,23.8,76.0,2.3,258.1,-999.0
1900,9,-999.0,1012.8,178.3,24.0,28.7,19.7,76.0,2.2,203.8,-999.0
1900,10,-999.0,1019.1,164.5,17.2,22.4,12.2,76.0,2.1,194.0,-999.0
1900,11,-999.0,1019.7,102.0,12.0,16.9,7.3,79.0,2.2,163.8,-999.0
1900,12,-999.0,1021.5,28.3,6.0,10.9,1.4,71.0,2.9,175.6,-999.0
1901,1,-999.0,1021.1,70.2,5.6,10.0,1.2,77.0,2.1,130.9,-999.0
1901,2,-999.0,1015.9,29.4,3.1,7.8,-1.1,66.0,3.5,178.6,-999.0
1901,3,-999.0,1020.3,77.6,6.9,12.5,1.2,66.0,2.9,239.2,-999.0
1901,4,-999.0,1016.3,123.8,14.4,19.5,9.3,71.0,3.0,191.9,-999.0
1901,5,-999.0,1012.1,50.6,17.4,22.8,11.8,69.0,2.5,240.0,-999.0
1901,6,-999.0,1007.7,272.5,21.8,26.4,17.5,76.0,2.7,179.6,-999.0
1901,7,-999.0,1008.0,191.8,24.5,28.1,21.1,80.0,2.3,190.6,-999.0
1901,8,-999.0,1011.2,34.4,27.3,32.3,23.0,72.0,2.4,293.2,-999.0
1901,9,-999.0,1011.5,126.1,23.1,28.4,18.6,74.0,2.0,218.1,-999.0
