Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1015.5,74.6,-7.6,-3.6,-13.3,81.0,-999.0,86.8,-999.0
1900,2,-999.0,1015.3,62.5,-7.4,-2.3,-13.8,85.0,-999.0,118.8,-999.0
1900,3,-999.0,1014.1,64.8,-3.0,1.7,-8.8,85.0,-999.0,153.9,-999.0
1900,4,-999.0,1015.3,39.8,4.9,9.9,-0.5,70.0,-999.0,197.2,-999.0
1900,5,-999.0,1007.2,65.2,10.7,16.3,4.7,77.0,-999.0,168.0,-999.0
1900,6,-999.0,1011.5,51.8,14.5,21.6,8.3,78.0,-999.0,247.6,-999.0
1900,7,-999.0,1006.5,45.0,17.2,22.6,12.1,83.0,-999.0,198.0,-999.0
1900,8,-999.0,1009.7,149.9,20.9,25.8,16.1,87.0,-999.0,170.8,-999.0
1900,9,-999.0,1012.7,80.7,16.1,21.0,10.5,83.0,-999.0,148.3,-999.0
1900,10,-999.0,1016.7,107.9,10.0,15.6,3.4,80.0,-999.0,142.1,-999.0
1900,11,-999.0,1016.4,67.1,3.8,8.1,-0.7,77.0,-999.0,86.0,-999.0
1900,12,-999.0,1013.6,45.2,-3.5,0.7,-8.7,78.0,-999.0,81.3,-999.0
1901,1,-999.0,1018.1,108.0,-5.4,-1.2,-10.5,83.0,-999.0,56.6,-999.0
1901,2,-999.0,1009.9,31.2,-5.3,-0.7,-11.0,84.0,-999.0,100.2,-999.0
1901,3,-999.0,1014.1,78.9,-1.5,2.9,-6.9,76.0,-999.0,182.6,-999.0
1901,4,-999.0,1016.8,21.5,6.9,12.8,1.2,67.0,-999.0,222.4,-999.0
1901,5,-999.0,1010.9,68.9,11.5,18.1,4.5,71.0,-999.0,248.9,-999.0
1901,6,-999.0,1008.5,107.8,14.0,18.2,10.1,83.0,-999.0,134.3,-999.0
1901,7,-999.0,1008.7,84.6,18.2,23.2,14.0,85.0,-999.0,182.9,-999.0
1901,8,-999.0,1010.4,92.8,20.8,25.5,16.4,89.0,-999.0,152.5,-999.0
1901,9,-999.0,1012.1,211.7,15.9,20.6,10.9,87.0,-999.0,131.9,-999.0
1901,10,-999.0,1016.5,137.6,9.6,15.4,3.4,79.0,-999.0,189.2,-999.0
1901,11,-999.0,1012.7,78.7,3.1,8.0,-1.8,75.0,-999.0,117.8,-999.0
1901,12,-999.0,1011.5,133.0,-4.8,-0.6,-10.2,74.0,-999.0,97.6,-999.0
1902,1,-999.0,1011.5,60.5,-7.5,-2.9,-13.5,75.0,-999.0,122.7,-999.0
1902,2,-999.0,1016.4,27.4,-6.4,-1.5,-13.7,77.0,-999.0,101.7,-999.0
1902,3,-999.0,1014.1,31.4,-0.6,3.2,-5.6,75.0,-999.0,132.8,-999.0
1902,4,-999.0,1008.7,93.9,4.3,9.8,-1.2,64.0,-999.0,187.9,-999.0
1902,5,-999.0,1010.1,119.6,9.2,14.3,4.2,76.0,-999.0,180.4,-999.0
1902,6,-999.0,1008.1,45.6,13.1,19.3,7.3,81.0,-999.0,195.6,-999.0
1902,7,-999.0,1008.4,124.4,16.4,21.0,12.7,86.0,-999.0,180.5,-999.0
1902,8,-999.0,1012.1,40.1,17.9,24.2,12.7,82.0,-999.0,222.1,-999.0
1902,9,-999.0,1012.3,57.4,17.3,23.4,12.1,80.0,-999.0,171.6,-999.0
