Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1020.3,62.6,3.0,6.5,0.0,71.0,-999.0,118.6,-999.0
1900,2,-999.0,1019.9,13.1,3.8,8.8,0.1,71.0,-999.0,155.9,-999.0
1900,3,-999.0,1017.3,78.8,6.2,11.7,1.9,76.0,-999.0,145.2,-999.0
1900,4,-999.0,1016.7,195.2,12.6,17.0,8.2,83.0,-999.0,153.9,-999.0
1900,5,-999.0,1010.7,109.4,17.8,22.5,13.4,79.0,-999.0,207.9,-999.0
1900,6,-999.0,1011.9,72.0,20.4,25.0,15.9,74.0,-999.0,200.4,-999.0
1900,7,-999.0,1007.7,202.9,24.3,28.1,21.4,82.0,-999.0,154.6,-999.0
1900,8,-999.0,1010.8,119.0,26.6,30.8,23.4,83.0,-999.0,202.9,-999.0
1900,9,-999.0,1013.1,212.7,23.4,28.2,20.2,82.0,-999.0,147.3,-999.0
1900,10,-999.0,1019.1,159.8,16.5,21.0,12.4,81.0,-999.0,170.7,-999.0
1900,11,-999.0,1019.3,113.7,11.8,16.7,7.7,78.0,-999.0,139.0,-999.0
1900,12,-999.0,1020.4,45.6,6.1,10.7,1.8,70.0,-999.0,171.0,-999.0
1901,1,-999.0,1020.4,74.1,5.7,9.7,1.9,75.0,-999.0,133.4,-999.0
1901,2,-999.0,1014.5,36.2,3.1,7.7,-0.8,66.0,-999.0,152.4,-999.0
1901,3,-999.0,1019.5,71.7,6.5,11.6,1.8,67.0,-999.0,208.8,-999.0
1901,4,-999.0,1016.8,144.0,13.7,17.9,9.9,76.0,-999.0,155.2,-999.0
1901,5,-999.0,1012.0,108.1,16.5,21.3,12.0,79.0,-999.0,164.7,-999.0
1901,6,-999.0,1008.1,252.4,21.2,25.8,18.0,84.0,-999.0,133.1,-999.0
1901,7,-999.0,1008.3,301.1,23.7,28.1,21.1,87.0,-999.0,143.8,-999.0
1901,8,-999.0,1011.3,77.5,26.2,30.5,22.6,82.0,-999.0,248.3,-999.0
1901,9,-999.0,1011.3,76.9,22.5,27.3,18.7,78.0,-999.0,200.9,-999.0
1901,10,-999.0,1016.1,236.6,17.8,21.8,14.1,82.0,-999.0,130.0,-999.0
1901,11,-999.0,1018.9,58.3,10.7,15.3,6.8,74.0,-999.0,160.0,-999.0
1901,12,-999.0,1019.7,71.7,5.2,10.6,0.7,68.0,-999.0,195.3,-999.0
1902,1,-999.0,1019.1,24.6,3.5,8.5,-0.9,67.0,-999.0,156.7,-999.0
1902,2,-999.0,1022.1,6.1,3.8,8.9,-0.4,66.0,-999.0,173.0,-999.0
1902,3,-999.0,1017.6,108.3,8.4,13.5,3.9,73.0,-999.0,169.3,-999.0
1902,4,-999.0,1015.6,213.4,11.5,16.3,7.1,76.0,-999.0,162.4,-999.0
1902,5,-999.0,1012.7,316.8,16.7,20.8,13.1,78.0,-999.0,130.2,-999.0
1902,6,-999.0,1008.1,258.0,20.5,24.6,17.0,79.0,-999.0,160.6,-999.0
1902,7,-999.0,1008.4,134.9,23.4,27.2,20.6,82.0,-999.0,162.7,-999.0
1902,8,-999.0,1010.4,444.9,24.5,28.5,21.7,86.0,-999.0,163.0,-999.0
1902,9,-999.0,1010.7,334.4,22.5,26.8,19.6,84.0,-999.0,155.8,-999.0
1902,10,-999.0,1019.1,188.3,16.5,22.1,12.4,78.0,-999.0,183.3,-999.0
1902,11,-999.0,1021.3,128.6,12.5,17.4,8.2,78.0,-999.0,154.3,-999.0
1902,12,-999.0,1016.8,106.3,8.8,13.6,5.1,73.0,-999.0,134.3,-999.0
1903,1,-999.0,1018.9,93.1,5.3,10.2,2.1,74.0,-999.0,110.9,-999.0
1903,2,-999.0,1020.3,66.0,4.8,9.7,1.2,70.0,-999.0,135.3,-999.0
1903,3,-999.0,1018.4,195.5,9.2,13.0,5.8,74.0,-999.0,119.8,-999.0
1903,4,-999.0,1017.2,239.6,13.6,17.3,10.2,79.0,-999.0,113.4,-999.0
1903,5,-999.0,1014.3,178.8,16.2,20.6,12.1,72.0,-999.0,183.7,-999.0
1903,6,-999.0,1008.0,172.8,20.3,24.2,16.7,79.0,-999.0,135.3,-999.0
1903,7,-999.0,1009.5,466.3,23.7,27.0,21.0,86.0,-999.0,118.6,-999.0
1903,8,-999.0,1012.4,13.3,26.7,31.0,22.8,77.0,-999.0,245.6,-999.0
1903,9,-999.0,1013.5,264.9,23.6,27.4,20.6,84.0,-999.0,145.8,-999.0
1903,10,-999.0,1016.5,161.7,16.5,20.8,12.6,81.0,-999.0,151.0,-999.0
1903,11,-999.0,1019.3,163.1,10.1,14.7,5.6,74.0,-999.0,168.6,-999.0
1903,12,-999.0,1018.9,98.3,5.1,9.3,1.4,68.0,-999.0,155.2,-999.0
1904,1,-999.0,1020.5,15.3,3.1,7.3,-0.6,68.0,-999.0,139.6,-999.0
1904,2,-999.0,1020.1,24.8,5.1,10.1,1.0,70.0,-999.0,164.6,-999.0
1904,3,-999.0,1017.7,130.8,7.0,10.8,3.5,70.0,-999.0,149.7,-999.0
1904,4,-999.0,1017.9,170.4,13.9,18.4,10.1,79.0,-999.0,144.0,-999.0
1904,5,-999.0,1012.3,312.9,16.5,22.1,12.1,79.0,-999.0,140.9,-999.0
1904,6,-999.0,1010.5,276.7,21.9,26.4,18.2,84.0,-999.0,142.3,-999.0
