Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1017.2,91.6,3.8,7.0,0.4,66.0,4.7,108.4,-999.0
1900,2,-999.0,1016.5,61.1,4.4,8.2,0.8,71.0,4.0,146.7,-999.0
1900,3,-999.0,1015.1,-999.0,6.4,9.6,2.7,73.0,5.1,146.8,-999.0
1900,4,-999.0,1016.7,155.6,11.2,14.1,8.2,85.0,4.5,107.4,-999.0
1900,5,-999.0,1009.9,110.7,16.8,19.8,13.8,84.0,4.7,199.4,-999.0
1900,6,-999.0,1011.9,48.3,18.8,21.8,16.0,86.0,4.0,189.3,-999.0
1900,7,-999.0,1007.3,168.7,21.3,23.9,19.3,91.0,3.6,102.6,-999.0
1900,8,-999.0,1011.9,32.0,24.8,27.8,22.4,88.0,4.5,253.5,-999.0
1900,9,-999.0,1013.2,105.8,23.3,25.9,21.2,86.0,4.5,126.7,-999.0
1900,10,-999.0,1018.5,100.7,18.3,21.1,15.6,77.0,4.1,109.2,-999.0
1900,11,-999.0,1017.6,98.2,13.9,17.2,10.5,78.0,4.3,105.7,-999.0
1900,12,-999.0,1016.8,32.0,7.8,11.7,4.2,67.0,3.6,180.1,-999.0
1901,1,-999.0,1017.9,93.5,6.4,9.7,3.1,73.0,4.6,129.5,-999.0
1901,2,-999.0,1010.1,70.8,5.4,9.3,1.3,63.0,4.9,190.0,-999.0
1901,3,-999.0,1016.7,118.6,8.1,11.7,4.5,71.0,5.2,192.7,-999.0
1901,4,-999.0,1017.1,161.8,13.4,16.0,10.9,83.0,4.7,181.4,-999.0
1901,5,-999.0,1011.7,125.2,16.1,18.8,13.5,81.0,4.9,171.3,-999.0
1901,6,-999.0,1008.1,156.6,19.6,22.0,17.4,88.0,4.4,105.8,-999.0
1901,7,-999.0,1008.5,230.8,21.4,23.7,19.6,93.0,3.7,75.4,-999.0
1901,8,-999.0,1011.7,54.7,24.3,27.2,22.5,87.0,4.4,255.3,-999.0
1901,9,-999.0,1010.9,114.7,22.5,24.9,20.5,82.0,4.5,148.2,-999.0
1901,10,-999.0,1016.0,324.1,18.3,20.9,16.0,81.0,5.9,126.3,-999.0
1901,11,-999.0,1016.1,60.2,12.4,15.9,8.8,69.0,4.2,165.9,-999.0
1901,12,-999.0,1015.9,66.9,7.3,11.8,3.0,64.0,4.3,190.9,-999.0
1902,1,-999.0,1015.1,48.4,4.1,8.8,-0.1,61.0,4.0,207.3,-999.0
1902,2,-999.0,1018.9,42.8,5.5,9.2,1.8,65.0,4.4,170.0,-999.0
1902,3,-999.0,1015.7,147.4,10.0,13.2,6.8,74.0,5.9,154.2,-999.0
1902,4,-999.0,1013.6,96.4,12.4,16.3,8.6,72.0,5.0,182.4,-999.0
1902,5,-999.0,1012.4,247.6,16.1,18.9,13.5,85.0,5.4,141.8,-999.0
1902,6,-999.0,1008.4,141.6,19.3,21.9,17.1,87.0,3.8,157.8,-999.0
1902,7,-999.0,1008.0,191.7,21.3,23.7,19.6,90.0,4.6,86.4,-999.0
1902,8,-999.0,1011.1,258.1,22.9,24.9,21.5,90.0,5.0,113.5,-999.0
1902,9,-999.0,1011.2,171.2,23.2,26.1,21.1,85.0,4.5,-999.0,-999.0
