Year,Month,LLP,SLP,Precip,Temp,MaxTemp,MinTemp,Humidity,Wind,Daylight,Snowfall
1900,1,-999.0,1017.9,63.8,-3.0,1.0,-7.5,86.0,-999.0,82.3,-999.0
1900,2,-999.0,1016.7,78.1,-1.6,2.8,-5.8,87.0,-999.0,103.9,-999.0
1900,3,-999.0,1015.3,50.9,1.8,6.7,-2.2,80.0,-999.0,177.6,-999.0
1900,4,-999.0,1016.5,90.0,8.3,14.1,2.8,73.0,-999.0,179.7,-999.0
1900,5,-999.0,1008.8,96.1,15.3,22.3,9.1,68.0,-999.0,220.5,-999.0
1900,6,-999.0,1011.2,44.2,18.2,24.8,12.3,73.0,-999.0,220.4,-999.0
1900,7,-999.0,1006.7,157.1,21.6,27.1,16.9,79.0,-999.0,170.6,-999.0
1900,8,-999.0,1010.3,117.0,25.5,31.6,20.7,81.0,-999.0,208.9,-999.0
1900,9,-999.0,1013.7,154.8,19.8,25.6,15.6,84.0,-999.0,134.6,-999.0
1900,10,-999.0,1018.9,79.7,13.0,18.8,7.9,83.0,-999.0,124.2,-999.0
1900,11,-999.0,1018.8,95.1,7.2,12.8,2.9,82.0,-999.0,102.1,-999.0
1900,12,-999.0,1017.5,109.2,1.5,5.5,-2.0,81.0,-999.0,80.1,-999.0
1901,1,-999.0,1019.6,53.8,0.4,4.1,-2.7,84.0,-999.0,94.8,-999.0
1901,2,-999.0,1010.9,85.7,-0.8,4.0,-5.2,80.0,-999.0,126.0,-999.0
1901,3,-999.0,1017.6,88.5,2.6,8.1,-2.2,74.0,-999.0,158.0,-999.0
1901,4,-999.0,1017.5,45.0,10.3,17.0,4.1,69.0,-999.0,218.7,-999.0
1901,5,-999.0,1012.0,74.4,14.0,20.7,8.1,69.0,-999.0,179.8,-999.0
1901,6,-999.0,1008.1,71.9,19.1,25.5,13.9,73.0,-999.0,205.1,-999.0
1901,7,-999.0,1008.3,201.5,21.3,26.4,17.3,81.0,-999.0,129.4,-999.0
1901,8,-999.0,1011.3,79.2,24.0,29.8,19.7,77.0,-999.0,193.4,-999.0
1901,9,-999.0,1011.7,52.3,19.8,26.0,15.2,79.0,-999.0,196.5,-999.0
1901,10,-999.0,1017.2,71.0,13.4,18.8,9.1,83.0,-999.0,135.7,-999.0
1901,11,-999.0,1016.1,115.9,6.2,11.0,1.8,83.0,-999.0,103.9,-999.0
1901,12,-999.0,1015.9,179.8,0.4,4.3,-3.0,83.0,-999.0,81.7,-999.0
1902,1,-999.0,1015.2,59.7,-2.0,2.0,-5.9,84.0,-999.0,102.6,-999.0
1902,2,-999.0,1019.3,55.5,-1.5,3.4,-6.1,82.0,-999.0,116.8,-999.0
1902,3,-999.0,1016.5,61.5,3.8,9.0,-0.9,75.0,-999.0,162.6,-999.0
1902,4,-999.0,1013.7,93.1,7.6,13.0,2.3,69.0,-999.0,188.5,-999.0
1902,5,-999.0,1011.9,55.7,14.4,20.6,8.8,68.0,-999.0,222.7,-999.0
1902,6,-999.0,1007.9,40.1,19.0,25.7,13.4,71.0,-999.0,213.3,-999.0
1902,7,-999.0,1007.5,176.9,20.3,24.8,16.8,81.0,-999.0,113.9,-999.0
1902,8,-999.0,1011.3,165.7,21.6,26.3,18.1,81.0,-999.0,83.1,-999.0
1902,9,-999.0,1011.1,206.0,20.6,25.5,16.7,82.0,-999.0,129.5,-999.0
1902,10,-999.0,1019.2,66.1,12.9,19.0,8.3,83.0,-999.0,139.1,-999.0
1902,11,-999.0,1020.7,68.5,7.4,13.0,3.0,82.0,-999.0,114.0,-999.0
1902,12,-999.0,1015.1,93.9,3.9,8.0,0.7,82.0,-999.0,76.2,-999.0
1903,1,-999.0,1016.9,126.6,0.1,4.0,-2.8,87.0,-999.0,65.1,-999.0
1903,2,-999.0,1017.2,54.5,1.0,5.4,-2.5,77.0,-999.0,107.2,-999.0
1903,3,-999.0,1018.5,64.2,4.5,9.5,0.3,72.0,-999.0,137.2,-999.0
1903,4,-999.0,1017.1,64.0,11.1,17.5,5.4,68.0,-999.0,171.4,-999.0
1903,5,-999.0,1013.1,68.0,13.5,19.9,8.1,71.0,-999.0,170.3,-999.0
1903,6,-999.0,1007.3,74.8,18.4,24.5,13.3,72.0,-999.0,151.9,-999.0
1903,7,-999.0,1008.3,157.7,22.0,26.6,17.9,79.0,-999.0,105.0,-999.0
1903,8,-999.0,1011.5,132.8,23.1,28.6,18.4,80.0,-999.0,206.9,-999.0
1903,9,-999.0,1014.1,125.2,20.9,26.2,17.1,81.0,-999.0,136.3,-999.0
1903,10,-999.0,1017.3,91.2,12.3,17.4,8.5,85.0,-999.0,126.7,-999.0
1903,11,-999.0,1017.9,61.6,6.2,11.0,2.0,80.0,-999.0,96.3,-999.0
1903,12,-999.0,1015.6,114.0,-0.3,3.4,-3.3,86.0,-999.0,83.2,-999.0
1904,1,-999.0,1017.2,111.8,-3.3,1.3,-7.7,82.0,-999.0,101.9,-999.0
1904,2,-999.0,1019.2,29.9,-0.6,4.2,-4.6,76.0,-999.0,130.7,-999.0
1904,3,-999.0,1017.9,58.6,2.2,6.9,-1.3,74.0,-999.0,119.4,-999.0
1904,4,-999.0,1018.1,105.3,9.8,16.2,4.7,75.0,-999.0,175.1,-999.0
1904,5,-999.0,1012.0,97.2,13.6,19.9,8.3,71.0,-999.0,162.5,-999.0
1904,6,-999.0,1009.1,85.8,20.7,26.8,15.5,72.0,-999.0,184.7,-999.0
1904,7,-999.0,1008.9,260.6,23.8,28.9,19.5,79.0,-999.0,153.1,-999.0
1904,8,-999.0,1010.8,50.0,24.4,30.7,19.4,76.0,-999.0,235.6,-999.0
1904,9,-999.0,1011.6,142.3,18.4,23.8,14.2,80.0,-999.0,113.6,-999.0
1904,10,-999.0,1016.7,116.8,12.7,17.5,9.0,82.0,-999.0,106.4,-999.0
1904,11,-999.0,1014.9,119.3,5.3,10.4,1.1,80.0,-999.0,102.2,-999.0
1904,12,-999.0,1016.1,113.0,2.0,6.6,-1.7,80.0,-999.0,102.5,-999.0
1905,1,-999.0,1015.5,90.8,0.8,4.6,-2.1,85.0,-999.0,79.1,-999.0
1905,2,-999.0,1014.1,88.8,-2.2,1.8,-5.8,84.0,-999.0,103.5,-999.0
1905,3,-999.0,1021.6,25.5,1.9,7.0,-2.2,80.0,-999.0,170.2,-999.0
1905,4,-999.0,1015.7,73.4,7.0,12.9,2.1,74.0,-999.0,157.6,-999.0
1905,5,-999.0,1013.1,54.5,14.5,21.3,8.9,71.0,-999.0,189.9,-999.0
1905,6,-999.0,1008.7,160.5,19.5,24.4,15.4,81.0,-999.0,117.5,-999.0
1905,7,-999.0,1009.5,77.8,23.0,28.8,18.7,79.0,-999.0,196.5,-999.0
1905,8,-999.0,1009.6,240.1,20.3,24.5,17.1,86.0,-999.0,91.1,-999.0
1905,9,-999.0,1014.3,150.8,18.8,24.7,14.6,85.0,-999.0,141.4,-999.0
1905,10,-999.0,1018.0,88.3,13.3,19.1,9.1,83.0,-999.0,135.8,-999.0
1905,11,-999.0,1020.5,63.8,5.7,12.1,1.1,83.0,-999.0,124.6,-999.0
1905,12,-999.0,1017.9,149.3,2.3,6.4,-1.2,88.0,-999.0,69.9,-999.0
1906,1,-999.0,1017.2,104.2,-2.8,1.6,-6.7,86.0,-999.0,79.0,-999.0
1906,2,-999.0,1014.8,115.7,-1.9,2.2,-5.2,88.0,-999.0,91.2,-999.0
1906,3,-999.0,1014.8,87.4,2.7,7.7,-1.3,79.0,-999.0,158.1,-999.0
1906,4,-999.0,1013.3,55.3,9.2,16.0,3.6,70.0,-999.0,208.4,-999.0
1906,5,-999.0,1013.2,50.2,14.3,21.9,8.2,65.0,-999.0,238.5,-999.0
1906,6,-999.0,1010.4,55.0,17.0,24.0,11.9,75.0,-999.0,191.5,-999.0
1906,7,-999.0,1006.4,91.4,23.3,28.1,19.2,81.0,-999.0,141.0,-999.0
1906,8,-999.0,1008.8,155.4,23.0,29.0,18.6,81.0,-999.0,181.4,-999.0
1906,9,-999.0,1014.1,70.7,17.2,23.5,12.7,84.0,-999.0,122.6,-999.0
1906,10,-999.0,1017.6,107.2,12.2,18.0,7.6,84.0,-999.0,125.8,-999.0
1906,11,-999.0,1021.1,43.9,5.2,10.2,1.1,82.0,-999.0,89.3,-999.0
1906,12,-999.0,1013.3,121.8,2.2,6.6,-1.7,86.0,-999.0,77.5,-999.0
1907,1,-999.0,1019.3,86.2,-2.1,2.7,-7.2,86.0,-999.0,102.3,-999.0
1907,2,-999.0,1016.3,81.8,-2.5,2.7,-7.7,86.0,-999.0,111.9,-999.0
1907,3,-999.0,1017.1,57.1,1.8,7.0,-3.1,82.0,-999.0,154.2,-999.0
1907,4,-999.0,1016.8,86.9,8.8,15.4,2.9,75.0,-999.0,189.1,-999.0
1907,5,-999.0,1009.1,103.9,14.5,20.8,8.8,71.0,-999.0,201.8,-999.0
1907,6,-999.0,1009.1,104.0,17.8,23.7,12.4,77.0,-999.0,185.3,-999.0
1907,7,-999.0,1009.2,72.3,22.2,28.9,17.1,78.0,-999.0,211.9,-999.0
1907,8,-999.0,1008.0,314.6,25.5,32.3,20.8,78.0,-999.0,212.2,-999.0
1907,9,-999.0,1014.0,100.8,19.1,25.1,14.4,84.0,-999.0,156.3,-999.0
1907,10,-999.0,1017.6,58.2,11.9,18.9,6.5,80.0,-999.0,183.2,-999.0
1907,11,-999.0,1020.1,72.0,6.8,12.5,2.3,83.0,-999.0,93.5,-999.0
1907,12,-999.0,1016.0,98.2,-0.3,3.7,-3.7,86.0,-999.0,72.5,-999.0
1908,1,-999.0,1019.5,86.2,-2.0,1.9,-5.6,87.0,-999.0,58.7,-999.0
1908,2,-999.0,1016.9,42.0,-2.2,2.7,-6.6,84.0,-999.0,90.9,-999.0
1908,3,-999.0,1017.7,128.7,1.6,6.8,-2.6,82.0,-999.0,125.3,-999.0
1908,4,-999.0,1017.6,79.1,8.9,15.0,3.5,74.0,-999.0,161.6,-999.0
1908,5,-999.0,1012.0,107.5,14.0,21.0,7.7,71.0,-999.0,218.8,-999.0
1908,6,-999.0,1008.5,168.7,18.5,24.9,13.2,78.0,-999.0,164.6,-999.0
1908,7,-999.0,1008.9,72.9,21.1,26.4,16.9,82.0,-999.0,136.3,-999.0
1908,8,-999.0,1010.9,101.7,24.9,32.0,19.5,79.0,-999.0,241.3,-999.0
1908,9,-999.0,1014.8,84.8,17.4,23.7,12.6,80.0,-999.0,117.1,-999.0
1908,10,-999.0,1017.2,51.9,11.9,18.5,6.5,84.0,-999.0,153.9,-999.0
1908,11,-999.0,1013.9,162.3,4.5,9.9,0.5,85.0,-999.0,77.0,-999.0
1908,12,-999.0,1017.7,93.1,0.8,5.3,-3.0,85.0,-999.0,84.3,-999.0
1909,1,-999.0,1019.2,103.4,-2.6,2.0,-6.4,90.0,-999.0,83.7,-999.0
1909,2,-999.0,1014.3,73.3,-2.7,3.1,-7.5,86.0,-999.0,111.9,-999.0
1909,3,-999.0,1019.5,94.3,0.7,6.1,-3.8,82.0,-999.0,143.6,-999.0
1909,4,-999.0,1014.4,109.2,10.5,18.3,3.8,71.0,-999.0,204.1,-999.0
1909,5,-999.0,1011.7,142.0,14.7,21.0,9.3,76.0,-999.0,173.4,-999.0
1909,6,-999.0,1008.7,145.5,19.0,24.8,14.3,82.0,-999.0,122.2,-999.0
1909,7,-999.0,1012.3,78.5,23.5,29.4,18.1,77.0,-999.0,203.2,-999.0
1909,8,-999.0,1008.9,18.9,24.5,31.7,18.9,75.0,-999.0,224.2,-999.0
1909,9,-999.0,1012.7,205.6,19.7,25.0,15.9,85.0,-999.0,107.6,-999.0
1909,10,-999.0,1016.9,54.4,11.2,17.8,6.2,83.0,-999.0,152.8,-999.0
1909,11,-999.0,1017.3,72.2,6.5,13.1,0.8,79.0,-999.0,131.6,-999.0
1909,12,-999.0,1018.0,80.9,0.2,4.5,-3.1,90.0,-999.0,69.5,-999.0
1910,1,-999.0,1016.1,82.9,0.8,5.1,-2.8,85.0,-999.0,67.2,-999.0
1910,2,-999.0,1012.7,54.6,-1.6,3.7,-5.4,84.0,-999.0,97.6,-999.0
1910,3,-999.0,1014.8,55.4,1.0,6.8,-3.5,81.0,-999.0,151.3,-999.0
